dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,6,515.49146,byplayer,0,7,31,0,0,0.0,ENCE_Rustanmar,account.56e6eef986da464ab8725bc820e5e58a,1,2770.103,0,0,0,1868,0,1597.2339,4,2,531.955171585083,ENCE,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,06e577d8-5e21-499c-b8a0-d29cfcf95187,"['ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",2,2,3,4406.1507249999995,1924.1983,1546.2381973266602,1866.75
5,1,6,550.92346,byplayer,1,5,14,1,1,110.706795,ENCE_SKUIJKE,account.01552480ea4b4de481f0f45f75d70286,0,2901.1855,0,0,0,1876,1,1719.5049,4,2,321.74803161621094,ENCE,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,06e577d8-5e21-499c-b8a0-d29cfcf95187,"['ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",2,2,3,4406.1507249999995,1924.1983,1546.2381973266602,1866.75
1,0,6,205.18288,byplayer,0,5,15,1,1,136.27408,ENCE_Tiikzu,account.a8c6a4eb1190417aa240f47f70852718,0,3050.0825,0,0,0,1851,0,1022.5912,5,2,356.04212379455566,ENCE,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,06e577d8-5e21-499c-b8a0-d29cfcf95187,"['ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",2,2,3,4406.1507249999995,1924.1983,1546.2381973266602,1866.75
3,1,6,652.6005,byplayer,0,7,30,0,0,0.0,ENCE_D1gg3r1,account.a6ceed9ac2b04737a6ade08ef7368d3f,0,2694.8594,0,0,0,1872,0,1869.0425,5,2,336.49287033081055,ENCE,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,06e577d8-5e21-499c-b8a0-d29cfcf95187,"['ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",2,2,3,4406.1507249999995,1924.1983,1546.2381973266602,1866.75
0,0,5,48.23271,byplayer,0,3,43,0,0,0.0,E36_Pureboy,account.f0b55387ae434157b0508d8a313a4117,0,2125.8157,0,0,0,1377,1,1418.4823,5,7,179.03944778442383,E36,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,483391f7-69ed-4703-bc8f-6a7fc9a77a12,"['E36_Pureboy', 'E36_amonot', 'E36_indigo', 'E36_Starlord']",7,2,0,3698.4791499999997,553.079907,683.4215278625488,1388.75
0,0,2,35.332027,byplayer,0,0,42,0,0,0.0,E36_amonot,account.10a99f14f95d4ba8a9fe21e6f2eb01b4,0,1912.1187,0,0,0,1388,0,1534.516,3,7,116.0,E36,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,483391f7-69ed-4703-bc8f-6a7fc9a77a12,"['E36_Pureboy', 'E36_amonot', 'E36_indigo', 'E36_Starlord']",7,2,0,3698.4791499999997,553.079907,683.4215278625488,1388.75
0,0,1,187.01929,byplayer,0,1,19,1,1,84.939606,E36_indigo,account.ca3b46f20fe24ce3a6a742ef32af9787,0,1115.6448,0,0,0,1393,0,1878.1488,7,7,163.89930152893066,E36,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,483391f7-69ed-4703-bc8f-6a7fc9a77a12,"['E36_Pureboy', 'E36_amonot', 'E36_indigo', 'E36_Starlord']",7,2,0,3698.4791499999997,553.079907,683.4215278625488,1388.75
1,0,3,282.49588,byplayer,0,1,18,1,1,231.84303,E36_Starlord,account.877c12d3fdb54252b70d0570c2f28c46,0,3064.645,0,0,0,1397,0,1744.5453,4,7,224.48277854919434,E36,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,483391f7-69ed-4703-bc8f-6a7fc9a77a12,"['E36_Pureboy', 'E36_amonot', 'E36_indigo', 'E36_Starlord']",7,2,0,3698.4791499999997,553.079907,683.4215278625488,1388.75
1,0,0,174.43,byplayer,0,0,63,0,0,0.0,17_LilGhost,account.2543ad1ca79a414e8896071b0608c189,0,0.0,0,0,0,304,0,84.00585,3,16,100.00000762939453,17,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,1254c55c-e55e-4ed5-9af5-95ecc3adcca3,"['17_LilGhost', '17_shou', '17_Xbei', '17_SuJiu']",16,0,0,100.64698150000001,357.68233,399.99999713897705,272.5
0,0,0,72.38,byplayer,0,0,64,0,0,0.0,17_shou,account.eb38f8d74bfa4efc86b42880d6762033,0,0.0,0,0,0,230,0,157.90395,2,16,99.99999332427979,17,52fa3978-721f-45fd-bd8e-53f2906d5d29,2021-11-19T14:00:29Z,Miramar,1876,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/14/33/b0caf866-4945-11ec-9c21-16512f2173af-telemetry.json,1254c55c-e55e-4ed5-9af5-95ecc3adcca3,"['17_LilGhost', '17_shou', '17_Xbei', '17_SuJiu']",16,0,0,100.64698150000001,357.68233,399.99999713897705,272.5
