dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,2,265.158,byplayer,0,0,16,1,1,271.7349,KDF_LashK,account.18a578577b6343e0ba02958e7228b680,1,8200.857,0,0,0,1569,0,1214.4946,6,2,127.00622367858887,KDF,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,c5579d84-e571-4828-9c6a-6ad8e5362cab,"['KDF_LashK', 'KDF_EEND', 'KDF_Hikari', 'KDF_Akad']",2,6,5,9426.257825,1567.46008,955.0675754547119,1561.75
1,3,5,345.8316,byplayer,0,6,15,1,1,52.151188,KDF_EEND,account.296ae73a09144f949505b831843253ca,1,8030.3296,0,0,0,1569,0,1725.9161,4,2,440.86842346191406,KDF,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,c5579d84-e571-4828-9c6a-6ad8e5362cab,"['KDF_LashK', 'KDF_EEND', 'KDF_Hikari', 'KDF_Akad']",2,6,5,9426.257825,1567.46008,955.0675754547119,1561.75
2,1,2,394.01218,byplayer,0,1,17,1,1,91.84003,KDF_Hikari,account.05e75b5790664e59a518a15e5e0afe8e,0,7455.938,0,0,0,1540,1,1882.1099,5,2,186.99547576904297,KDF,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,c5579d84-e571-4828-9c6a-6ad8e5362cab,"['KDF_LashK', 'KDF_EEND', 'KDF_Hikari', 'KDF_Akad']",2,6,5,9426.257825,1567.46008,955.0675754547119,1561.75
3,1,3,562.4583,byplayer,1,2,5,1,3,139.17604,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,1,7650.3086,0,0,0,1569,0,1545.0775,4,2,200.19745254516602,KDF,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,c5579d84-e571-4828-9c6a-6ad8e5362cab,"['KDF_LashK', 'KDF_EEND', 'KDF_Hikari', 'KDF_Akad']",2,6,5,9426.257825,1567.46008,955.0675754547119,1561.75
0,0,1,0.0,byplayer,0,1,33,0,0,0.0,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,0,948.9828,0,0,0,358,0,537.5671,2,3,180.0000057220459,YAHO,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,c804d6a0-fead-4a87-a292-6ca0de081436,"['YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_Balefrost', 'YAHO_sparkingg']",3,8,0,2497.355875,1549.1208700000002,1226.4719161987305,979.25
1,0,2,157.81,byplayer,0,2,18,1,1,37.838215,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,0,1242.6104,0,0,0,471,0,367.0932,11,3,196.57000350952148,YAHO,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,c804d6a0-fead-4a87-a292-6ca0de081436,"['YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_Balefrost', 'YAHO_sparkingg']",3,8,0,2497.355875,1549.1208700000002,1226.4719161987305,979.25
1,0,8,295.03497,byplayer,0,19,32,0,0,0.0,YAHO_Balefrost,account.160f42b27b98487ab02faad039c1cfe1,0,1820.8232,0,0,0,1540,1,971.0357,9,3,668.0183696746826,YAHO,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,c804d6a0-fead-4a87-a292-6ca0de081436,"['YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_Balefrost', 'YAHO_sparkingg']",3,8,0,2497.355875,1549.1208700000002,1226.4719161987305,979.25
6,0,4,1096.2759,byplayer,4,3,1,3,7,149.96738,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,2,3455.277,0,0,0,1548,0,646.0341,3,3,181.88353729248047,YAHO,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,c804d6a0-fead-4a87-a292-6ca0de081436,"['YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_Balefrost', 'YAHO_sparkingg']",3,8,0,2497.355875,1549.1208700000002,1226.4719161987305,979.25
1,0,2,69.0,byzone,0,7,26,1,1,34.132736,Tian_9,account.1987c77d92864be3ac05917ca17f5283,0,6910.888,0,0,0,1188,0,886.29565,4,11,186.22707748413086,Tian,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,a6b1c419-9f4e-4e8c-a4f5-73c284388005,"['Tian_9', 'Tian_77', 'Tian_Tang', 'Tian_Cui71']",11,4,0,8707.4678875,387.47583399999996,924.4649829864502,1209.75
0,0,2,55.360054,byplayer,0,2,49,0,0,0.0,Tian_77,account.b9a3937dc66e47f9984d6652fb5aafeb,0,7909.6426,0,0,0,1203,0,832.2683,2,11,254.9168529510498,Tian,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,a6b1c419-9f4e-4e8c-a4f5-73c284388005,"['Tian_9', 'Tian_77', 'Tian_Tang', 'Tian_Cui71']",11,4,0,8707.4678875,387.47583399999996,924.4649829864502,1209.75
1,0,3,180.03256,byplayer,0,3,25,1,1,36.617447,Tian_Tang,account.4af4017877f241f09e0041e78725406f,2,7972.81,0,0,0,1219,0,771.1878,3,11,162.3876667022705,Tian,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,a6b1c419-9f4e-4e8c-a4f5-73c284388005,"['Tian_9', 'Tian_77', 'Tian_Tang', 'Tian_Cui71']",11,4,0,8707.4678875,387.47583399999996,924.4649829864502,1209.75
0,0,6,83.08322,byplayer,0,4,14,1,2,241.14297,Tian_Cui71,account.7d309087c15f4a9ba898613396c1c80b,1,8876.791,0,0,0,1229,0,669.9882,7,11,320.933385848999,Tian,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,a6b1c419-9f4e-4e8c-a4f5-73c284388005,"['Tian_9', 'Tian_77', 'Tian_Tang', 'Tian_Cui71']",11,4,0,8707.4678875,387.47583399999996,924.4649829864502,1209.75
1,1,5,134.58649,byplayer,1,5,11,2,2,13.235657,OP_vard,account.7dc38fb4885b4dcdaf6ae9ab773949b5,0,3489.5244,0,0,0,1018,0,1448.5548,3,9,206.8271713256836,OP,53083fe8-e86e-4ad0-9fc2-7e6e94723cef,2022-11-05T12:58:36Z,Erangel (Remastered),1569,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/13/26/7d315df5-5d0d-11ed-a4c3-16512f2173af-telemetry.json,3eeda937-9447-4554-851b-f1a008cac5d5,"['OP_vard', 'OP_jeemzz', 'OP_clib', 'OP_mxey']",9,6,8,4520.9049125,809.02175,923.825288772583,959.25
