dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,5,406.15118,byplayer,0,5,18,1,1,11.786744,DIG_Shinboi,account.b04e330e27b748d6be6ae18cf4594cb4,0,8216.341,0,0,0,1732,0,1917.9235,11,4,268.9958038330078,DIG,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,c64a260c-45e0-453e-a0ef-a7cc2bba0cd3,"['DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Poonage']",4,1,1,7605.778412500001,903.13717,708.3467864990234,1236.25
0,1,1,276.65317,byplayer,0,0,37,0,0,0.0,DIG_HoneyBadger,account.1c7e95a1f3d740edb5e38b2f2b900875,0,9140.063,0,0,0,1597,0,1258.1548,3,4,125.79903793334961,DIG,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,c64a260c-45e0-453e-a0ef-a7cc2bba0cd3,"['DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Poonage']",4,1,1,7605.778412500001,903.13717,708.3467864990234,1236.25
1,0,3,220.33282,byplayer,0,3,38,0,0,0.0,DIG_sparkingg,account.a764ca4e30e1471892434e8467c7ae93,0,7971.36,0,0,0,1358,0,1429.942,5,4,213.55194473266602,DIG,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,c64a260c-45e0-453e-a0ef-a7cc2bba0cd3,"['DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Poonage']",4,1,1,7605.778412500001,903.13717,708.3467864990234,1236.25
0,0,0,0.0,byplayer,0,0,39,0,0,0.0,DIG_Poonage,account.8518fc26f0794a5a9bbb6327cd9237ff,0,0.0,0,0,0,258,0,489.32935,4,4,100.0,DIG,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,c64a260c-45e0-453e-a0ef-a7cc2bba0cd3,"['DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Poonage']",4,1,1,7605.778412500001,903.13717,708.3467864990234,1236.25
0,0,3,155.54652,byplayer,0,8,36,0,0,0.0,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,4951.9585,0,0,0,1625,0,944.1962,4,3,369.2060947418213,17,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,bd61d543-ce0d-4168-8f1b-9fc09b851908,"['17_LilGhost', '17_shou', '17_SuJiu', '17_Xbei']",3,5,0,6613.549860000001,1302.17605,1102.1368103027344,1783.25
1,0,2,532.9357,byplayer,0,5,17,1,1,163.41725,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,0,6997.7783,0,0,0,1727,0,776.90454,4,3,237.26663398742676,17,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,bd61d543-ce0d-4168-8f1b-9fc09b851908,"['17_LilGhost', '17_shou', '17_SuJiu', '17_Xbei']",3,5,0,6613.549860000001,1302.17605,1102.1368103027344,1783.25
1,0,6,306.2147,byplayer,1,4,10,2,2,31.02453,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,0,5905.5405,0,0,0,1896,0,1209.0055,4,3,319.1370849609375,17,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,bd61d543-ce0d-4168-8f1b-9fc09b851908,"['17_LilGhost', '17_shou', '17_SuJiu', '17_Xbei']",3,5,0,6613.549860000001,1302.17605,1102.1368103027344,1783.25
1,0,6,307.47913,byplayer,1,1,11,1,2,153.66237,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,4683.839,0,0,0,1885,0,984.9769,3,3,176.52699661254883,17,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,bd61d543-ce0d-4168-8f1b-9fc09b851908,"['17_LilGhost', '17_shou', '17_SuJiu', '17_Xbei']",3,5,0,6613.549860000001,1302.17605,1102.1368103027344,1783.25
0,0,4,82.09407,byplayer,0,2,52,0,0,0.0,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,1,1641.1586,0,0,0,1295,0,1191.8158,4,12,119.96851634979248,HERO,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,f5f9c81a-7590-4a7a-9e9e-331ba474400e,"['HERO_curexi', 'HERO_PaG3', 'HERO_Beami', 'HERO_TeaBone']",12,2,0,3116.4208925000003,1042.73819,802.1119260787964,1295.0
0,0,1,371.9428,byplayer,0,0,51,0,0,0.0,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,0,2166.785,0,0,0,1295,0,1335.143,5,12,107.99999809265137,HERO,543c490a-f976-431a-a6fe-d5837046fefa,2021-12-07T10:43:16Z,Miramar,1897,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/11/16/28b71342-574f-11ec-9c21-16512f2173af-telemetry.json,f5f9c81a-7590-4a7a-9e9e-331ba474400e,"['HERO_curexi', 'HERO_PaG3', 'HERO_Beami', 'HERO_TeaBone']",12,2,0,3116.4208925000003,1042.73819,802.1119260787964,1295.0
