dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,7,185.10117,byplayer,0,6,5,1,3,203.76385,BN_YoungBii,account.e27baa314eca4fec8ad69ba77caf39ba,1,6756.5977,0,0,0,1599,0,1526.8068,5,4,318.5737075805664,BN,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,01decfe5-6b70-4770-b910-3684d48ce730,"['BN_YoungBii', 'BN_GodAcee', 'BN_Zest', 'BN_SimonT']",4,4,3,5691.581432500001,416.12787000000003,809.2186136245728,974.0
0,0,1,11.88,byplayer,0,0,40,0,0,0.0,BN_GodAcee,account.36dcbd3f1b1049e7bf7a86f03f342183,0,2650.8562,0,0,0,512,0,526.5503,5,4,99.99999713897705,BN,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,01decfe5-6b70-4770-b910-3684d48ce730,"['BN_YoungBii', 'BN_GodAcee', 'BN_Zest', 'BN_SimonT']",4,4,3,5691.581432500001,416.12787000000003,809.2186136245728,974.0
0,1,1,49.04013,byplayer,0,2,39,0,0,0.0,BN_Zest,account.95515a513f4344f1bc7ce6c725bcccca,0,2782.1611,0,0,0,535,0,439.25903,5,4,142.1105499267578,BN,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,01decfe5-6b70-4770-b910-3684d48ce730,"['BN_YoungBii', 'BN_GodAcee', 'BN_Zest', 'BN_SimonT']",4,4,3,5691.581432500001,416.12787000000003,809.2186136245728,974.0
1,2,6,170.10657,byplayer,0,9,19,1,1,69.36375,BN_SimonT,account.06c283ab5a21462bb73faaa78a925e9c,1,7179.938,0,0,0,1250,0,904.1566,4,4,248.53435897827148,BN,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,01decfe5-6b70-4770-b910-3684d48ce730,"['BN_YoungBii', 'BN_GodAcee', 'BN_Zest', 'BN_SimonT']",4,4,3,5691.581432500001,416.12787000000003,809.2186136245728,974.0
1,2,5,514.4551,byplayer,1,4,10,1,2,167.74506,OATH_Relo,account.cb334240502a4efab3ccb6dd49643ffd,0,6189.1143,0,0,0,1870,0,2098.6533,7,3,396.34947967529297,OATH,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,ba06314b-6e55-4b72-bac9-79f9001b58a3,"['OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost']",3,9,6,8524.996824999998,2541.50741,1422.95308303833,1846.25
2,2,5,665.89905,byplayer,0,2,4,1,3,405.96176,OATH_Kickstart,account.361c4c7547c3496e901b3f0665368501,0,6709.045,0,0,0,1821,0,2022.6633,6,3,329.72633171081543,OATH,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,ba06314b-6e55-4b72-bac9-79f9001b58a3,"['OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost']",3,9,6,8524.996824999998,2541.50741,1422.95308303833,1846.25
4,2,9,795.54156,byplayer,0,9,3,1,3,66.127975,OATH_Snakers,account.3800d26a9ac74bb8b2e7d7fdbebaed03,0,6755.284,0,0,0,1824,0,1773.4208,6,3,421.59190940856934,OATH,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,ba06314b-6e55-4b72-bac9-79f9001b58a3,"['OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost']",3,9,6,8524.996824999998,2541.50741,1422.95308303833,1846.25
3,0,8,565.6117,byplayer,1,7,18,1,1,133.81561,OATH_Balefrost,account.1528eaab230841b5b8c0c7c2baf77b48,0,6684.6064,0,0,0,1870,0,1867.2002,8,3,275.28536224365234,OATH,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,ba06314b-6e55-4b72-bac9-79f9001b58a3,"['OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost']",3,9,6,8524.996824999998,2541.50741,1422.95308303833,1846.25
0,0,0,85.5887,byplayer,0,0,65,0,0,0.0,SQ_M1ME,account.5824e9a606584aa1a039296123919737,0,0.0,0,0,0,115,0,22.809778,1,16,100.0,SQ,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,5898d6e5-fe2e-4308-b56d-9aa5c4a14361,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_TGLTN', 'SQ_hwinn']",16,0,0,176.94727625,313.95705399999997,399.99999809265137,221.75
0,0,0,58.379547,byplayer,0,0,62,0,0,0.0,SQ_Shrimzy,account.19aece48dbb8447f9d56d56b950e3c21,0,0.0,0,0,0,325,0,338.17374,5,16,99.99999809265137,SQ,54a6ab7d-71d3-409b-9a07-d81f3439c359,2021-11-19T13:14:43Z,Miramar,1883,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/13/48/4fe7e917-493f-11ec-9c21-16512f2173af-telemetry.json,5898d6e5-fe2e-4308-b56d-9aa5c4a14361,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_TGLTN', 'SQ_hwinn']",16,0,0,176.94727625,313.95705399999997,399.99999809265137,221.75
