dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,5,143.71594,byplayer,0,3,32,0,0,0.0,VP_BatulinS,account.08c188ed97cd46d8877c6db830b96446,0,3996.0806,0,0,0,1648,0,1432.6257,4,2,279.5672435760498,VP,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,b6ec2bc3-7031-42e1-a55f-953d2928eb0c,"['VP_BatulinS', 'VP_spyrro', 'VP_Lu', 'VP_Perfect1ks']",2,1,1,4931.3688999999995,408.441275,718.1761741638184,1590.0
0,0,5,59.572285,byplayer,0,0,33,0,0,0.0,VP_spyrro,account.8f7a9336b09646d09df0c581420b1738,0,3561.958,0,0,0,1416,0,1120.4427,3,2,100.0,VP,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,b6ec2bc3-7031-42e1-a55f-953d2928eb0c,"['VP_BatulinS', 'VP_spyrro', 'VP_Lu', 'VP_Perfect1ks']",2,1,1,4931.3688999999995,408.441275,718.1761741638184,1590.0
0,0,3,79.23305,byplayer,0,0,31,0,0,0.0,VP_Lu,account.396ce0851cfb4a868e299982492e8ea3,0,3658.1182,0,0,0,1648,0,1254.5289,5,2,149.07993125915527,VP,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,b6ec2bc3-7031-42e1-a55f-953d2928eb0c,"['VP_BatulinS', 'VP_spyrro', 'VP_Lu', 'VP_Perfect1ks']",2,1,1,4931.3688999999995,408.441275,718.1761741638184,1590.0
0,0,1,125.92,byplayer,1,2,22,1,1,23.543184,VP_Perfect1ks,account.332ca082ca76433fa9bd41a5b2696cac,0,3562.52,0,0,0,1648,0,1139.2015,5,2,189.52899932861328,VP,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,b6ec2bc3-7031-42e1-a55f-953d2928eb0c,"['VP_BatulinS', 'VP_spyrro', 'VP_Lu', 'VP_Perfect1ks']",2,1,1,4931.3688999999995,408.441275,718.1761741638184,1590.0
0,0,0,161.97643,byplayer,0,0,40,0,0,0.0,FURY_Ronon,account.47ec2801a759472eae15f8a5bf923ef6,0,4939.3667,0,0,0,1120,0,1207.3823,7,8,110.00000190734863,FURY,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,c0e56302-8591-4c82-905b-64c24cf85aa4,"['FURY_Ronon', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow']",8,3,3,7424.585325,703.921355,735.517333984375,1341.5
1,1,4,181.79733,byplayer,1,1,27,1,1,31.582355,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,1,6636.3906,0,0,0,1422,0,1690.4812,7,8,178.30019569396973,FURY,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,c0e56302-8591-4c82-905b-64c24cf85aa4,"['FURY_Ronon', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow']",8,3,3,7424.585325,703.921355,735.517333984375,1341.5
0,1,4,122.963425,byplayer,0,7,39,0,0,0.0,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,0,5872.601,0,0,0,1422,0,1450.1472,4,8,279.877628326416,FURY,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,c0e56302-8591-4c82-905b-64c24cf85aa4,"['FURY_Ronon', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow']",8,3,3,7424.585325,703.921355,735.517333984375,1341.5
2,1,5,237.18417,byplayer,1,1,17,1,2,22.342548,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,0,6581.0327,0,0,0,1402,0,1320.9396,5,8,167.33950805664062,FURY,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,c0e56302-8591-4c82-905b-64c24cf85aa4,"['FURY_Ronon', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow']",8,3,3,7424.585325,703.921355,735.517333984375,1341.5
2,2,1,387.1017,byplayer,0,2,12,1,2,69.85013,BRU_Conaxy,account.2af36fc5835d4156baaf109bbfd6baa2,1,6600.0024,0,0,0,1528,0,1255.1614,4,5,161.4099998474121,BRU,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,1de9d7f1-a24b-43ee-97cc-61b4f074331e,"['BRU_Conaxy', 'BRU_GodMiao', 'BRU_Eaddy', 'BRU_Noardra']",5,7,5,6708.765975,1247.80312,951.7469291687012,1502.0
0,0,5,209.08173,byplayer,1,6,11,1,2,139.49792,BRU_GodMiao,account.4af2f0f4a9a24c2c80e0b99ce204b541,0,4534.6,0,0,0,1533,0,1454.1229,8,5,434.59507751464844,BRU,594254f2-3850-48ec-b4fc-d00ceca10e4f,2021-11-23T10:44:53Z,Miramar,1648,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/11/14/7d1f42b3-4c4e-11ec-9c21-16512f2173af-telemetry.json,1de9d7f1-a24b-43ee-97cc-61b4f074331e,"['BRU_Conaxy', 'BRU_GodMiao', 'BRU_Eaddy', 'BRU_Noardra']",5,7,5,6708.765975,1247.80312,951.7469291687012,1502.0
