dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,0,60,0,0,0.0,AFA_R0wha,account.7ce1892f8d6843a780253894e359eaec,0,725.748,0,0.0,0,1024.361,0,1086.74048,2,10,100.0,AFA,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,cdca4a0e-c5d8-4d24-9f2e-4904e2cb4f8d,"['AFA_R0wha', 'AFA_EJ', 'AFA_wasang', 'AFA_Sparrow']",10,2,0,1449.7778199999998,398.208041,635.3678588867188,1020.0317500000001
1,0,1,202.057541,byplayer,0,2,26,1,1,8.26032448,AFA_EJ,account.c600c6b952dc4c94b61b1af284e7ce79,0,0.0,0,0.0,0,1024.365,0,1410.90112,5,10,181.58544540405273,AFA,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,cdca4a0e-c5d8-4d24-9f2e-4904e2cb4f8d,"['AFA_R0wha', 'AFA_EJ', 'AFA_wasang', 'AFA_Sparrow']",10,2,0,1449.7778199999998,398.208041,635.3678588867188,1020.0317500000001
0,0,1,96.768,byplayer,0,1,61,0,0,0.0,AFA_wasang,account.46bca15450754086a66eccf9baeb71a3,0,0.0,0,0.0,0,1016.197,0,1159.13123,2,10,185.20335388183594,AFA,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,cdca4a0e-c5d8-4d24-9f2e-4904e2cb4f8d,"['AFA_R0wha', 'AFA_EJ', 'AFA_wasang', 'AFA_Sparrow']",10,2,0,1449.7778199999998,398.208041,635.3678588867188,1020.0317500000001
1,0,1,99.3825,byplayer,0,1,27,1,1,150.710449,AFA_Sparrow,account.c8e06582e3a8411194eabd2bf2ea3f5d,0,0.0,0,0.0,0,1015.204,0,1416.59045,3,10,168.57905960083008,AFA,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,cdca4a0e-c5d8-4d24-9f2e-4904e2cb4f8d,"['AFA_R0wha', 'AFA_EJ', 'AFA_wasang', 'AFA_Sparrow']",10,2,0,1449.7778199999998,398.208041,635.3678588867188,1020.0317500000001
1,0,3,100.0,byzone,0,2,28,1,1,37.6577759,EM_k1nch,account.5f5723d9046240fb8666c5f39928a6c6,0,0.0,0,0.0,0,874.516,0,2895.2373,5,12,41.23811340332031,EM,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,618efc90-1466-4c93-abda-6c331660e24f,"['EM_k1nch', 'EM_Lash', 'EM_Pallas', 'EM_KiraV']",12,1,1,2620.2797275,204.6863327,310.83789443969727,872.3332499999999
0,0,4,0.0,byplayer,0,3,65,0,0,0.0,EM_Lash,account.6aa04f20f0eb404aa444093717030cae,0,0.0,0,0.0,0,997.45,0,2737.15723,3,12,103.00000190734863,EM,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,618efc90-1466-4c93-abda-6c331660e24f,"['EM_k1nch', 'EM_Lash', 'EM_Pallas', 'EM_KiraV']",12,1,1,2620.2797275,204.6863327,310.83789443969727,872.3332499999999
0,1,3,77.3999939,byzone,0,1,66,0,0,0.0,EM_Pallas,account.74c93055cc6b44f18fa53c0e850c91cd,0,0.0,0,0.0,0,835.562,0,2376.615,3,12,80.00000190734863,EM,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,618efc90-1466-4c93-abda-6c331660e24f,"['EM_k1nch', 'EM_Lash', 'EM_Pallas', 'EM_KiraV']",12,1,1,2620.2797275,204.6863327,310.83789443969727,872.3332499999999
0,0,3,27.2863388,byplayer,0,3,67,0,0,0.0,EM_KiraV,account.b94da08ce9db462f9c75f1994d219349,0,0.0,0,0.0,0,781.805,0,2472.10938,5,12,86.59977722167969,EM,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,618efc90-1466-4c93-abda-6c331660e24f,"['EM_k1nch', 'EM_Lash', 'EM_Pallas', 'EM_KiraV']",12,1,1,2620.2797275,204.6863327,310.83789443969727,872.3332499999999
2,2,1,292.366455,alive,1,2,4,2,3,56.1020966,DD_yacha,account.11327cec8be2400ca8dfb0d91016b391,0,0.0,0,0.0,0,1397.318,0,2141.523,3,1,89.6204948425293,DD,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,ef47a0c7-6550-4849-85ec-ac4f53547207,"['DD_yacha', 'DD_Inonix', 'DD_C4tch', 'DD_CheongGak']",1,7,5,1851.660281175,1096.6607669999999,392.14571380615234,1208.96325
2,2,2,406.447632,alive,2,1,7,1,2,208.067856,DD_Inonix,account.46169411577b4864b8326cba1f353b7e,0,0.0,0,0.0,0,1397.318,0,1846.00012,2,1,59.14522361755371,DD,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,ef47a0c7-6550-4849-85ec-ac4f53547207,"['DD_yacha', 'DD_Inonix', 'DD_C4tch', 'DD_CheongGak']",1,7,5,1851.660281175,1096.6607669999999,392.14571380615234,1208.96325
3,1,2,397.84668,byplayer,0,1,8,1,2,83.34497,DD_C4tch,account.f9ab8b8f814b4f7f849b8aba3b1660ae,0,0.0,0,0.0,0,1391.778,0,1928.14893,4,1,143.37999725341797,DD,5ab4703c-8c07-48c4-a3c9-5d0d74daf75a,2019-10-19T08:32:14Z,Sanhok,1397,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/56/60878c24-f24e-11e9-b2e5-0a586469f0e6-telemetry.json,ef47a0c7-6550-4849-85ec-ac4f53547207,"['DD_yacha', 'DD_Inonix', 'DD_C4tch', 'DD_CheongGak']",1,7,5,1851.660281175,1096.6607669999999,392.14571380615234,1208.96325
