dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,0,43,0,0,0.0,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,0,0.0,0,0,0,199,0,41.215763,1,7,99.99999618530273,SQ,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,fd5d1df6-7654-45b0-b649-146869c9036b,"['SQ_Shrimzy', 'SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN']",7,6,3,6988.5917657499995,647.08429,866.6156969070435,1176.25
1,0,5,100.25695,byplayer,0,2,13,1,2,53.63291,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,0,6711.335,0,0,0,1511,0,1975.2758,9,7,232.68285751342773,SQ,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,fd5d1df6-7654-45b0-b649-146869c9036b,"['SQ_Shrimzy', 'SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN']",7,6,3,6988.5917657499995,647.08429,866.6156969070435,1176.25
2,2,9,342.3334,byplayer,0,7,15,1,2,18.273401,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,0,9754.038,0,0,0,1484,0,1363.842,6,7,292.2931299209595,SQ,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,fd5d1df6-7654-45b0-b649-146869c9036b,"['SQ_Shrimzy', 'SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN']",7,6,3,6988.5917657499995,647.08429,866.6156969070435,1176.25
1,1,8,204.49394,byplayer,0,20,14,1,2,43.9579,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,0,6607.4927,0,0,0,1511,0,1501.1678,8,7,241.63971328735352,SQ,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,fd5d1df6-7654-45b0-b649-146869c9036b,"['SQ_Shrimzy', 'SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN']",7,6,3,6988.5917657499995,647.08429,866.6156969070435,1176.25
1,1,5,182.8033,alive,0,1,16,1,1,22.072315,GHD_McMoo,account.da079eb9b3604db588b2853c581f2f8d,1,3125.5918,0,0,0,1931,0,1349.8303,3,1,170.37423515319824,GHD,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,940f9fa7-72d2-40f9-af7f-f53713f399b3,"['GHD_McMoo', 'GHD_3007', 'GHD_d1sgustingg', 'GHD_Sylphyy']",1,9,6,4610.293575,1347.5694899999999,698.0653877258301,1931.0
1,2,4,449.53116,alive,0,1,8,1,2,68.64457,GHD_3007,account.3ba05a082b83466c89b3446e968de306,0,3699.2686,0,0,0,1931,0,1486.3265,5,1,49.526676177978516,GHD,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,940f9fa7-72d2-40f9-af7f-f53713f399b3,"['GHD_McMoo', 'GHD_3007', 'GHD_d1sgustingg', 'GHD_Sylphyy']",1,9,6,4610.293575,1347.5694899999999,698.0653877258301,1931.0
2,1,3,426.3961,alive,3,2,2,1,4,179.87016,GHD_d1sgustingg,account.1a9b8e2b8f794c67aff99d966c944f0d,0,2280.2197,0,0,0,1931,1,1577.3961,5,1,223.19477462768555,GHD,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,940f9fa7-72d2-40f9-af7f-f53713f399b3,"['GHD_McMoo', 'GHD_3007', 'GHD_d1sgustingg', 'GHD_Sylphyy']",1,9,6,4610.293575,1347.5694899999999,698.0653877258301,1931.0
2,2,7,288.83893,alive,0,3,9,1,2,159.38948,GHD_Sylphyy,account.f982864e72c54b0ea9af2c174616f3ac,0,3582.4014,0,0,0,1931,0,1340.1399,5,1,254.96970176696777,GHD,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,940f9fa7-72d2-40f9-af7f-f53713f399b3,"['GHD_McMoo', 'GHD_3007', 'GHD_d1sgustingg', 'GHD_Sylphyy']",1,9,6,4610.293575,1347.5694899999999,698.0653877258301,1931.0
0,1,5,375.3148,byplayer,0,7,22,1,1,113.32272,FaZe_Gustav,account.f2c6d47dea894ca38e85274e14aa1b37,0,3892.3406,0,0,0,1408,0,1717.4839,6,10,440.41732597351074,FaZe,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,588c9e57-1198-466d-9994-2805d4c6459e,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",10,3,3,4597.334319999999,1055.81187,979.5743255615234,1095.25
2,1,2,441.61743,byplayer,0,2,24,1,1,31.87451,FaZe_Fuzzface,account.da28ef29a86842699f10e246fb7b78de,0,5012.3857,0,0,0,1261,0,1441.3999,7,10,198.06403732299805,FaZe,5b42354d-ede0-4dfc-b122-ed98e38fec38,2021-11-29T09:52:30Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/10/26/d241ffc8-50fe-11ec-9c21-16512f2173af-telemetry.json,588c9e57-1198-466d-9994-2805d4c6459e,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",10,3,3,4597.334319999999,1055.81187,979.5743255615234,1095.25
