dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,3,330.5242,byplayer,0,2,71,0,0,0.0,RUM_CherryPoppin,account.7f6bbfbe68f04a84b8588148a46fdeb2,0,1222.4277,0,0,0,1765.773,0,1318.4833,4,3,282.23693656921387,RUM,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,e74f8067-2a46-4d38-87c5-4743cd168d66,"['RUM_CherryPoppin', 'RUM_Waldoe', 'RUM_Microfry', 'RUM_LosHD']",3,6,4,2388.43124,1508.19297,1080.1186046600342,1760.1680000000001
3,0,5,235.56914,byzone,1,10,2,1,3,186.81438,RUM_Waldoe,account.17c1da6a25a140c59c969197653218dc,0,682.0158,0,0,0,1743.345,0,1538.4923,4,3,353.0555000305176,RUM,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,e74f8067-2a46-4d38-87c5-4743cd168d66,"['RUM_CherryPoppin', 'RUM_Waldoe', 'RUM_Microfry', 'RUM_LosHD']",3,6,4,2388.43124,1508.19297,1080.1186046600342,1760.1680000000001
1,1,6,494.63803,byplayer,0,5,19,1,1,45.275578,RUM_Microfry,account.8dd8e1e6d7d74d3cb660c56b34c217fa,0,75.873,0,0,0,1765.779,0,2138.2676,11,3,324.98211097717285,RUM,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,e74f8067-2a46-4d38-87c5-4743cd168d66,"['RUM_CherryPoppin', 'RUM_Waldoe', 'RUM_Microfry', 'RUM_LosHD']",3,6,4,2388.43124,1508.19297,1080.1186046600342,1760.1680000000001
3,3,2,447.4616,byplayer,0,0,9,1,2,224.64502,RUM_LosHD,account.ebc9af8b420a4a5eb15c04cf142f4220,0,683.00366,0,0,0,1765.775,0,1895.1616,4,3,119.84405708312988,RUM,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,e74f8067-2a46-4d38-87c5-4743cd168d66,"['RUM_CherryPoppin', 'RUM_Waldoe', 'RUM_Microfry', 'RUM_LosHD']",3,6,4,2388.43124,1508.19297,1080.1186046600342,1760.1680000000001
1,0,0,167.29327,byplayer,0,3,89,0,0,0.0,CC_NOOKIE,account.9b5613386ea544eda2c2fcc99f27de98,0,4043.7097,0,0,0,1270.146,0,892.8853,3,12,57.99180603027344,CC,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,ebf3fc1f-8d4e-48a3-9616-1008dd6b9410,"['CC_NOOKIE', 'CC_Tiikzu', 'CC_teme', 'CC_Mise']",12,1,1,4768.894275000001,517.0797970000001,572.2218828201294,1270.14075
1,0,1,43.155617,byplayer,0,1,27,1,1,47.230938,CC_Tiikzu,account.30b8672c54d24a4f99723b3739b01bbe,0,3669.7766,0,0,0,1270.137,0,1527.9552,6,12,199.99999809265137,CC,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,ebf3fc1f-8d4e-48a3-9616-1008dd6b9410,"['CC_NOOKIE', 'CC_Tiikzu', 'CC_teme', 'CC_Mise']",12,1,1,4768.894275000001,517.0797970000001,572.2218828201294,1270.14075
0,1,0,125.31801,byplayer,0,1,90,0,0,0.0,CC_teme,account.0ff96659da454e489948a819b5213bf0,1,3716.0728,0,0,0,1270.141,0,1272.0496,8,12,136.46665287017822,CC,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,ebf3fc1f-8d4e-48a3-9616-1008dd6b9410,"['CC_NOOKIE', 'CC_Tiikzu', 'CC_teme', 'CC_Mise']",12,1,1,4768.894275000001,517.0797970000001,572.2218828201294,1270.14075
1,0,2,181.3129,byplayer,0,4,91,0,0,0.0,CC_Mise,account.ac5f43cc644e4b0d9f0ee7b7c2cc09a5,0,2590.6726,0,0,0,1270.139,0,1362.4553,4,12,177.76342582702637,CC,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,ebf3fc1f-8d4e-48a3-9616-1008dd6b9410,"['CC_NOOKIE', 'CC_Tiikzu', 'CC_teme', 'CC_Mise']",12,1,1,4768.894275000001,517.0797970000001,572.2218828201294,1270.14075
0,1,2,24.23863,byplayer,0,1,83,0,0,0.0,VC_DJboy,account.5c6d3fb1f7f0444fbbebc91bcb3944c2,0,4339.575,0,0,0,1395.177,0,1810.8363,3,8,118.09800910949707,VC,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,54a76af5-ed5f-4ad4-8328-bd1574e66a3c,"['VC_DJboy', 'VC_Tide', 'VC_DouM', 'VC_Summer']",8,0,3,5697.950274999999,411.98887,569.2745752334595,1444.42525
0,1,4,117.66399,byplayer,0,3,81,0,0,0.0,VC_Tide,account.6e76f10f81f2433c9866518a38f3f80c,0,3131.7566,0,0,0,1476.303,0,2210.1885,4,8,185.34716415405273,VC,5bccb51e-cc3e-4d0d-a0f2-3a6cdcd0e0cd,2019-11-11T03:51:21Z,Miramar,1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/04/23/0fc9d960-043b-11ea-adac-0a586469f39e-telemetry.json,54a76af5-ed5f-4ad4-8328-bd1574e66a3c,"['VC_DJboy', 'VC_Tide', 'VC_DouM', 'VC_Summer']",8,0,3,5697.950274999999,411.98887,569.2745752334595,1444.42525
