dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,7,79.05276,byplayer,0,10,40,0,0,0.0,EIQ_ivas,account.425beae7fa9d409bbe07568010f55181,0,10869.925,0,0,0,1572,0,1219.1069,3,5,265.7892036437988,EIQ,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,3329a23c-e9b5-4bd6-a6f0-772d90bd90a2,"['EIQ_ivas', 'EIQ_Qbe', 'EIQ_Lukarux', 'EIQ_Naylup']",5,0,0,10529.245499999999,690.61501,719.4153728485107,1499.0
0,0,7,301.83386,byplayer,0,4,39,0,0,0.0,EIQ_Qbe,account.7bf189f560e24e43b9be7b74333fd931,0,7916.01,0,0,0,1572,0,1640.606,4,5,118.67181587219238,EIQ,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,3329a23c-e9b5-4bd6-a6f0-772d90bd90a2,"['EIQ_ivas', 'EIQ_Qbe', 'EIQ_Lukarux', 'EIQ_Naylup']",5,0,0,10529.245499999999,690.61501,719.4153728485107,1499.0
1,0,5,149.31813,byplayer,0,0,42,0,0,0.0,EIQ_Lukarux,account.328cbdc81ddf450fafc2432e3f7f3da4,0,8026.58,0,0,0,1316,0,1847.6653,5,5,130.35713958740234,EIQ,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,3329a23c-e9b5-4bd6-a6f0-772d90bd90a2,"['EIQ_ivas', 'EIQ_Qbe', 'EIQ_Lukarux', 'EIQ_Naylup']",5,0,0,10529.245499999999,690.61501,719.4153728485107,1499.0
0,0,4,160.41026,byplayer,0,6,41,0,0,0.0,EIQ_Naylup,account.7cf7d92744ee4b5aa14bd60bf2a3626b,0,9375.952,0,0,0,1536,0,1221.1368,6,5,204.5972137451172,EIQ,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,3329a23c-e9b5-4bd6-a6f0-772d90bd90a2,"['EIQ_ivas', 'EIQ_Qbe', 'EIQ_Lukarux', 'EIQ_Naylup']",5,0,0,10529.245499999999,690.61501,719.4153728485107,1499.0
2,0,3,178.20139,byplayer,2,1,15,1,2,50.121838,TE_777,account.6c5f7c1fe9094517bc4368b920b7ea69,0,5755.7485,0,0,0,1193,0,1261.494,5,12,151.64154815673828,TE,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,0276b57d-086c-4257-aec9-80ee04a1847a,"['TE_777', 'TE_Smell', 'TE_DuCkHjeUz', 'TE_Leviz']",12,2,2,6392.285947499999,543.4648,579.7895164489746,1003.75
0,0,4,72.10759,byplayer,0,1,55,0,0,0.0,TE_Smell,account.c6f43909d033401d8efa6ca75a804b04,0,7228.8564,0,0,0,1193,0,745.8872,4,12,162.69878005981445,TE,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,0276b57d-086c-4257-aec9-80ee04a1847a,"['TE_777', 'TE_Smell', 'TE_DuCkHjeUz', 'TE_Leviz']",12,2,2,6392.285947499999,543.4648,579.7895164489746,1003.75
0,0,2,0.0,byplayer,0,0,56,0,0,0.0,TE_DuCkHjeUz,account.52abce092f5844af8cec49e8a064c8d2,0,3467.0881,0,0,0,436,0,363.81345,4,12,100.0,TE,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,0276b57d-086c-4257-aec9-80ee04a1847a,"['TE_777', 'TE_Smell', 'TE_DuCkHjeUz', 'TE_Leviz']",12,2,2,6392.285947499999,543.4648,579.7895164489746,1003.75
1,2,5,293.15582,byplayer,0,2,54,0,0,0.0,TE_Leviz,account.f9cd747bad7444a791b47b38baa99e48,0,5946.1807,0,0,0,1193,0,800.07544,6,12,165.44918823242188,TE,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,0276b57d-086c-4257-aec9-80ee04a1847a,"['TE_777', 'TE_Smell', 'TE_DuCkHjeUz', 'TE_Leviz']",12,2,2,6392.285947499999,543.4648,579.7895164489746,1003.75
0,0,3,0.0,byplayer,0,1,59,0,0,0.0,GEX_YanLi,account.bd7565e6a9b1444a975c9ce32cd7f8f7,0,4077.5034,0,0,0,1080,0,753.7017,8,14,200.00000190734863,GEX,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,942983c0-649e-471a-a86f-7d977f9397be,"['GEX_YanLi', 'GEX_ZhenNan', 'GEX_SSR', 'GEX_Savior']",14,4,4,4820.47746,551.03968,729.6262817382812,1005.0
2,2,5,251.82,byplayer,1,4,26,1,1,12.491878,GEX_ZhenNan,account.3b26252a5da74d0e849e55603cb9011a,0,3795.5767,0,0,0,1123,0,1022.3755,4,14,289.3282833099365,GEX,5cc92598-438b-42f0-92ae-3252c92dca0b,2022-11-13T12:58:30Z,Miramar,1850,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/13/13/31/7545e59d-6357-11ed-a4c3-16512f2173af-telemetry.json,942983c0-649e-471a-a86f-7d977f9397be,"['GEX_YanLi', 'GEX_ZhenNan', 'GEX_SSR', 'GEX_Savior']",14,4,4,4820.47746,551.03968,729.6262817382812,1005.0
