dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,5,371.20703,byplayer,1,0,13,1,2,151.16747,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,0,3402.0056,0,0,0,1337,0,1270.9373,3,8,173.57340049743652,TMA,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,af91451b-5a73-49fc-8f82-0acaf0f0bc78,"['TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112', 'TMA_YUPPIE']",8,4,4,4766.138150000001,1046.8307599999998,1047.4639444351196,1371.5
0,1,2,129.84,byplayer,0,3,44,0,0,0.0,TMA_Xiaoha1xxxx,account.a66ea3e14f5a4b94a9bd8eeb01e7bc99,2,3203.5679,0,0,0,1382,0,1279.9172,4,8,213.1542615890503,TMA,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,af91451b-5a73-49fc-8f82-0acaf0f0bc78,"['TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112', 'TMA_YUPPIE']",8,4,4,4766.138150000001,1046.8307599999998,1047.4639444351196,1371.5
2,1,6,353.20786,byplayer,1,4,12,1,2,81.52205,TMA_CRAZY112,account.39cefaacd918414cb365cefa6d596f8d,0,4614.3623,0,0,0,1372,0,1065.4697,3,8,369.79652404785156,TMA,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,af91451b-5a73-49fc-8f82-0acaf0f0bc78,"['TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112', 'TMA_YUPPIE']",8,4,4,4766.138150000001,1046.8307599999998,1047.4639444351196,1371.5
0,1,4,192.57587,byplayer,0,4,43,0,0,0.0,TMA_YUPPIE,account.136f97755ea04150adb72686d5d80398,0,3285.4421,0,0,0,1395,0,942.8505,2,8,290.93975830078125,TMA,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,af91451b-5a73-49fc-8f82-0acaf0f0bc78,"['TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112', 'TMA_YUPPIE']",8,4,4,4766.138150000001,1046.8307599999998,1047.4639444351196,1371.5
0,0,0,205.64044,byplayer,0,0,56,0,0,0.0,OP_clib,account.81f01a8db8bb4e6ebe1c7e3952dc5871,0,2531.6045,0,0,0,1004,0,1021.09686,3,12,99.99999618530273,OP,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,deac39ad-e990-47b8-9ec6-358c8b2aff99,"['OP_clib', 'OP_jeemzz', 'OP_vard', 'OP_mxey']",12,1,0,4143.371315,361.66046,694.1971588134766,1116.25
0,0,3,0.0,byplayer,0,3,54,0,0,0.0,OP_jeemzz,account.79106b57d5884c91a2f6f9e5d0c5e9d4,0,3247.4275,0,0,0,1173,0,1842.7106,3,12,198.35744285583496,OP,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,deac39ad-e990-47b8-9ec6-358c8b2aff99,"['OP_clib', 'OP_jeemzz', 'OP_vard', 'OP_mxey']",12,1,0,4143.371315,361.66046,694.1971588134766,1116.25
0,0,2,0.0,byplayer,0,0,55,0,0,0.0,OP_vard,account.7dc38fb4885b4dcdaf6ae9ab773949b5,0,2287.7295,0,0,0,1049,0,1123.4012,3,12,124.63972663879395,OP,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,deac39ad-e990-47b8-9ec6-358c8b2aff99,"['OP_clib', 'OP_jeemzz', 'OP_vard', 'OP_mxey']",12,1,0,4143.371315,361.66046,694.1971588134766,1116.25
1,0,4,156.02002,byplayer,0,2,26,1,1,112.84549,OP_mxey,account.b5205dc056b8454d912beef9dc797bf9,0,3342.337,0,0,0,1239,0,1177.1781,2,12,271.1999931335449,OP,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,deac39ad-e990-47b8-9ec6-358c8b2aff99,"['OP_clib', 'OP_jeemzz', 'OP_vard', 'OP_mxey']",12,1,0,4143.371315,361.66046,694.1971588134766,1116.25
0,1,4,156.86215,byplayer,0,1,46,0,0,0.0,CES_YmCud,account.6cedc3dac3774f1d94d006a5a0c48b60,0,5208.464,0,0,0,1147,0,808.74664,5,9,150.22935485839844,CES,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,5a2d91cb-fab7-4820-91ad-6bf9c835433d,"['CES_YmCud', 'CES_Himass', 'CES_HaiSaki', 'CES_Taikonn']",9,4,4,6427.6281175,884.162995,914.5296182632446,1249.25
0,2,5,266.06372,byplayer,0,8,45,0,0,0.0,CES_Himass,account.14d7d7472027408faffd2848885ad89e,0,5409.78,0,0,0,1326,0,826.37463,4,9,354.01684761047363,CES,5ced348c-2d07-4f41-ac18-80c5b39106be,2022-11-08T14:28:50Z,Erangel (Remastered),1727,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/59/f56a91ba-5f75-11ed-a4c3-16512f2173af-telemetry.json,5a2d91cb-fab7-4820-91ad-6bf9c835433d,"['CES_YmCud', 'CES_Himass', 'CES_HaiSaki', 'CES_Taikonn']",9,4,4,6427.6281175,884.162995,914.5296182632446,1249.25
