dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,3,668.98895,byplayer,1,3,30,1,1,48.75776,DNW_Salute,account.d3bdf7ff059d49b39564b9294f6451ae,0,3975.327,0,0.0,0,1224,0,903.9361,8,11,258.503849029541,DNW,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,853d4b27-a936-4bbc-a5fe-59a2aebc9581,"['DNW_Salute', 'DNW_Lambu', 'DNW_HelleN', 'DNW_seoul']",11,4,2,4315.0108924999995,1508.7451500000002,1137.834490776062,1015.5
0,0,1,0.0,byplayer,0,1,54,0,0,0.0,DNW_Lambu,account.311a45ffdf0f454eb146bebbf2169573,0,1739.4331,0,0.0,0,298,0,236.11497,3,11,175.28301620483398,DNW,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,853d4b27-a936-4bbc-a5fe-59a2aebc9581,"['DNW_Salute', 'DNW_Lambu', 'DNW_HelleN', 'DNW_seoul']",11,4,2,4315.0108924999995,1508.7451500000002,1137.834490776062,1015.5
2,1,2,342.4142,byplayer,0,3,29,1,1,5.1375346,DNW_HelleN,account.5f850d6edddc41259bd1f739cd2ef648,0,4161.2593,0,0.0,0,1270,0,966.4598,5,11,338.3503761291504,DNW,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,853d4b27-a936-4bbc-a5fe-59a2aebc9581,"['DNW_Salute', 'DNW_Lambu', 'DNW_HelleN', 'DNW_seoul']",11,4,2,4315.0108924999995,1508.7451500000002,1137.834490776062,1015.5
2,0,6,497.342,byplayer,1,3,15,1,2,83.319824,DNW_seoul,account.43aebbb76237427d838017e09fee0711,3,3917.115,0,0.0,0,1270,0,1360.3983,4,11,365.6972494125366,DNW,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,853d4b27-a936-4bbc-a5fe-59a2aebc9581,"['DNW_Salute', 'DNW_Lambu', 'DNW_HelleN', 'DNW_seoul']",11,4,2,4315.0108924999995,1508.7451500000002,1137.834490776062,1015.5
0,0,2,140.59633,byplayer,0,0,45,0,0,0.0,NH_MMing,account.a6a176516b3e4c56ba71e8dc15abfc88,1,9518.928,0,0.0,0,1504,0,1682.5006,3,6,100.0,NH,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,f562e268-c4c6-46ad-a733-76b13d06809c,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",6,1,0,10336.13995,599.6140499999999,528.9672908782959,1488.25
2,0,4,274.385,byplayer,1,2,23,1,1,0.9404354,NH_ZpYan1,account.5426f11f1f63419fa3d6bd0bb9d78e88,0,8231.29,0,0.0,0,1514,0,1758.1028,5,6,145.16231536865234,NH,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,f562e268-c4c6-46ad-a733-76b13d06809c,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",6,1,0,10336.13995,599.6140499999999,528.9672908782959,1488.25
0,0,3,184.63272,byplayer,0,1,44,0,0,0.0,NH_Nannnnn,account.6b2e0340b0f54a2db5c3c88af1a3c806,0,7931.656,0,0.0,0,1514,0,1657.1665,5,6,190.0,NH,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,f562e268-c4c6-46ad-a733-76b13d06809c,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",6,1,0,10336.13995,599.6140499999999,528.9672908782959,1488.25
0,0,0,0.0,byplayer,0,0,46,0,0,0.0,NH_HSmm,account.0ca2a11e944744bb9241c509d8fc5faa,0,8812.771,0,0.0,0,1421,0,1752.1449,4,6,93.80497550964355,NH,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,f562e268-c4c6-46ad-a733-76b13d06809c,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",6,1,0,10336.13995,599.6140499999999,528.9672908782959,1488.25
4,3,3,576.3363,byplayer,1,7,9,2,2,222.83057,NAVI_ubah,account.63bc86b07068499190e11cb0e1e9d516,0,2328.742,0,0.0,0,1682,0,941.85175,6,2,463.8128490447998,NAVI,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,5dd546cd-49f1-46a5-8c7c-37ffcf487185,"['NAVI_ubah', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_alya']",2,11,12,3865.60059,1774.38463,1566.0943603515625,1722.5
1,2,4,283.02103,byplayer,0,7,8,1,2,372.70184,NAVI_Mell,account.db97ab142d4748e694dd3fe24222efdb,2,2783.4856,0,0.0,0,1736,0,896.3987,3,2,306.5756034851074,NAVI,5f254229-02f7-465b-b26f-747c254d0085,2022-11-05T14:19:06Z,Erangel (Remastered),1736,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/14/50/1f65289a-5d19-11ed-a4c3-16512f2173af-telemetry.json,5dd546cd-49f1-46a5-8c7c-37ffcf487185,"['NAVI_ubah', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_alya']",2,11,12,3865.60059,1774.38463,1566.0943603515625,1722.5
