dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,4,262.5263,byplayer,0,1,22,1,1,16.51111,BRU_Conaxy,account.946011e735d34166991fd2be2f148387,0,1847.0122,0,0,0,1630,0,1764.6212,5,6,118.01151657104492,BRU,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,99b4142b-9f8a-42e5-95e1-4af23c6555a7,"['BRU_Conaxy', 'BRU_Che4kz1nG', 'BRU_Eaddy', 'BRU_Noardra']",6,8,5,3895.5600999999997,1548.38489,1375.0000972747803,1623.0
0,2,8,193.01013,byplayer,1,10,21,1,1,52.10463,BRU_Che4kz1nG,account.679ae92691834514ae8a3f01d4eb9f38,1,1689.2632,0,0,0,1630,0,1608.1547,3,6,517.2983264923096,BRU,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,99b4142b-9f8a-42e5-95e1-4af23c6555a7,"['BRU_Conaxy', 'BRU_Che4kz1nG', 'BRU_Eaddy', 'BRU_Noardra']",6,8,5,3895.5600999999997,1548.38489,1375.0000972747803,1623.0
2,0,6,395.41376,suicide,1,6,11,2,2,51.282578,BRU_Eaddy,account.b62c18befb2d4a049314bbfd84608c44,0,2500.872,0,0,0,1630,0,2385.1672,4,6,402.9079818725586,BRU,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,99b4142b-9f8a-42e5-95e1-4af23c6555a7,"['BRU_Conaxy', 'BRU_Che4kz1nG', 'BRU_Eaddy', 'BRU_Noardra']",6,8,5,3895.5600999999997,1548.38489,1375.0000972747803,1623.0
4,3,3,697.4347,byplayer,0,3,3,2,4,118.62583,BRU_Noardra,account.d7805acf80134611ac087fde5e0ef964,3,1372.5334,0,0,0,1602,0,2414.6165,5,6,336.7822723388672,BRU,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,99b4142b-9f8a-42e5-95e1-4af23c6555a7,"['BRU_Conaxy', 'BRU_Che4kz1nG', 'BRU_Eaddy', 'BRU_Noardra']",6,8,5,3895.5600999999997,1548.38489,1375.0000972747803,1623.0
1,1,2,242.4121,byplayer,0,1,35,0,0,0.0,FaZe_D1gg3r1,account.be21a1914543479f82536578cbb62929,0,6117.266,0,0,0,1594,0,1050.9215,5,2,195.36999893188477,FaZe,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,36b06ed6-b2be-4dd6-8297-126786e4977e,"['FaZe_D1gg3r1', 'FaZe_Gustav', 'FaZe_Fexx', 'FaZe_Aitzy']",2,7,4,7649.38135,2186.9978,1174.4593486785889,1771.25
3,2,5,504.9539,byplayer,0,2,34,0,0,0.0,FaZe_Gustav,account.ba4dcfc4247641e2bef7e102fa19eaf5,1,6456.9956,0,0,0,1807,0,1409.6034,4,2,297.02757835388184,FaZe,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,36b06ed6-b2be-4dd6-8297-126786e4977e,"['FaZe_D1gg3r1', 'FaZe_Gustav', 'FaZe_Fexx', 'FaZe_Aitzy']",2,7,4,7649.38135,2186.9978,1174.4593486785889,1771.25
6,0,8,643.5865,byplayer,0,4,2,3,5,126.52968,FaZe_Fexx,account.0d211f1fa8fd4d17823c98be5d693ac4,0,6484.2563,0,0,0,1842,0,1386.5886,4,2,408.1213836669922,FaZe,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,36b06ed6-b2be-4dd6-8297-126786e4977e,"['FaZe_D1gg3r1', 'FaZe_Gustav', 'FaZe_Fexx', 'FaZe_Aitzy']",2,7,4,7649.38135,2186.9978,1174.4593486785889,1771.25
4,1,5,796.0453,byplayer,1,2,7,1,2,168.26138,FaZe_Aitzy,account.d6769b94f5b84589a6a706d77edec3c4,1,6527.7324,0,0,0,1842,1,1164.1616,5,2,273.9403877258301,FaZe,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,36b06ed6-b2be-4dd6-8297-126786e4977e,"['FaZe_D1gg3r1', 'FaZe_Gustav', 'FaZe_Fexx', 'FaZe_Aitzy']",2,7,4,7649.38135,2186.9978,1174.4593486785889,1771.25
0,1,4,420.85944,byplayer,0,1,36,0,0,0.0,TYL_xTongzz,account.2ca4569ac4584186bdf9ff9aa1948005,0,7040.681,0,0,0,1812,0,1315.8689,4,3,167.67999744415283,TYL,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,aa927980-f5f2-4639-8880-e4252e359a3c,"['TYL_xTongzz', 'TYL_SIA', 'TYL_Jiaoyang', 'TYL_CC108']",3,2,2,7803.6193375,628.5855029999999,583.5023851394653,1317.25
3,1,3,194.71812,byplayer,1,2,8,1,2,37.6335,TYL_SIA,account.43c63f63e79442929739835d55c7bcfd,0,6855.567,0,0,0,1812,0,1143.2383,4,3,208.82238578796387,TYL,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,aa927980-f5f2-4639-8880-e4252e359a3c,"['TYL_xTongzz', 'TYL_SIA', 'TYL_Jiaoyang', 'TYL_CC108']",3,2,2,7803.6193375,628.5855029999999,583.5023851394653,1317.25
0,0,2,13.007943,byplayer,0,0,37,0,0,0.0,TYL_Jiaoyang,account.bd0f0d40630d421f9904131b4a29b3b2,0,6995.036,0,0,0,889,0,562.664,3,3,107.00000190734863,TYL,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,aa927980-f5f2-4639-8880-e4252e359a3c,"['TYL_xTongzz', 'TYL_SIA', 'TYL_Jiaoyang', 'TYL_CC108']",3,2,2,7803.6193375,628.5855029999999,583.5023851394653,1317.25
0,0,2,0.0,byplayer,0,0,38,0,0,0.0,TYL_CC108,account.5c658f4e2c4b497ba4d379e0ff9e0b91,0,6689.9487,0,0,0,756,0,611.47345,3,3,100.0,TYL,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,aa927980-f5f2-4639-8880-e4252e359a3c,"['TYL_xTongzz', 'TYL_SIA', 'TYL_Jiaoyang', 'TYL_CC108']",3,2,2,7803.6193375,628.5855029999999,583.5023851394653,1317.25
0,0,1,1.3015709,byplayer,0,0,30,1,1,321.96512,PeRo_Loong,account.8d1dcd08baa44f9785601aceae8d2af9,0,7449.6445,0,0,0,820,0,390.99527,2,15,93.14241886138916,PeRo,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,e02a1c8a-8550-4cfb-92f5-0e935793a687,"['PeRo_Loong', 'PeRo_Myl', 'PeRo_Ming', 'PeRo_Aixleft']",15,1,0,7564.749927500001,386.7589979,470.3107080459595,848.25
0,0,2,62.039997,byplayer,0,6,62,0,0,0.0,PeRo_Myl,account.baebc89719394339a40b1e72b0c4edd8,0,6861.395,0,0,0,816,0,351.92197,6,15,146.1873550415039,PeRo,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,e02a1c8a-8550-4cfb-92f5-0e935793a687,"['PeRo_Loong', 'PeRo_Myl', 'PeRo_Ming', 'PeRo_Aixleft']",15,1,0,7564.749927500001,386.7589979,470.3107080459595,848.25
1,0,6,253.94559,byplayer,0,2,60,0,0,0.0,PeRo_Ming,account.d4f5b94cd7d741c7b335cec18968823d,0,7441.5483,0,0,0,888,0,487.38437,4,15,140.98112106323242,PeRo,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,e02a1c8a-8550-4cfb-92f5-0e935793a687,"['PeRo_Loong', 'PeRo_Myl', 'PeRo_Ming', 'PeRo_Aixleft']",15,1,0,7564.749927500001,386.7589979,470.3107080459595,848.25
0,0,3,69.47184,byplayer,0,0,61,0,0,0.0,PeRo_Aixleft,account.c3349c1fe89240d38238d7ae69aeeb83,0,6618.055,0,0,0,869,0,658.0553,6,15,89.99981307983398,PeRo,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,e02a1c8a-8550-4cfb-92f5-0e935793a687,"['PeRo_Loong', 'PeRo_Myl', 'PeRo_Ming', 'PeRo_Aixleft']",15,1,0,7564.749927500001,386.7589979,470.3107080459595,848.25
0,0,3,31.649515,byplayer,0,2,26,1,1,43.06623,KDF_EEND,account.296ae73a09144f949505b831843253ca,0,1046.546,0,0,0,1174,0,1297.3412,7,11,264.7959976196289,KDF,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,b34d20ca-ae79-4703-b510-dd185af8f0c7,"['KDF_EEND', 'KDF_Hikari', 'KDF_Akad', 'KDF_LashK']",11,2,0,2486.19681,404.68169,925.191032409668,1127.25
0,0,0,95.35239,byplayer,0,0,50,0,0,0.0,KDF_Hikari,account.05e75b5790664e59a518a15e5e0afe8e,0,1008.1821,0,0,0,991,0,1215.1586,6,11,100.00000190734863,KDF,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,b34d20ca-ae79-4703-b510-dd185af8f0c7,"['KDF_EEND', 'KDF_Hikari', 'KDF_Akad', 'KDF_LashK']",11,2,0,2486.19681,404.68169,925.191032409668,1127.25
1,0,1,118.450005,byplayer,0,4,49,0,0,0.0,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,2,3064.0425,0,0,0,1170,0,847.92114,4,11,337.79503440856934,KDF,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,b34d20ca-ae79-4703-b510-dd185af8f0c7,"['KDF_EEND', 'KDF_Hikari', 'KDF_Akad', 'KDF_LashK']",11,2,0,2486.19681,404.68169,925.191032409668,1127.25
0,0,1,159.22978,byplayer,0,2,27,1,1,3.7642264,KDF_LashK,account.18a578577b6343e0ba02958e7228b680,1,525.4447,0,0,0,1174,0,940.151,6,11,222.5999984741211,KDF,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,b34d20ca-ae79-4703-b510-dd185af8f0c7,"['KDF_EEND', 'KDF_Hikari', 'KDF_Akad', 'KDF_LashK']",11,2,0,2486.19681,404.68169,925.191032409668,1127.25
1,0,3,113.45662,byplayer,0,7,20,1,1,22.876362,TE_777,account.6c5f7c1fe9094517bc4368b920b7ea69,2,3628.2231,0,0,0,1793,0,2190.2358,4,4,476.76539039611816,TE,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,7f27f164-a5dc-433c-8769-842f71dfaf6e,"['TE_777', 'TE_DuCkHjeUz', 'TE_Leviz', 'TE_Smell']",4,6,1,5797.254825,1078.8902600000001,1434.2265996932983,1797.5
1,0,6,225.33528,byplayer,1,5,9,2,2,107.075584,TE_DuCkHjeUz,account.52abce092f5844af8cec49e8a064c8d2,0,3632.7307,0,0,0,1799,0,2772.5144,5,4,330.39646434783936,TE,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,7f27f164-a5dc-433c-8769-842f71dfaf6e,"['TE_777', 'TE_DuCkHjeUz', 'TE_Leviz', 'TE_Smell']",4,6,1,5797.254825,1078.8902600000001,1434.2265996932983,1797.5
1,0,3,235.54306,byplayer,0,3,19,1,1,18.478828,TE_Leviz,account.f9cd747bad7444a791b47b38baa99e48,0,4028.799,0,0,0,1799,0,1367.0403,3,4,210.4142837524414,TE,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,7f27f164-a5dc-433c-8769-842f71dfaf6e,"['TE_777', 'TE_DuCkHjeUz', 'TE_Leviz', 'TE_Smell']",4,6,1,5797.254825,1078.8902600000001,1434.2265996932983,1797.5
2,1,6,504.5553,byplayer,1,4,10,1,2,68.29002,TE_Smell,account.c6f43909d033401d8efa6ca75a804b04,1,3536.0972,0,0,0,1799,0,2033.3788,4,4,416.6504611968994,TE,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,7f27f164-a5dc-433c-8769-842f71dfaf6e,"['TE_777', 'TE_DuCkHjeUz', 'TE_Leviz', 'TE_Smell']",4,6,1,5797.254825,1078.8902600000001,1434.2265996932983,1797.5
1,2,5,425.21594,byplayer,0,7,23,1,1,13.754098,SQ_M1ME,account.32fb8fec620d42cfb6f877837ecd829a,1,2860.6965,0,0,0,1497,0,1936.7059,4,7,306.2158737182617,SQ,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,ca83a0f6-0c8d-46be-aa3b-07d051fe8e6a,"['SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN', 'SQ_Shrimzy']",7,8,2,4385.8874749999995,1286.11932,1200.4563636779785,1491.5
0,0,5,213.16927,byzone,0,8,13,1,2,111.32249,SQ_hwinn,account.4a0b2eef48da4e6cb9ad99b44bac8868,0,2750.5398,0,0,0,1485,0,1490.8202,3,7,408.3379774093628,SQ,602bdbe9-4201-4bdc-a652-2eb8fee9eb3d,2022-11-12T13:41:06Z,Erangel (Remastered),1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/14/13/38636e4d-6294-11ed-a4c3-16512f2173af-telemetry.json,ca83a0f6-0c8d-46be-aa3b-07d051fe8e6a,"['SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN', 'SQ_Shrimzy']",7,8,2,4385.8874749999995,1286.11932,1200.4563636779785,1491.5
