dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,0,43,0,0,0.0,GEN_Asura,account.0f3f4c9fbea048fd820056e5adceb6ea,0,3031.21,0,0,0,635,0,711.9268,4,8,98.35313415527344,GEN,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,4b3193a5-ad9c-4fe4-8495-b8fce4f48c31,"['GEN_Asura', 'GEN_Inonix', 'GEN_Adder', 'GEN_Renba']",8,0,0,7288.232792500001,349.55281399999996,614.2631158828735,1162.25
0,0,6,319.20532,byplayer,0,1,41,0,0,0.0,GEN_Inonix,account.6cf349c029a241b4ab975ed390eff921,0,7503.07,0,0,0,1338,1,1185.3953,5,8,170.4550266265869,GEN,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,4b3193a5-ad9c-4fe4-8495-b8fce4f48c31,"['GEN_Asura', 'GEN_Inonix', 'GEN_Adder', 'GEN_Renba']",8,0,0,7288.232792500001,349.55281399999996,614.2631158828735,1162.25
0,0,3,0.0,byplayer,0,3,42,0,0,0.0,GEN_Adder,account.e62939f355d84da3a1942490dea87391,0,7557.7856,0,0,0,1338,0,820.44147,4,8,169.3752098083496,GEN,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,4b3193a5-ad9c-4fe4-8495-b8fce4f48c31,"['GEN_Asura', 'GEN_Inonix', 'GEN_Adder', 'GEN_Renba']",8,0,0,7288.232792500001,349.55281399999996,614.2631158828735,1162.25
0,0,3,30.347494,byplayer,0,1,40,0,0,0.0,GEN_Renba,account.9421bafc6f134a5c957c20416fa4587a,0,7295.389,0,0,0,1338,0,1047.713,6,8,176.07974529266357,GEN,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,4b3193a5-ad9c-4fe4-8495-b8fce4f48c31,"['GEN_Asura', 'GEN_Inonix', 'GEN_Adder', 'GEN_Renba']",8,0,0,7288.232792500001,349.55281399999996,614.2631158828735,1162.25
1,0,6,118.00707,byplayer,0,5,47,0,0,0.0,17_SuJiu,account.6c72b19fa5f84f6d8f057800fcb8c7e4,0,5916.0215,0,0,1,1295,0,1182.529,4,10,311.8589744567871,17,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,2d3a6778-adc2-4485-bce6-ba15f6c5a38b,"['17_SuJiu', '17_shou', '17_Lilghost', '17_xwudd']",10,1,0,7024.381475,710.055768,876.7129249572754,1293.0
0,0,6,132.79105,byplayer,0,0,48,0,0,0.0,17_shou,account.fbcd9114dda54349be8984db3a56a529,0,6023.216,0,0,0,1283,0,1141.7563,5,10,84.30391502380371,17,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,2d3a6778-adc2-4485-bce6-ba15f6c5a38b,"['17_SuJiu', '17_shou', '17_Lilghost', '17_xwudd']",10,1,0,7024.381475,710.055768,876.7129249572754,1293.0
0,0,2,44.810448,byplayer,0,1,26,1,1,544.1754,17_Lilghost,account.044fdaf796814b68a5be3eb2364d1729,0,5796.674,0,0,0,1292,0,1112.165,7,10,184.41101455688477,17,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,2d3a6778-adc2-4485-bce6-ba15f6c5a38b,"['17_SuJiu', '17_shou', '17_Lilghost', '17_xwudd']",10,1,0,7024.381475,710.055768,876.7129249572754,1293.0
1,0,5,414.4472,byplayer,0,4,46,0,0,0.0,17_xwudd,account.be483b1d24c34bce9affba1f346a6679,0,6170.7417,0,0,0,1302,0,754.4224,4,10,296.1390209197998,17,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,2d3a6778-adc2-4485-bce6-ba15f6c5a38b,"['17_SuJiu', '17_shou', '17_Lilghost', '17_xwudd']",10,1,0,7024.381475,710.055768,876.7129249572754,1293.0
0,1,6,335.86395,byplayer,0,8,34,0,0,0.0,LG_PENTA,account.a6039fbd79e94d428b649a60e1028611,0,6587.8325,0,0,0,1615,0,1463.0702,3,4,349.4626941680908,LG,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,c5001d5b-71f0-4e16-864e-83520befb6d9,"['LG_PENTA', 'LG_alow', 'LG_luke12', 'LG_PurdyKurty']",4,6,5,7655.189875,2402.00833,1563.0461692810059,1615.0
4,1,6,753.1717,byplayer,0,12,6,2,3,28.802753,LG_alow,account.516a7aa3762b4d199819d03232db9e37,0,5987.8774,0,0,0,1615,1,1446.2634,5,4,577.6096229553223,LG,60870f4c-c7b1-4731-b488-c4f1d7e295af,2022-11-06T14:21:34Z,Miramar,1698,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/14/51/8c3a491d-5de2-11ed-a4c3-16512f2173af-telemetry.json,c5001d5b-71f0-4e16-864e-83520befb6d9,"['LG_PENTA', 'LG_alow', 'LG_luke12', 'LG_PurdyKurty']",4,6,5,7655.189875,2402.00833,1563.0461692810059,1615.0
