dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
5,2,7,762.9424,alive,3,8,1,2,7,156.2043,FaZe_Gustav,account.ba4dcfc4247641e2bef7e102fa19eaf5,3,7643.8296,0,0,0,1846,0,1281.3798,5,1,570.5922775268555,FaZe,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,4aa71d1b-5ade-45a3-8c01-a0b018d4aa09,"['FaZe_Gustav', 'FaZe_Fexx', 'FaZe_D1gg3r1', 'FaZe_Aitzy']",1,14,10,9600.9848,1995.80231,1580.305757522583,1846.0
2,1,6,485.49878,alive,0,4,6,2,3,50.792465,FaZe_Fexx,account.0d211f1fa8fd4d17823c98be5d693ac4,1,8278.494,0,0,0,1846,0,1333.2845,7,1,285.16594314575195,FaZe,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,4aa71d1b-5ade-45a3-8c01-a0b018d4aa09,"['FaZe_Gustav', 'FaZe_Fexx', 'FaZe_D1gg3r1', 'FaZe_Aitzy']",1,14,10,9600.9848,1995.80231,1580.305757522583,1846.0
1,4,5,315.0681,alive,0,6,32,0,0,0.0,FaZe_D1gg3r1,account.be21a1914543479f82536578cbb62929,0,8290.476,0,0,0,1846,1,1193.9082,2,1,382.91734886169434,FaZe,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,4aa71d1b-5ade-45a3-8c01-a0b018d4aa09,"['FaZe_Gustav', 'FaZe_Fexx', 'FaZe_D1gg3r1', 'FaZe_Aitzy']",1,14,10,9600.9848,1995.80231,1580.305757522583,1846.0
4,3,6,432.29303,alive,2,5,3,1,4,202.14845,FaZe_Aitzy,account.d6769b94f5b84589a6a706d77edec3c4,1,9164.539,0,0,0,1846,0,1218.0281,4,1,341.63018798828125,FaZe,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,4aa71d1b-5ade-45a3-8c01-a0b018d4aa09,"['FaZe_Gustav', 'FaZe_Fexx', 'FaZe_D1gg3r1', 'FaZe_Aitzy']",1,14,10,9600.9848,1995.80231,1580.305757522583,1846.0
3,1,1,170.50478,byplayer,0,0,13,1,2,35.055374,GEX_Savior,account.f6fb3fc3906349cbb78ec8c99add3ffe,0,7302.8154,0,0,0,1160,0,1062.7493,2,6,112.00000190734863,GEX,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,bbba4f75-e9af-492e-a0a6-295a3eacb78e,"['GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan', 'GEX_SSR']",6,5,4,7944.3164750000005,770.244254,850.4386157989502,1243.75
0,0,0,164.26599,byplayer,1,2,20,1,1,30.648615,GEX_YanLi,account.bd7565e6a9b1444a975c9ce32cd7f8f7,1,6665.06,0,0,0,1155,0,783.7399,3,6,193.3420696258545,GEX,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,bbba4f75-e9af-492e-a0a6-295a3eacb78e,"['GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan', 'GEX_SSR']",6,5,4,7944.3164750000005,770.244254,850.4386157989502,1243.75
0,1,5,36.815224,byplayer,0,4,38,0,0,0.0,GEX_ZhenNan,account.3b26252a5da74d0e849e55603cb9011a,0,7389.908,0,0,0,1166,0,642.9412,4,6,226.97142601013184,GEX,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,bbba4f75-e9af-492e-a0a6-295a3eacb78e,"['GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan', 'GEX_SSR']",6,5,4,7944.3164750000005,770.244254,850.4386157989502,1243.75
1,2,3,398.65826,byplayer,1,3,12,1,2,228.88992,GEX_SSR,account.dfce9d35608e498eb641c8e55da6508d,0,6351.165,0,0,0,1494,0,1578.8871,4,6,318.12511825561523,GEX,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,bbba4f75-e9af-492e-a0a6-295a3eacb78e,"['GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan', 'GEX_SSR']",6,5,4,7944.3164750000005,770.244254,850.4386157989502,1243.75
0,0,5,92.49704,byplayer,0,3,45,0,0,0.0,BBL_Quetpa,account.2a0e08b9ccc648e1807fd6a5d86eeff4,1,3725.77,0,0,0,1293,0,1557.3868,4,11,269.68944358825684,BBL,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,53aaba36-1dda-464e-af7d-bda686dc1815,"['BBL_Quetpa', 'BBL_CodeMarco', 'BBL_Thenderlost', 'BBL_Smash']",11,0,0,5419.83575,544.55441,828.9987926483154,1197.5
1,0,4,258.70892,byplayer,0,2,44,0,0,0.0,BBL_CodeMarco,account.b453a89678f34317ae55a50694dd77e0,0,4229.556,0,0,1,1293,0,1506.8436,5,11,315.0,BBL,614c7a92-f24e-4c7f-aa24-b22ad284a33c,2022-11-14T14:52:34Z,Erangel (Remastered),1846,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/15/25/8c931bef-6430-11ed-a4c3-16512f2173af-telemetry.json,53aaba36-1dda-464e-af7d-bda686dc1815,"['BBL_Quetpa', 'BBL_CodeMarco', 'BBL_Thenderlost', 'BBL_Smash']",11,0,0,5419.83575,544.55441,828.9987926483154,1197.5
