dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,2,224.01184,byplayer,1,1,14,1,2,56.980824,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,1,3712.6052,0,0,0,1205,0,1051.3628,7,11,194.50371742248535,TSM,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,d9a42740-ae60-4984-ab53-7c086d39f677,"['TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW']",11,4,1,4413.961987500001,644.1340050000001,928.2235622406006,1190.75
0,0,1,79.54689,byplayer,0,1,52,0,0,0.0,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,1,3373.761,0,0,0,1163,0,911.75195,5,11,200.00000190734863,TSM,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,d9a42740-ae60-4984-ab53-7c086d39f677,"['TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW']",11,4,1,4413.961987500001,644.1340050000001,928.2235622406006,1190.75
2,0,5,313.02725,byplayer,1,4,15,1,2,133.80995,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,3221.5828,0,0,0,1205,0,1128.6382,3,11,337.0957260131836,TSM,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,d9a42740-ae60-4984-ab53-7c086d39f677,"['TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW']",11,4,1,4413.961987500001,644.1340050000001,928.2235622406006,1190.75
0,0,1,27.548025,byplayer,0,2,51,0,0,0.0,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,1,3159.6797,0,0,0,1190,0,1096.4663,4,11,196.624116897583,TSM,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,d9a42740-ae60-4984-ab53-7c086d39f677,"['TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW']",11,4,1,4413.961987500001,644.1340050000001,928.2235622406006,1190.75
6,1,5,724.5594,byplayer,0,3,6,3,3,46.188213,TL_jeemzz,account.237b866a4f4848c8bfc1002d07dab622,0,3344.4163,0,0,0,1678,0,1743.03,4,5,286.3427314758301,TL,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,4efce710-2056-49fb-937d-57f4fbf07681,"['TL_jeemzz', 'TL_mxey', 'TL_clib', 'TL_ibiza']",5,3,2,6516.442424999999,1203.988008,830.9199390411377,1479.75
1,1,4,179.70709,byplayer,0,2,41,0,0,0.0,TL_mxey,account.e6d6bdf0327f4453bcb187ee01fdbc54,0,6444.364,0,0,0,1433,0,1327.7327,4,5,185.22122764587402,TL,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,4efce710-2056-49fb-937d-57f4fbf07681,"['TL_jeemzz', 'TL_mxey', 'TL_clib', 'TL_ibiza']",5,3,2,6516.442424999999,1203.988008,830.9199390411377,1479.75
0,0,2,252.32292,byplayer,0,5,40,0,0,0.0,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,5804.5474,0,0,0,1677,0,1796.7148,4,5,251.3559799194336,TL,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,4efce710-2056-49fb-937d-57f4fbf07681,"['TL_jeemzz', 'TL_mxey', 'TL_clib', 'TL_ibiza']",5,3,2,6516.442424999999,1203.988008,830.9199390411377,1479.75
0,0,2,47.398598,byplayer,0,0,42,0,0,0.0,TL_ibiza,account.94e9e160ce2f471c8e4892e55fd6c5be,0,4094.224,0,0,0,1131,0,1510.7405,4,5,108.0,TL,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,4efce710-2056-49fb-937d-57f4fbf07681,"['TL_jeemzz', 'TL_mxey', 'TL_clib', 'TL_ibiza']",5,3,2,6516.442424999999,1203.988008,830.9199390411377,1479.75
0,0,0,172.36664,byplayer,0,0,60,0,0,0.0,GEN_Inonix,account.b683ba2d6c0b4c728777d62de1aa9cbd,0,2351.6577,0,0,0,860,0,541.6947,4,15,88.08884239196777,GEN,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,a70cd61b-3cb9-4b77-bcba-99de6ca343d3,"['GEN_Inonix', 'GEN_Esther', 'GEN_Pio', 'GEN_Asura']",15,0,0,2709.2381925000004,221.38642599999997,557.9741916656494,766.75
0,0,1,20.034,byplayer,0,0,63,0,0,0.0,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,0,1246.3367,0,0,0,666,0,820.4515,5,15,100.0,GEN,63e7f25e-32b7-4922-bb9a-d2cddc82fb72,2021-11-27T10:03:35Z,Erangel (Remastered),1941,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/10/37/0ef368e6-4f6e-11ec-9c21-16512f2173af-telemetry.json,a70cd61b-3cb9-4b77-bcba-99de6ca343d3,"['GEN_Inonix', 'GEN_Esther', 'GEN_Pio', 'GEN_Asura']",15,0,0,2709.2381925000004,221.38642599999997,557.9741916656494,766.75
