dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,7,62.632446,byplayer,0,3,23,1,1,21.060728,SQ_M1ME,account.32fb8fec620d42cfb6f877837ecd829a,1,3961.4294,0,0,0,1344,0,1274.9653,8,8,289.0646924972534,SQ,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,5c46b960-58d1-4570-8b30-481431195467,"['SQ_M1ME', 'SQ_hwinn', 'SQ_Shrimzy', 'SQ_TGLTN']",8,4,4,5558.70479,774.298302,1242.722493171692,1360.25
0,0,4,112.937256,byplayer,0,3,47,0,0,0.0,SQ_hwinn,account.4a0b2eef48da4e6cb9ad99b44bac8868,0,4298.819,0,0,0,1369,0,947.91296,6,8,355.5911121368408,SQ,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,5c46b960-58d1-4570-8b30-481431195467,"['SQ_M1ME', 'SQ_hwinn', 'SQ_Shrimzy', 'SQ_TGLTN']",8,4,4,5558.70479,774.298302,1242.722493171692,1360.25
2,2,10,270.4033,byplayer,0,2,22,1,1,36.61903,SQ_Shrimzy,account.e5440048b94144b29288636eaab6ba50,0,4745.733,0,0,0,1357,0,1296.5336,5,8,313.6581401824951,SQ,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,5c46b960-58d1-4570-8b30-481431195467,"['SQ_M1ME', 'SQ_hwinn', 'SQ_Shrimzy', 'SQ_TGLTN']",8,4,4,5558.70479,774.298302,1242.722493171692,1360.25
1,2,4,328.3253,byplayer,0,3,13,2,2,19.905903,SQ_TGLTN,account.7fe830c5a2b746e7a78d980edad48fb4,1,4306.0903,0,0,0,1371,0,1403.3356,4,8,284.40854835510254,SQ,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,5c46b960-58d1-4570-8b30-481431195467,"['SQ_M1ME', 'SQ_hwinn', 'SQ_Shrimzy', 'SQ_TGLTN']",8,4,4,5558.70479,774.298302,1242.722493171692,1360.25
0,2,3,231.62268,byplayer,0,2,21,1,1,3.3967733,OP_mxey,account.b5205dc056b8454d912beef9dc797bf9,0,8333.368,0,0,0,1400,0,1780.1786,5,7,247.87295722961426,OP,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,f481a3d2-f316-47bc-8bf0-fc804bf92749,"['OP_mxey', 'OP_jeemzz', 'OP_clib', 'OP_vard']",7,3,2,9372.01855,747.3340800000001,787.4957284927368,1263.75
1,0,4,247.2162,byplayer,0,8,45,0,0,0.0,OP_jeemzz,account.79106b57d5884c91a2f6f9e5d0c5e9d4,0,7444.875,0,0,0,1403,0,1477.638,5,7,313.86251068115234,OP,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,f481a3d2-f316-47bc-8bf0-fc804bf92749,"['OP_mxey', 'OP_jeemzz', 'OP_clib', 'OP_vard']",7,3,2,9372.01855,747.3340800000001,787.4957284927368,1263.75
0,0,1,0.0,byplayer,0,0,46,0,0,0.0,OP_clib,account.81f01a8db8bb4e6ebe1c7e3952dc5871,0,7601.846,0,0,0,849,0,760.6353,5,7,125.76025772094727,OP,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,f481a3d2-f316-47bc-8bf0-fc804bf92749,"['OP_mxey', 'OP_jeemzz', 'OP_clib', 'OP_vard']",7,3,2,9372.01855,747.3340800000001,787.4957284927368,1263.75
1,0,0,268.4952,byplayer,0,0,12,2,2,62.151577,OP_vard,account.7dc38fb4885b4dcdaf6ae9ab773949b5,1,8512.555,0,0,0,1403,0,1576.9783,6,7,100.00000286102295,OP,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,f481a3d2-f316-47bc-8bf0-fc804bf92749,"['OP_mxey', 'OP_jeemzz', 'OP_clib', 'OP_vard']",7,3,2,9372.01855,747.3340800000001,787.4957284927368,1263.75
1,0,0,100.0,byplayer,0,0,63,0,0,0.0,GEX_SSR,account.dfce9d35608e498eb641c8e55da6508d,0,773.11334,0,0,0,549,0,336.2121,5,16,99.99999809265137,GEX,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,d23f9ddd-fa21-4d7e-8892-ee1e9e2b5279,"['GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi']",16,0,0,2108.4651525,192.585135,389.0324468612671,482.0
0,0,0,38.04468,byplayer,0,0,65,0,0,0.0,GEX_Savior,account.f6fb3fc3906349cbb78ec8c99add3ffe,0,1838.7075,0,0,0,424,0,416.45343,9,16,99.99999904632568,GEX,652479e3-e00a-4cd6-ba1b-d99862562503,2022-11-05T14:55:57Z,Miramar,1780,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/05/15/27/5f17ca34-5d1e-11ed-a4c3-16512f2173af-telemetry.json,d23f9ddd-fa21-4d7e-8892-ee1e9e2b5279,"['GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi']",16,0,0,2108.4651525,192.585135,389.0324468612671,482.0
