dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,0,190.32985,byplayer,0,0,45,0,0,0.0,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,2852.247,0,0.0,0,1311,0,1069.6584,4,8,100.0,TSM,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,fde3414b-7a2a-40ab-963c-ba6d79cf9126,"['TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_ALOW']",8,0,0,4169.7960075,743.8259899999999,596.814169883728,1345.0
1,0,4,145.85928,byplayer,0,3,42,0,0,0.0,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,3120.9026,0,0.0,0,1364,0,1000.93085,2,8,222.39371299743652,TSM,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,fde3414b-7a2a-40ab-963c-ba6d79cf9126,"['TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_ALOW']",8,0,0,4169.7960075,743.8259899999999,596.814169883728,1345.0
1,0,2,186.6455,byplayer,0,3,44,0,0,0.0,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,3495.407,0,0.0,0,1347,0,847.35474,5,8,169.4204559326172,TSM,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,fde3414b-7a2a-40ab-963c-ba6d79cf9126,"['TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_ALOW']",8,0,0,4169.7960075,743.8259899999999,596.814169883728,1345.0
1,0,2,220.99136,byplayer,0,0,43,0,0,0.0,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,3365.5032,0,0.0,0,1358,0,927.18024,4,8,105.00000095367432,TSM,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,fde3414b-7a2a-40ab-963c-ba6d79cf9126,"['TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_ALOW']",8,0,0,4169.7960075,743.8259899999999,596.814169883728,1345.0
1,0,0,128.56316,byplayer,0,1,15,1,1,275.94122,TL_jeemzz,account.237b866a4f4848c8bfc1002d07dab622,0,2424.7966,0,0.0,0,1230,0,1486.2671,6,4,199.99999618530273,TL,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,a173f352-959d-460b-8aab-8ea57429f0c5,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",4,3,5,3548.7129250000003,705.0821050000001,1049.5221252441406,1566.0
1,3,5,188.2429,byplayer,0,5,37,0,0,0.0,TL_ibiza,account.94e9e160ce2f471c8e4892e55fd6c5be,2,1971.3076,0,0.0,0,1678,0,1447.3668,2,4,240.222993850708,TL,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,a173f352-959d-460b-8aab-8ea57429f0c5,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",4,3,5,3548.7129250000003,705.0821050000001,1049.5221252441406,1566.0
4,1,9,330.3337,byplayer,2,5,9,1,2,115.00338,TL_mxey,account.e6d6bdf0327f4453bcb187ee01fdbc54,0,2525.8127,0,0.0,0,1678,0,1730.7657,5,4,367.08091735839844,TL,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,a173f352-959d-460b-8aab-8ea57429f0c5,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",4,3,5,3548.7129250000003,705.0821050000001,1049.5221252441406,1566.0
0,1,5,57.942345,byplayer,0,1,36,0,0,0.0,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,1364.4023,0,0.0,0,1678,0,1244.1329,6,4,242.21821784973145,TL,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,a173f352-959d-460b-8aab-8ea57429f0c5,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",4,3,5,3548.7129250000003,705.0821050000001,1049.5221252441406,1566.0
1,0,3,147.52,byplayer,0,2,29,1,1,5.809355,ENCE_SKUIJKE,account.d298860040d14f0ca5bf45a1e266ffe6,0,1965.4972,0,0.0,0,1033,0,581.51337,6,15,200.01368141174316,ENCE,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,b31378d2-03f0-4d85-a166-486d27e9b9bc,"['ENCE_SKUIJKE', 'ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",15,1,0,3815.4942300000002,532.845395,676.038608789444,1028.75
0,0,3,78.95999,byplayer,0,2,62,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,4750.89,0,0.0,0,1016,0,663.465,3,15,191.56529235839844,ENCE,6c9b118c-bc55-4916-8911-17af071f7a9c,2021-12-19T10:37:45Z,Erangel (Remastered),1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/11/60d3b5a6-60bc-11ec-9c21-16512f2173af-telemetry.json,b31378d2-03f0-4d85-a166-486d27e9b9bc,"['ENCE_SKUIJKE', 'ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",15,1,0,3815.4942300000002,532.845395,676.038608789444,1028.75
