dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,4,4,268.26074,alive,0,7,9,1,2,119.01523,ENF_kAyle,account.e01b3bc662ee4b028eb377fd83553353,0,2920.251,0,0,0,1781.259,0,1746.5465,5,1,269.0719623565674,ENF,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,81d7f56a-f46c-45e5-8011-a61489ff32d6,"['ENF_kAyle', 'ENF_indigo', 'ENF_DoYa', 'ENF_Seongjang']",1,8,10,5267.92015,1733.36601,874.2478876113892,1779.62525
1,2,3,259.38977,alive,0,0,8,1,2,292.7709,ENF_indigo,account.41baaca34c7f44aabeae71a1ea9d89de,1,2859.7722,0,0,0,1781.259,0,1963.7032,7,1,54.345245361328125,ENF,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,81d7f56a-f46c-45e5-8011-a61489ff32d6,"['ENF_kAyle', 'ENF_indigo', 'ENF_DoYa', 'ENF_Seongjang']",1,8,10,5267.92015,1733.36601,874.2478876113892,1779.62525
0,3,4,679.4382,alive,1,1,5,1,3,62.009853,ENF_DoYa,account.520b568b36504e88879c7766fa4df976,0,2875.8435,0,0,0,1781.259,0,2728.6765,5,1,80.13280296325684,ENF,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,81d7f56a-f46c-45e5-8011-a61489ff32d6,"['ENF_kAyle', 'ENF_indigo', 'ENF_DoYa', 'ENF_Seongjang']",1,8,10,5267.92015,1733.36601,874.2478876113892,1779.62525
1,1,6,526.2773,byplayer,1,4,17,1,1,41.664955,ENF_Seongjang,account.6fbf2004db804a2c95e5a4f375140e4a,0,3729.9639,0,0,0,1774.724,0,2246.9238,6,1,470.6978769302368,ENF,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,81d7f56a-f46c-45e5-8011-a61489ff32d6,"['ENF_kAyle', 'ENF_indigo', 'ENF_DoYa', 'ENF_Seongjang']",1,8,10,5267.92015,1733.36601,874.2478876113892,1779.62525
2,1,6,485.37494,byplayer,0,4,1,2,5,106.31957,LZR_Uncivil,account.6203a5e955bb4f1294cdad985d0b20d7,0,3331.269,0,0,0,1605.356,1,2938.2537,5,4,388.44891929626465,LZR,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,69baa920-ed47-4cee-be84-8ddb5bbf893a,"['LZR_Uncivil', 'LZR_luke12', 'LZR_aLOW', 'LZR_PurdyKurty']",4,11,7,6429.118375,1984.70047,1250.170968055725,1492.3020000000001
1,1,1,215.40509,byplayer,0,0,22,1,1,42.94147,LZR_luke12,account.a90ea2b7552846c3b8440c04035cf463,0,4286.7715,0,0,0,1153.133,0,1691.721,4,4,100.00000381469727,LZR,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,69baa920-ed47-4cee-be84-8ddb5bbf893a,"['LZR_Uncivil', 'LZR_luke12', 'LZR_aLOW', 'LZR_PurdyKurty']",4,11,7,6429.118375,1984.70047,1250.170968055725,1492.3020000000001
2,4,6,718.80994,byplayer,1,4,21,1,1,55.90605,LZR_aLOW,account.cfc70e3a14964bdd94ba2c90954b860f,0,3713.305,0,0,0,1605.361,0,3001.9138,9,4,398.40543842315674,LZR,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,69baa920-ed47-4cee-be84-8ddb5bbf893a,"['LZR_Uncivil', 'LZR_luke12', 'LZR_aLOW', 'LZR_PurdyKurty']",4,11,7,6429.118375,1984.70047,1250.170968055725,1492.3020000000001
4,1,7,565.1105,byplayer,1,5,2,1,4,78.479,LZR_PurdyKurty,account.0afa86ca4258437b835ac9e8188f65fe,1,3930.4155,0,0,0,1605.358,0,2822.824,4,4,363.31660652160645,LZR,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,69baa920-ed47-4cee-be84-8ddb5bbf893a,"['LZR_Uncivil', 'LZR_luke12', 'LZR_aLOW', 'LZR_PurdyKurty']",4,11,7,6429.118375,1984.70047,1250.170968055725,1492.3020000000001
3,0,7,243.67284,byplayer,1,5,7,3,3,14.181049,SDV_Leviz,account.0ef03e9411f64177839a7f10bfd4edab,0,3570.0725,0,0,0,1196.52,2,903.6396,5,11,297.6724090576172,SDV,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,01da7afa-cccf-4f16-9835-4cf55b1610db,"['SDV_Leviz', 'SDV_Turtle', 'SDV_Nickyyy', 'SDV_Jettt']",11,3,2,3550.5474750000003,343.67284,623.305419921875,1008.5897499999999
0,1,3,0.0,byplayer,0,1,84,0,0,0.0,SDV_Turtle,account.afa3e25dce15494e96dd86497fda0170,0,1748.6946,0,0,0,1196.523,0,1392.0541,5,11,175.56833457946777,SDV,725655ab-a78d-457f-bf49-7b2f5b9e3b99,2019-11-16T03:57:36Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/04/28/9390d499-0829-11ea-bc7c-0a586469e7d8-telemetry.json,01da7afa-cccf-4f16-9835-4cf55b1610db,"['SDV_Leviz', 'SDV_Turtle', 'SDV_Nickyyy', 'SDV_Jettt']",11,3,2,3550.5474750000003,343.67284,623.305419921875,1008.5897499999999
