dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,5,340.61078,byplayer,0,8,44,0,0,0.0,FaZe_Aitzy,account.949745190ab045f38bea9bde565387ec,0,9675.722,0,0,0,1401,0,1467.1265,4,8,394.7730522155762,FaZe,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,e274496c-0012-4e9c-b242-76139de913e2,"['FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Gustav', 'FaZe_Fuzzface']",8,4,3,10926.261885,1079.1132499999999,1018.9729909896851,1322.0
2,2,3,372.79907,byplayer,0,3,26,1,1,32.72476,FaZe_Fexx,account.89dfdfdc419a498c814a95565366eb32,0,9418.562,0,0,0,1169,0,1283.3539,3,8,235.54582118988037,FaZe,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,e274496c-0012-4e9c-b242-76139de913e2,"['FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Gustav', 'FaZe_Fuzzface']",8,4,3,10926.261885,1079.1132499999999,1018.9729909896851,1322.0
1,0,1,240.43076,byplayer,2,2,11,1,2,241.16551,FaZe_Gustav,account.f2c6d47dea894ca38e85274e14aa1b37,1,9718.966,0,0,0,1317,0,1122.0327,5,8,247.44346809387207,FaZe,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,e274496c-0012-4e9c-b242-76139de913e2,"['FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Gustav', 'FaZe_Fuzzface']",8,4,3,10926.261885,1079.1132499999999,1018.9729909896851,1322.0
0,0,4,125.27264,byplayer,0,0,25,1,1,58.795635,FaZe_Fuzzface,account.da28ef29a86842699f10e246fb7b78de,0,10291.446,0,0,0,1401,0,727.83844,3,8,141.21064949035645,FaZe,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,e274496c-0012-4e9c-b242-76139de913e2,"['FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Gustav', 'FaZe_Fuzzface']",8,4,3,10926.261885,1079.1132499999999,1018.9729909896851,1322.0
0,0,1,171.22942,byplayer,0,1,45,0,0,0.0,MaD_Lash,account.838e89bc7d184ced83ca824671cd2414,0,858.46454,0,0,0,710,0,985.31287,5,9,120.35073661804199,MaD,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,766661c5-aa6e-417f-9e4b-66f6503dd29c,"['MaD_Lash', 'MaD_DAEVA', 'MaD_EEND', 'MaD_2tap']",9,1,0,2605.9794625,371.22942,480.34058380126953,841.25
2,0,1,200.0,byplayer,0,0,27,1,1,137.46193,MaD_DAEVA,account.2b65056034e6433aa65f77450109cbde,0,1849.5442,0,0,0,1347,0,2204.1223,6,9,128.5898494720459,MaD,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,766661c5-aa6e-417f-9e4b-66f6503dd29c,"['MaD_Lash', 'MaD_DAEVA', 'MaD_EEND', 'MaD_2tap']",9,1,0,2605.9794625,371.22942,480.34058380126953,841.25
0,0,0,0.0,byplayer,0,1,47,0,0,0.0,MaD_EEND,account.de5b3ad505c44295b5445017fa5c11ff,0,1956.3981,0,0,0,650,0,843.9861,6,9,131.39999771118164,MaD,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,766661c5-aa6e-417f-9e4b-66f6503dd29c,"['MaD_Lash', 'MaD_DAEVA', 'MaD_EEND', 'MaD_2tap']",9,1,0,2605.9794625,371.22942,480.34058380126953,841.25
0,0,0,0.0,byplayer,0,0,46,0,0,0.0,MaD_2tap,account.ac0df3688a404880b8f494567aa512fa,0,972.2488,0,0,0,658,0,753.84094,3,9,100.0,MaD,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,766661c5-aa6e-417f-9e4b-66f6503dd29c,"['MaD_Lash', 'MaD_DAEVA', 'MaD_EEND', 'MaD_2tap']",9,1,0,2605.9794625,371.22942,480.34058380126953,841.25
1,0,3,250.06436,byplayer,0,3,57,0,0,0.0,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,1978.802,0,0,0,1107,0,1897.6324,6,13,300.1074638366699,NAVI,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,c65964f6-77ab-470b-9e4b-5272b6f60d39,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",13,3,1,4328.8447,743.33913,862.1635723114014,1089.75
2,1,4,268.49792,byplayer,1,1,13,2,2,100.01053,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,1,2351.8286,0,0,0,1075,0,1188.2131,6,13,250.28595161437988,NAVI,73518dbc-8d01-4877-9058-7033807e6820,2021-11-25T12:57:01Z,Miramar,1819,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/25/13/29/ae109321-4df3-11ec-9c21-16512f2173af-telemetry.json,c65964f6-77ab-470b-9e4b-5272b6f60d39,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",13,3,1,4328.8447,743.33913,862.1635723114014,1089.75
