dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,6,121.38335,byplayer,0,5,37,0,0,0.0,GEN_Asura,account.0f3f4c9fbea048fd820056e5adceb6ea,1,9613.261,0,0.0,0,1655,0,875.4338,6,3,403.0932807922363,GEN,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,9dc9a0e6-1f6a-4dd7-97f2-31c7b4e9da79,"['GEN_Asura', 'GEN_Renba', 'GEN_Adder', 'GEN_Inonix']",3,3,0,8960.520525,727.405044,1317.269130706787,1502.5
0,0,3,22.322144,byplayer,0,2,38,0,0,0.0,GEN_Renba,account.9421bafc6f134a5c957c20416fa4587a,0,8592.543,0,0.0,0,1286,0,675.9814,5,3,259.879976272583,GEN,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,9dc9a0e6-1f6a-4dd7-97f2-31c7b4e9da79,"['GEN_Asura', 'GEN_Renba', 'GEN_Adder', 'GEN_Inonix']",3,3,0,8960.520525,727.405044,1317.269130706787,1502.5
1,0,5,343.1445,byplayer,1,11,17,1,1,53.983,GEN_Adder,account.e62939f355d84da3a1942490dea87391,0,6752.8223,0,0.0,0,1782,0,741.9856,3,3,374.8693332672119,GEN,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,9dc9a0e6-1f6a-4dd7-97f2-31c7b4e9da79,"['GEN_Asura', 'GEN_Renba', 'GEN_Adder', 'GEN_Inonix']",3,3,0,8960.520525,727.405044,1317.269130706787,1502.5
2,0,6,240.55505,byplayer,0,3,8,1,2,9.563767,GEN_Inonix,account.6cf349c029a241b4ab975ed390eff921,0,7383.095,0,0.0,0,1287,0,1206.96,6,3,279.42654037475586,GEN,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,9dc9a0e6-1f6a-4dd7-97f2-31c7b4e9da79,"['GEN_Asura', 'GEN_Renba', 'GEN_Adder', 'GEN_Inonix']",3,3,0,8960.520525,727.405044,1317.269130706787,1502.5
0,3,7,377.48853,byplayer,1,6,18,1,1,36.531143,17_shou,account.fbcd9114dda54349be8984db3a56a529,2,2552.0103,0,0.0,0,1615,0,1624.4458,5,4,452.6951198577881,17,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,42d77200-0b87-4da6-bc73-0cd03fc8f6c3,"['17_shou', '17_Lilghost', '17_xwudd', '17_SuJiu']",4,9,5,4313.723275,1300.11167,1450.4072103500366,1531.75
5,1,7,414.52704,byplayer,2,5,3,1,5,37.534588,17_Lilghost,account.044fdaf796814b68a5be3eb2364d1729,0,3203.344,0,0.0,0,1642,1,1565.1768,5,4,393.95924854278564,17,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,42d77200-0b87-4da6-bc73-0cd03fc8f6c3,"['17_shou', '17_Lilghost', '17_xwudd', '17_SuJiu']",4,9,5,4313.723275,1300.11167,1450.4072103500366,1531.75
2,1,8,508.0961,byplayer,1,7,5,1,3,66.44148,17_xwudd,account.be483b1d24c34bce9affba1f346a6679,0,2711.1184,0,0.0,0,1642,0,1470.8497,4,4,469.97802543640137,17,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,42d77200-0b87-4da6-bc73-0cd03fc8f6c3,"['17_shou', '17_Lilghost', '17_xwudd', '17_SuJiu']",4,9,5,4313.723275,1300.11167,1450.4072103500366,1531.75
0,0,2,0.0,byplayer,0,1,39,0,0,0.0,17_SuJiu,account.6c72b19fa5f84f6d8f057800fcb8c7e4,0,2734.0337,0,0.0,0,1228,0,1393.9144,6,4,133.77481651306152,17,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,42d77200-0b87-4da6-bc73-0cd03fc8f6c3,"['17_shou', '17_Lilghost', '17_xwudd', '17_SuJiu']",4,9,5,4313.723275,1300.11167,1450.4072103500366,1531.75
3,1,4,327.6154,byplayer,1,1,11,1,2,81.31167,PeRo_Ming,account.d4f5b94cd7d741c7b335cec18968823d,1,987.3038,0,0.0,0,1476,0,1515.7126,4,8,224.70692253112793,PeRo,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,f7fc7005-311a-463f-ad4c-412d6df03c32,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",8,5,6,2605.3545649999996,1272.39859,748.3702239990234,1421.25
2,1,4,177.94731,byplayer,0,2,45,0,0,0.0,PeRo_Aixleft,account.c3349c1fe89240d38238d7ae69aeeb83,0,1143.4728,0,0.0,0,1361,0,1723.837,7,8,168.31146621704102,PeRo,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,f7fc7005-311a-463f-ad4c-412d6df03c32,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",8,5,6,2605.3545649999996,1272.39859,748.3702239990234,1421.25
1,2,1,293.16858,byplayer,0,0,24,1,1,41.204594,PeRo_Loong,account.8d1dcd08baa44f9785601aceae8d2af9,0,963.62036,0,0.0,0,1372,0,1360.0398,3,8,118.58183670043945,PeRo,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,f7fc7005-311a-463f-ad4c-412d6df03c32,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",8,5,6,2605.3545649999996,1272.39859,748.3702239990234,1421.25
2,2,5,473.6673,byplayer,0,2,10,2,2,28.484888,PeRo_Myl,account.baebc89719394339a40b1e72b0c4edd8,2,1386.2042,0,0.0,0,1476,1,1341.2277,4,8,236.76999855041504,PeRo,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,f7fc7005-311a-463f-ad4c-412d6df03c32,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",8,5,6,2605.3545649999996,1272.39859,748.3702239990234,1421.25
1,0,6,108.08894,byplayer,0,6,49,0,0,0.0,DAY_PuuChiwz,account.aa926bda70894a5597ce44e11faf5ae1,0,4500.5244,0,0.0,0,1423,0,1986.2292,2,10,377.3757572174072,DAY,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,d0afd191-f69d-460d-93c3-4323dea27777,"['DAY_PuuChiwz', 'DAY_Nourinz', 'DAY_Flash', 'DAY_Belmoth']",10,1,0,6742.290135,305.711933,735.7256841659546,1209.5
1,0,2,45.767517,byplayer,0,1,50,0,0,0.0,DAY_Nourinz,account.77a9426605734fb197ad2f27012d098e,0,5641.4937,0,0.0,0,1279,0,1101.1366,5,10,147.36684799194336,DAY,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,d0afd191-f69d-460d-93c3-4323dea27777,"['DAY_PuuChiwz', 'DAY_Nourinz', 'DAY_Flash', 'DAY_Belmoth']",10,1,0,6742.290135,305.711933,735.7256841659546,1209.5
0,0,3,53.401756,byplayer,0,6,26,1,1,138.90219,DAY_Flash,account.cfe54eb81f1240108673bfa04304580d,0,6559.0493,0,0.0,0,1275,0,1097.7142,4,10,100.00000190734863,DAY,750b21ab-7b1d-4072-a36f-334862409223,2022-11-07T12:56:46Z,Erangel (Remastered),1848,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/13/29/37cdb94f-5ea0-11ed-a4c3-16512f2173af-telemetry.json,d0afd191-f69d-460d-93c3-4323dea27777,"['DAY_PuuChiwz', 'DAY_Nourinz', 'DAY_Flash', 'DAY_Belmoth']",10,1,0,6742.290135,305.711933,735.7256841659546,1209.5
