dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,3,298.66394,byplayer,0,3,19,2,2,19.717424,DNW_Rex,account.f7f20e78ba10427e853a1ef85708ce41,0,2451.257,0,0.0,0,1126,0,1286.2992,7,14,291.51599311828613,DNW,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,5de58550-52d3-4dbc-9c7a-45e520dd0489,"['DNW_Rex', 'DNW_LeClo', 'DNW_Salute', 'DNW_seoul']",14,4,4,2835.19616775,716.21894,799.3068084716797,872.0
0,1,4,117.45,byplayer,0,1,58,0,0,0.0,DNW_LeClo,account.d809f466098c4dfd85be5180e088fa7f,1,2619.7397,0,0.0,0,1126,0,1337.1672,9,14,229.0217056274414,DNW,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,5de58550-52d3-4dbc-9c7a-45e520dd0489,"['DNW_Rex', 'DNW_LeClo', 'DNW_Salute', 'DNW_seoul']",14,4,4,2835.19616775,716.21894,799.3068084716797,872.0
0,1,0,29.4,byplayer,0,0,59,0,0,0.0,DNW_Salute,account.f004af2e9cd6472a82410810814ee08b,0,0.0,0,0.0,0,110,0,22.648571,2,14,100.0,DNW,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,5de58550-52d3-4dbc-9c7a-45e520dd0489,"['DNW_Rex', 'DNW_LeClo', 'DNW_Salute', 'DNW_seoul']",14,4,4,2835.19616775,716.21894,799.3068084716797,872.0
2,1,7,270.705,byplayer,0,1,18,2,2,4.9473987,DNW_seoul,account.0232512c00a341fb8a954ea8777b0cb6,1,2573.4702,0,0.0,0,1126,0,1050.2028,3,14,178.76910972595215,DNW,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,5de58550-52d3-4dbc-9c7a-45e520dd0489,"['DNW_Rex', 'DNW_LeClo', 'DNW_Salute', 'DNW_seoul']",14,4,4,2835.19616775,716.21894,799.3068084716797,872.0
2,1,4,377.3538,byplayer,1,3,12,1,2,170.2783,BN_YoungBii,account.f529d523a46d454990081f523935beb6,0,8033.766,0,0.0,0,1514,0,1636.2903,2,6,137.0105495452881,BN,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,59ae6c0c-41fc-48f4-ad47-61510cf43e5c,"['BN_YoungBii', 'BN_GodAcee', 'BN_Zest', 'BN_SimonT']",6,5,3,9374.819824999999,863.898026,847.5807876586914,1512.0
1,0,8,124.6186,byplayer,1,2,26,1,1,17.63782,BN_GodAcee,account.8f19a63478dc43fc8323ef2fd929c756,1,8203.786,0,0.0,0,1514,0,1591.05,6,6,228.27999687194824,BN,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,59ae6c0c-41fc-48f4-ad47-61510cf43e5c,"['BN_YoungBii', 'BN_GodAcee', 'BN_Zest', 'BN_SimonT']",6,5,3,9374.819824999999,863.898026,847.5807876586914,1512.0
0,0,8,108.670006,byplayer,1,5,13,1,2,125.156456,BN_Zest,account.e742583d9046460580cf393d30c8b49b,0,7173.0283,0,0.0,0,1506,0,1528.9084,5,6,283.9114284515381,BN,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,59ae6c0c-41fc-48f4-ad47-61510cf43e5c,"['BN_YoungBii', 'BN_GodAcee', 'BN_Zest', 'BN_SimonT']",6,5,3,9374.819824999999,863.898026,847.5807876586914,1512.0
0,2,3,253.25562,byplayer,0,1,42,0,0,0.0,BN_SimonT,account.9181ee8d1ab44fb6906aecf61fb4a550,0,7623.956,0,0.0,0,1514,0,1708.4943,6,6,198.378812789917,BN,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,59ae6c0c-41fc-48f4-ad47-61510cf43e5c,"['BN_YoungBii', 'BN_GodAcee', 'BN_Zest', 'BN_SimonT']",6,5,3,9374.819824999999,863.898026,847.5807876586914,1512.0
2,1,3,470.10077,byplayer,1,2,4,1,3,93.622955,GNL_Heaven,account.cd465904d99b4669a9e43f368d7c0e71,0,5406.465,0,0.0,0,1560,0,1954.4146,3,5,173.80799674987793,GNL,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,288442d9-8fd3-487c-9607-ed91330e24e0,"['GNL_Heaven', 'GNL_Americano', 'GNL_Tosi', 'GNL_Corn']",5,7,4,7293.67613075,993.294145,598.6700048446655,1444.5
1,0,3,109.995575,byplayer,0,0,5,2,3,177.0897,GNL_Americano,account.2f99f4b4be7f440d8a4fc98fe40f2143,0,5737.8076,0,0.0,0,1400,0,1653.6937,5,5,111.9999942779541,GNL,75d38daf-500a-404b-8d94-3f9fea1085b9,2021-11-23T13:38:58Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/23/14/12/7037d1e7-4c67-11ec-9c21-16512f2173af-telemetry.json,288442d9-8fd3-487c-9607-ed91330e24e0,"['GNL_Heaven', 'GNL_Americano', 'GNL_Tosi', 'GNL_Corn']",5,7,4,7293.67613075,993.294145,598.6700048446655,1444.5
