dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,22.222305,byplayer,0,0,43,0,0,0.0,SQ_hwinn,account.341678405c804c6784067c59876331c9,0,1196.1941,0,0,0,5,0,270.25635,5,8,100.0,SQ,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,9db612c3-19e6-4aca-bb76-338fb345cb49,"['SQ_hwinn', 'SQ_Shrimzy', 'SQ_TGLTN', 'SQ_M1ME']",8,0,0,2066.4582375,671.403825,569.4284133911133,754.25
1,0,2,292.2664,byplayer,0,2,41,0,0,0.0,SQ_Shrimzy,account.19aece48dbb8447f9d56d56b950e3c21,0,1254.6018,0,0,0,1316,0,1361.8097,7,8,140.7024974822998,SQ,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,9db612c3-19e6-4aca-bb76-338fb345cb49,"['SQ_hwinn', 'SQ_Shrimzy', 'SQ_TGLTN', 'SQ_M1ME']",8,0,0,2066.4582375,671.403825,569.4284133911133,754.25
0,0,3,264.81705,byplayer,0,1,40,0,0,0.0,SQ_TGLTN,account.a17564c94e364bae8c380cb1e7ffd291,0,2467.1716,0,0,0,1318,0,1181.1932,6,8,163.4377098083496,SQ,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,9db612c3-19e6-4aca-bb76-338fb345cb49,"['SQ_hwinn', 'SQ_Shrimzy', 'SQ_TGLTN', 'SQ_M1ME']",8,0,0,2066.4582375,671.403825,569.4284133911133,754.25
0,0,1,92.09807,byplayer,0,5,42,0,0,0.0,SQ_M1ME,account.5824e9a606584aa1a039296123919737,0,185.39203,0,0,0,378,0,349.21417,3,8,165.28820610046387,SQ,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,9db612c3-19e6-4aca-bb76-338fb345cb49,"['SQ_hwinn', 'SQ_Shrimzy', 'SQ_TGLTN', 'SQ_M1ME']",8,0,0,2066.4582375,671.403825,569.4284133911133,754.25
0,0,4,0.0,byplayer,0,3,48,0,0,0.0,SSG_Roth,account.c502c0615ed54582a75dbd44f3eb1fb6,0,1009.3176,0,0,0,1213,0,1110.8107,6,10,207.72551155090332,SSG,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,4ee75310-2706-4ce8-86e4-21053a815ca6,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",10,0,2,3314.8440375,427.890604,601.8526439666748,1213.0
1,1,1,113.458244,byplayer,0,0,47,0,0,0.0,SSG_Sharpshot4k,account.670f0c169bfe43acb48094a3a1cb42b3,0,3150.853,0,0,0,1213,0,1146.0818,7,10,89.53016662597656,SSG,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,4ee75310-2706-4ce8-86e4-21053a815ca6,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",10,0,2,3314.8440375,427.890604,601.8526439666748,1213.0
1,0,1,43.19916,byplayer,0,3,49,0,0,0.0,SSG_oldless,account.895937195477442b85686956ada8cd61,0,1775.9364,0,0,0,1213,0,877.15485,4,10,150.2166633605957,SSG,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,4ee75310-2706-4ce8-86e4-21053a815ca6,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",10,0,2,3314.8440375,427.890604,601.8526439666748,1213.0
1,1,2,271.2332,byplayer,0,1,50,0,0,0.0,SSG_Keenan,account.d41d767940c24b6dab6b1cd04b6790fd,0,3246.2976,0,0,0,1213,0,942.9242,4,10,154.38030242919922,SSG,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,4ee75310-2706-4ce8-86e4-21053a815ca6,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",10,0,2,3314.8440375,427.890604,601.8526439666748,1213.0
2,0,4,301.46848,byplayer,0,0,21,1,1,6.126018,GEX_ZhenNan,account.b717819ba2e5433f9ab7a6e5f81acc8a,0,4359.082,1,0,0,1225,0,1543.4415,4,9,101.99999618530273,GEX,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,b0818e90-9c8c-4611-8725-cc515f95e25d,"['GEX_ZhenNan', 'GEX_Savior', 'GEX_SSR', 'GEX_YanLi']",9,1,0,4313.55684,377.66848,401.9999942779541,649.25
1,0,0,0.0,byplayer,0,0,45,0,0,0.0,GEX_Savior,account.1dc0c7a27efc493faa95756f9a6edd62,0,3842.8145,0,0,1,602,0,487.75436,3,9,100.0,GEX,76c84a0b-ec27-4dcd-84b4-e33e1ecb1a0c,2021-11-20T08:48:48Z,Miramar,1601,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/09/17/acad7cd5-49e2-11ec-9c21-16512f2173af-telemetry.json,b0818e90-9c8c-4611-8725-cc515f95e25d,"['GEX_ZhenNan', 'GEX_Savior', 'GEX_SSR', 'GEX_YanLi']",9,1,0,4313.55684,377.66848,401.9999942779541,649.25
