dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,4,317.22934,byplayer,0,2,60,0,0,0.0,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,1181.0485,0,0,0,855,0,328.44055,6,15,243.08031558990479,NAVI,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,6b7f8002-6afa-45de-b546-34f7313829b2,"['NAVI_xmpl', 'NAVI_Qwizzy', 'NAVI_alya', 'NAVI_Mellman']",15,3,0,1902.4624375000003,864.7302999999999,891.4753160476685,708.25
2,0,5,294.0,byplayer,0,5,10,3,3,4.5420413,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,1656.4324,0,0,0,909,0,423.26172,4,15,364.48322105407715,NAVI,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,6b7f8002-6afa-45de-b546-34f7313829b2,"['NAVI_xmpl', 'NAVI_Qwizzy', 'NAVI_alya', 'NAVI_Mellman']",15,3,0,1902.4624375000003,864.7302999999999,891.4753160476685,708.25
1,0,0,135.47154,byplayer,0,1,62,0,0,0.0,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,926.6384,0,0,0,409,0,395.58832,4,15,139.5169277191162,NAVI,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,6b7f8002-6afa-45de-b546-34f7313829b2,"['NAVI_xmpl', 'NAVI_Qwizzy', 'NAVI_alya', 'NAVI_Mellman']",15,3,0,1902.4624375000003,864.7302999999999,891.4753160476685,708.25
0,0,2,118.02942,byplayer,0,3,61,0,0,0.0,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,1,2354.9065,0,0,0,660,0,343.53336,2,15,144.3948516845703,NAVI,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,6b7f8002-6afa-45de-b546-34f7313829b2,"['NAVI_xmpl', 'NAVI_Qwizzy', 'NAVI_alya', 'NAVI_Mellman']",15,3,0,1902.4624375000003,864.7302999999999,891.4753160476685,708.25
0,0,0,105.31166,byplayer,1,0,24,1,1,209.27385,TL_jeemzz,account.237b866a4f4848c8bfc1002d07dab622,0,3735.081,0,0,0,1047,0,1200.4277,6,14,99.9999942779541,TL,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,88de9a16-aec1-48fa-9b15-9384002b593c,"['TL_jeemzz', 'TL_mxey', 'TL_ibiza', 'TL_clib']",14,1,0,4492.206,344.85431,406.9999885559082,1070.75
0,0,1,0.0,byplayer,0,0,59,0,0,0.0,TL_mxey,account.e6d6bdf0327f4453bcb187ee01fdbc54,0,3554.6677,0,0,0,1060,0,1431.7936,4,14,104.0,TL,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,88de9a16-aec1-48fa-9b15-9384002b593c,"['TL_jeemzz', 'TL_mxey', 'TL_ibiza', 'TL_clib']",14,1,0,4492.206,344.85431,406.9999885559082,1070.75
0,0,2,83.47569,byplayer,0,0,58,0,0,0.0,TL_ibiza,account.94e9e160ce2f471c8e4892e55fd6c5be,0,2692.4016,0,0,0,1065,0,1828.6082,3,14,102.99999809265137,TL,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,88de9a16-aec1-48fa-9b15-9384002b593c,"['TL_jeemzz', 'TL_mxey', 'TL_ibiza', 'TL_clib']",14,1,0,4492.206,344.85431,406.9999885559082,1070.75
1,0,2,156.06696,byplayer,0,0,57,0,0,0.0,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,1725.9286,0,0,0,1111,0,1799.9156,2,14,99.99999618530273,TL,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,88de9a16-aec1-48fa-9b15-9384002b593c,"['TL_jeemzz', 'TL_mxey', 'TL_ibiza', 'TL_clib']",14,1,0,4492.206,344.85431,406.9999885559082,1070.75
1,1,5,280.61182,byplayer,0,4,18,1,1,45.101513,DIG_Poonage,account.8518fc26f0794a5a9bbb6327cd9237ff,1,7353.875,0,0,0,1744,0,1922.0183,4,3,387.5434150695801,DIG,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,75d8963f-3505-4065-a19d-f487e9cbb28b,"['DIG_Poonage', 'DIG_sparkingg', 'DIG_Shinboi', 'DIG_HoneyBadger']",3,5,2,9174.751725000002,1101.23791,942.3983497619629,1740.0
2,1,2,349.11646,byplayer,0,6,12,1,2,182.8572,DIG_sparkingg,account.a764ca4e30e1471892434e8467c7ae93,0,6162.591,0,0,0,1761,0,1202.3235,4,3,270.3949203491211,DIG,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,75d8963f-3505-4065-a19d-f487e9cbb28b,"['DIG_Poonage', 'DIG_sparkingg', 'DIG_Shinboi', 'DIG_HoneyBadger']",3,5,2,9174.751725000002,1101.23791,942.3983497619629,1740.0
0,0,4,64.65813,byplayer,0,1,31,0,0,0.0,DIG_Shinboi,account.b04e330e27b748d6be6ae18cf4594cb4,0,7029.6895,0,0,0,1710,0,2249.5046,6,3,146.48538398742676,DIG,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,75d8963f-3505-4065-a19d-f487e9cbb28b,"['DIG_Poonage', 'DIG_sparkingg', 'DIG_Shinboi', 'DIG_HoneyBadger']",3,5,2,9174.751725000002,1101.23791,942.3983497619629,1740.0
2,0,1,406.8515,byplayer,0,0,13,1,2,100.10654,DIG_HoneyBadger,account.1c7e95a1f3d740edb5e38b2f2b900875,0,8829.673,0,0,0,1745,1,1949.332,3,3,137.97463035583496,DIG,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,75d8963f-3505-4065-a19d-f487e9cbb28b,"['DIG_Poonage', 'DIG_sparkingg', 'DIG_Shinboi', 'DIG_HoneyBadger']",3,5,2,9174.751725000002,1101.23791,942.3983497619629,1740.0
1,1,3,172.04343,byplayer,0,1,19,1,1,20.501123,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,3068.0046,0,0,0,1443,0,1317.9868,5,7,201.00000190734863,NH,78c4262e-6c0b-4fc5-9938-bb7f675e4655,2021-12-11T10:51:21Z,Erangel (Remastered),1769,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/11/22/a89065fe-5a74-11ec-9c21-16512f2173af-telemetry.json,14576d6d-b96e-4f6e-be87-df3313bd14bc,"['NH_Nannnnn', 'NH_MMing', 'NH_HSmm', 'NH_ZpYan1']",7,8,4,4722.348425,621.385627,1190.276623725891,1280.25
