dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
4,2,5,402.91272,byplayer,1,2,11,1,2,129.61415,PeRo_Aixleft,account.07163e02f10144a0b113a2b86e47bf53,0,3021.1833,0,0,0,1482,0,1821.5806,5,8,197.2000026702881,PeRo,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,2caf8508-685f-420b-aaef-45657cc5fe5f,"['PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_mingz1', 'PeRo_Myl']",8,4,3,4104.259175,794.6084099999999,858.3799133300781,1482.0
0,0,5,0.0,byplayer,0,1,48,0,0,0.0,PeRo_Mamu,account.ad09f23195f64641a432677744aaf8c3,0,2138.8254,0,0,0,1482,0,1538.9272,8,8,202.21869277954102,PeRo,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,2caf8508-685f-420b-aaef-45657cc5fe5f,"['PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_mingz1', 'PeRo_Myl']",8,4,3,4104.259175,794.6084099999999,858.3799133300781,1482.0
0,1,4,252.52354,byplayer,0,2,26,1,1,9.812336,PeRo_mingz1,account.77b70b21d25b4330a29bca9ce35b4a80,0,2741.9155,0,0,0,1482,0,1282.5865,8,8,267.20759201049805,PeRo,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,2caf8508-685f-420b-aaef-45657cc5fe5f,"['PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_mingz1', 'PeRo_Myl']",8,4,3,4104.259175,794.6084099999999,858.3799133300781,1482.0
1,0,2,139.17215,byplayer,0,1,25,1,1,53.92317,PeRo_Myl,account.71942085e3fd42299d2db6324ab0853a,1,2269.2307,0,0,0,1482,0,1602.7875,6,8,191.75362586975098,PeRo,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,2caf8508-685f-420b-aaef-45657cc5fe5f,"['PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_mingz1', 'PeRo_Myl']",8,4,3,4104.259175,794.6084099999999,858.3799133300781,1482.0
0,0,2,120.0,alive,0,5,19,1,1,58.43508,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,1,1002.0767,0,0,0,1854,0,1146.6302,6,1,92.13731002807617,GEX,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,2d8d39e0-ea46-492a-99a6-8f0d8dcb25a9,"['GEX_YanLi', 'GEX_Savior', 'GEX_SSR', 'GEX_ZhenNan']",1,8,2,2557.6034,1478.07596,690.276611328125,1854.0
3,1,4,742.75323,alive,0,10,2,2,3,269.91055,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,0,1787.7457,0,0,0,1854,0,1150.9441,6,1,395.9388828277588,GEX,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,2d8d39e0-ea46-492a-99a6-8f0d8dcb25a9,"['GEX_YanLi', 'GEX_Savior', 'GEX_SSR', 'GEX_ZhenNan']",1,8,2,2557.6034,1478.07596,690.276611328125,1854.0
2,1,1,332.01218,alive,0,0,6,1,2,88.89569,GEX_SSR,account.a9a531fed8754fe683f24727a0cd77c3,0,1341.2703,0,0,0,1854,0,981.4011,5,1,22.00873374938965,GEX,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,2d8d39e0-ea46-492a-99a6-8f0d8dcb25a9,"['GEX_YanLi', 'GEX_Savior', 'GEX_SSR', 'GEX_ZhenNan']",1,8,2,2557.6034,1478.07596,690.276611328125,1854.0
1,0,4,283.31055,alive,0,2,7,2,2,162.7655,GEX_ZhenNan,account.00b80af7b33645059af2c2bd4d48f23d,0,1554.6005,0,0,0,1854,1,1265.745,4,1,180.1916847229004,GEX,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,2d8d39e0-ea46-492a-99a6-8f0d8dcb25a9,"['GEX_YanLi', 'GEX_Savior', 'GEX_SSR', 'GEX_ZhenNan']",1,8,2,2557.6034,1478.07596,690.276611328125,1854.0
0,0,0,0.0,byplayer,0,0,53,0,0,0.0,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,4047.6135,0,0,0,299,0,265.22006,4,11,100.0,GBL,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,40fd5044-72ff-4e2b-b951-1d54dacc25bb,"['GBL_Lambu', 'GBL_Renba', 'GBL_Spear', 'GBL_Adder']",11,2,2,6107.8440900000005,628.48196,503.68506813049316,1073.25
1,0,3,236.57745,byplayer,0,1,31,1,1,53.28337,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,0,4128.1875,0,0,0,1336,0,1594.7607,6,11,151.34753608703613,GBL,79c43f35-a9b7-4e57-9e9b-453736e21997,2021-12-18T10:33:11Z,Miramar,1854,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/11/05/79236a8c-5ff2-11ec-9c21-16512f2173af-telemetry.json,40fd5044-72ff-4e2b-b951-1d54dacc25bb,"['GBL_Lambu', 'GBL_Renba', 'GBL_Spear', 'GBL_Adder']",11,2,2,6107.8440900000005,628.48196,503.68506813049316,1073.25
