dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,6,211.80815,byzone,0,6,20,1,1,55.371773,TE_777,account.15f9299acc86419b9f8a407f319ad782,0,1165.3126,0,0,0,1512,0,1804.3956,3,5,522.7056560516357,TE,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,acc9671d-0e6a-4b86-b155-0c12286d87be,"['TE_777', 'TE_Ninja2K', 'TE_DuCkHjeUz', 'TE_Leviz']",5,8,3,3857.0946000000004,1271.44813,1457.5094165802002,1519.25
2,1,6,227.24475,byzone,1,3,3,2,3,206.80817,TE_Ninja2K,account.21202d15025b4fbe8b43068e75c0e064,2,3052.1035,0,0,0,1527,0,1391.3252,4,5,171.3884563446045,TE,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,acc9671d-0e6a-4b86-b155-0c12286d87be,"['TE_777', 'TE_Ninja2K', 'TE_DuCkHjeUz', 'TE_Leviz']",5,8,3,3857.0946000000004,1271.44813,1457.5094165802002,1519.25
2,2,6,400.15585,byzone,1,7,19,1,1,62.90642,TE_DuCkHjeUz,account.5f9bc0149d024cc880e843383a937169,0,2631.89,0,0,0,1519,0,1746.6008,6,5,389.9994926452637,TE,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,acc9671d-0e6a-4b86-b155-0c12286d87be,"['TE_777', 'TE_Ninja2K', 'TE_DuCkHjeUz', 'TE_Leviz']",5,8,3,3857.0946000000004,1271.44813,1457.5094165802002,1519.25
3,0,7,432.23938,byzone,0,7,4,2,3,57.29299,TE_Leviz,account.f58b743dee294fc9a64f199330384106,0,2396.8057,0,0,0,1519,0,1239.945,4,5,373.4158115386963,TE,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,acc9671d-0e6a-4b86-b155-0c12286d87be,"['TE_777', 'TE_Ninja2K', 'TE_DuCkHjeUz', 'TE_Leviz']",5,8,3,3857.0946000000004,1271.44813,1457.5094165802002,1519.25
0,1,5,137.37784,byplayer,0,5,56,0,0,0.0,USG_Kein,account.da05288157ec4806996bfadf81f938d6,1,4252.2773,0,0,0,1350,0,1430.2957,5,11,363.1542453765869,USG,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,d84a6b0a-88d8-439d-b88c-a4c3bc7d686f,"['USG_Kein', 'USG_SHEVA', 'USG_Americano', 'USG_Corn']",11,3,1,6062.31335,617.26487,1154.2516775131226,1246.0
0,0,4,60.52734,byplayer,0,3,57,0,0,0.0,USG_SHEVA,account.74fac884c93a4e65a303d2d6d8063bc4,0,4303.611,0,0,0,983,0,1042.6168,4,11,142.6729507446289,USG,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,d84a6b0a-88d8-439d-b88c-a4c3bc7d686f,"['USG_Kein', 'USG_SHEVA', 'USG_Americano', 'USG_Corn']",11,3,1,6062.31335,617.26487,1154.2516775131226,1246.0
1,0,5,238.43727,byplayer,0,3,25,1,1,23.883574,USG_Americano,account.76777b95040740aa9d6b9823a25f642e,0,5122.215,0,0,0,1326,0,1115.2065,4,11,334.9392919540405,USG,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,d84a6b0a-88d8-439d-b88c-a4c3bc7d686f,"['USG_Kein', 'USG_SHEVA', 'USG_Americano', 'USG_Corn']",11,3,1,6062.31335,617.26487,1154.2516775131226,1246.0
0,0,2,180.92242,byplayer,1,4,14,1,2,28.024195,USG_Corn,account.b81a1f4c203e44e9b5fe7ac0b5519c6a,2,5907.5776,0,0,0,1325,0,1075.4535,6,11,313.4851894378662,USG,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,d84a6b0a-88d8-439d-b88c-a4c3bc7d686f,"['USG_Kein', 'USG_SHEVA', 'USG_Americano', 'USG_Corn']",11,3,1,6062.31335,617.26487,1154.2516775131226,1246.0
1,1,1,278.5718,alive,1,0,6,1,2,119.56965,eU_Relo,account.bfdc54c902d44dc0afa1d7655c3c553f,1,4269.438,0,0,0,1804,0,932.6629,5,1,20.73577880859375,eU,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,7b832d60-4ed8-4c04-a226-1055eaaff08f,"['eU_Relo', 'eU_Fludd', 'eU_Snakers', 'eU_Kickstart']",1,8,7,4990.3257,2072.0782,577.6968822479248,1804.0
1,1,5,366.5106,alive,0,5,37,0,0,0.0,eU_Fludd,account.da3b48d34dc341209bf62fd5dea17b04,1,4637.4326,0,0,0,1804,0,546.7539,2,1,169.03959274291992,eU,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,7b832d60-4ed8-4c04-a226-1055eaaff08f,"['eU_Relo', 'eU_Fludd', 'eU_Snakers', 'eU_Kickstart']",1,8,7,4990.3257,2072.0782,577.6968822479248,1804.0
2,3,6,769.9875,alive,0,2,7,1,2,199.30678,eU_Snakers,account.9feededbcac545f494a94a35fe732ba9,0,2674.106,0,0,0,1804,0,1301.6182,5,1,297.40087890625,eU,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,7b832d60-4ed8-4c04-a226-1055eaaff08f,"['eU_Relo', 'eU_Fludd', 'eU_Snakers', 'eU_Kickstart']",1,8,7,4990.3257,2072.0782,577.6968822479248,1804.0
3,2,3,657.0083,alive,1,0,1,2,4,180.8692,eU_Kickstart,account.33a468f9281e47e2b0cb7db28764125a,0,4236.3477,0,0,0,1804,0,1362.9435,2,1,90.52063179016113,eU,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,7b832d60-4ed8-4c04-a226-1055eaaff08f,"['eU_Relo', 'eU_Fludd', 'eU_Snakers', 'eU_Kickstart']",1,8,7,4990.3257,2072.0782,577.6968822479248,1804.0
0,0,5,167.61,byzone,0,6,47,0,0,0.0,BBL_Smash,account.cb2f39f81e284da2b0ce95c152406468,0,5252.787,0,0,0,1482,0,1294.3127,6,7,279.9084949493408,BBL,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,79b8abec-2650-4857-8490-67ee0174f2c8,"['BBL_Smash', 'BBL_Quetpa', 'BBL_CodeMarco', 'BBL_Thenderlost']",7,1,0,6151.8893499999995,899.8429440000001,1007.9468040466309,1355.75
1,0,3,132.87453,byplayer,0,2,48,0,0,0.0,BBL_Quetpa,account.430cd1c6f02a4ab88440df3696321610,0,4838.3887,0,0,0,1434,0,1041.5371,5,7,228.84531021118164,BBL,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,79b8abec-2650-4857-8490-67ee0174f2c8,"['BBL_Smash', 'BBL_Quetpa', 'BBL_CodeMarco', 'BBL_Thenderlost']",7,1,0,6151.8893499999995,899.8429440000001,1007.9468040466309,1355.75
0,0,5,537.688,byplayer,1,6,21,1,1,49.422073,BBL_CodeMarco,account.94bc45a33679409c85e35afe6ba52204,1,4846.413,0,0,0,1482,0,1538.537,8,7,319.1460819244385,BBL,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,79b8abec-2650-4857-8490-67ee0174f2c8,"['BBL_Smash', 'BBL_Quetpa', 'BBL_CodeMarco', 'BBL_Thenderlost']",7,1,0,6151.8893499999995,899.8429440000001,1007.9468040466309,1355.75
0,0,3,61.670414,byplayer,0,1,49,0,0,0.0,BBL_Thenderlost,account.69719bc2c4ab4e52b0cbb28fdad79d51,1,5039.498,0,0,0,1025,0,756.0839,7,7,180.04691696166992,BBL,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,79b8abec-2650-4857-8490-67ee0174f2c8,"['BBL_Smash', 'BBL_Quetpa', 'BBL_CodeMarco', 'BBL_Thenderlost']",7,1,0,6151.8893499999995,899.8429440000001,1007.9468040466309,1355.75
1,2,5,168.45705,byzone,0,3,38,0,0,0.0,17_shou,account.851bd2e7e05d458ab728332a467c3a42,0,2565.9075,0,0,0,1324,0,890.77405,10,2,247.22760772705078,17,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,da99e625-11aa-4c5f-9ddd-5577463c7226,"['17_shou', '17_SuJiu', '17_xwudd', '17_Lilghost']",2,7,7,4769.8922625,1628.06552,1273.647813796997,1681.5
4,2,10,528.3943,byplayer,0,5,9,2,2,17.074644,17_SuJiu,account.b42d0e7b52654729a4d6f0153b48329e,0,3195.7334,0,0,0,1794,0,1961.3923,4,2,420.9360599517822,17,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,da99e625-11aa-4c5f-9ddd-5577463c7226,"['17_shou', '17_SuJiu', '17_xwudd', '17_Lilghost']",2,7,7,4769.8922625,1628.06552,1273.647813796997,1681.5
4,3,7,618.68414,byplayer,0,2,2,1,3,217.15211,17_xwudd,account.876fd2da6a6b45faacd985e22d0f87b1,3,2950.5156,0,0,0,1804,0,1731.049,5,2,237.34180641174316,17,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,da99e625-11aa-4c5f-9ddd-5577463c7226,"['17_shou', '17_SuJiu', '17_xwudd', '17_Lilghost']",2,7,7,4769.8922625,1628.06552,1273.647813796997,1681.5
1,0,6,312.53003,byplayer,0,6,8,1,2,116.615524,17_Lilghost,account.32d5a6e2fe4b4bb2b5d2517654313695,0,3808.7554,0,0,0,1804,0,1975.4418,10,2,368.1423397064209,17,7a302e6b-7981-4696-9de8-c284deed2525,2022-11-02T13:02:42Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/13/34/1d0de1d5-5ab3-11ed-a4c3-16512f2173af-telemetry.json,da99e625-11aa-4c5f-9ddd-5577463c7226,"['17_shou', '17_SuJiu', '17_xwudd', '17_Lilghost']",2,7,7,4769.8922625,1628.06552,1273.647813796997,1681.5
