dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,3,296.6047,byplayer,0,3,35,0,0,0.0,CES_Taikonn,account.89d7fbb673264d988c0726054fb021a2,0,3395.3167,0,0,0,1636,0,1254.0782,5,4,230.0842170715332,CES,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,d5fdd6e0-359f-4630-b86f-9c5658475175,"['CES_Taikonn', 'CES_HaiSaki', 'CES_Himass', 'CES_Sololzy']",4,2,0,5678.21835,812.6898299999999,1275.3718395233154,1631.25
0,0,4,0.0,byzone,0,2,37,0,0,0.0,CES_HaiSaki,account.513a778d5f1049be8115ff55a6f6a97b,0,4572.9004,0,0,0,1617,0,1957.1205,4,4,230.97189140319824,CES,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,d5fdd6e0-359f-4630-b86f-9c5658475175,"['CES_Taikonn', 'CES_HaiSaki', 'CES_Himass', 'CES_Sololzy']",4,2,0,5678.21835,812.6898299999999,1275.3718395233154,1631.25
1,0,7,368.31458,byplayer,0,5,10,1,2,317.08926,CES_Himass,account.14d7d7472027408faffd2848885ad89e,0,4198.2637,0,0,0,1636,1,1911.2668,5,4,429.02090644836426,CES,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,d5fdd6e0-359f-4630-b86f-9c5658475175,"['CES_Taikonn', 'CES_HaiSaki', 'CES_Himass', 'CES_Sololzy']",4,2,0,5678.21835,812.6898299999999,1275.3718395233154,1631.25
0,0,7,147.77055,byplayer,0,4,36,0,0,0.0,CES_Sololzy,account.00ea83d7b05b405fb7714d20b0d73228,0,3871.7524,0,0,0,1636,0,1552.1747,5,4,385.2948246002197,CES,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,d5fdd6e0-359f-4630-b86f-9c5658475175,"['CES_Taikonn', 'CES_HaiSaki', 'CES_Himass', 'CES_Sololzy']",4,2,0,5678.21835,812.6898299999999,1275.3718395233154,1631.25
0,0,2,130.68869,byplayer,0,5,26,1,1,53.94994,KDF_Hikari,account.05e75b5790664e59a518a15e5e0afe8e,0,2622.1775,0,0,0,1252,0,1150.1082,5,11,390.09740829467773,KDF,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,fb38022c-42e9-4d5a-ac4f-f6c9a226ecc9,"['KDF_Hikari', 'KDF_LashK', 'KDF_EEND', 'KDF_Akad']",11,1,0,4008.974875,425.873602,714.097412109375,1156.25
0,0,3,53.106014,byplayer,0,0,48,0,0,0.0,KDF_LashK,account.18a578577b6343e0ba02958e7228b680,0,2290.6675,0,0,0,1126,0,1140.0776,5,11,100.00000190734863,KDF,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,fb38022c-42e9-4d5a-ac4f-f6c9a226ecc9,"['KDF_Hikari', 'KDF_LashK', 'KDF_EEND', 'KDF_Akad']",11,1,0,4008.974875,425.873602,714.097412109375,1156.25
0,0,2,11.875468,byplayer,0,0,50,0,0,0.0,KDF_EEND,account.296ae73a09144f949505b831843253ca,0,2646.9807,0,0,0,1122,0,1311.1897,5,11,100.0,KDF,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,fb38022c-42e9-4d5a-ac4f-f6c9a226ecc9,"['KDF_Hikari', 'KDF_LashK', 'KDF_EEND', 'KDF_Akad']",11,1,0,4008.974875,425.873602,714.097412109375,1156.25
0,0,2,230.20343,byplayer,0,0,49,0,0,0.0,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,0,3713.1895,0,0,0,1125,0,1161.5088,5,11,124.00000190734863,KDF,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,fb38022c-42e9-4d5a-ac4f-f6c9a226ecc9,"['KDF_Hikari', 'KDF_LashK', 'KDF_EEND', 'KDF_Akad']",11,1,0,4008.974875,425.873602,714.097412109375,1156.25
1,0,4,142.96227,byplayer,1,5,11,2,2,125.314316,BRU_Che4kz1nG,account.679ae92691834514ae8a3f01d4eb9f38,0,4822.469,0,0,0,1332,0,1581.728,5,7,156.01148796081543,BRU,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,4a6b5888-63cd-46cf-bbc9-633279f0deda,"['BRU_Che4kz1nG', 'BRU_Conaxy', 'BRU_Eaddy', 'BRU_Noardra']",7,2,0,3672.3967275,470.48455,655.7992668151855,967.75
1,0,3,138.808,byplayer,0,1,41,0,0,0.0,BRU_Conaxy,account.946011e735d34166991fd2be2f148387,0,3306.5225,0,0,0,1194,0,1596.1412,3,7,193.7945785522461,BRU,7dabb51c-6adc-454f-9eb8-59bfab8b4000,2022-11-12T15:54:00Z,Miramar,1759,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/12/16/25/96aeb810-62a6-11ed-a4c3-16512f2173af-telemetry.json,4a6b5888-63cd-46cf-bbc9-633279f0deda,"['BRU_Che4kz1nG', 'BRU_Conaxy', 'BRU_Eaddy', 'BRU_Noardra']",7,2,0,3672.3967275,470.48455,655.7992668151855,967.75
