dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,5,534.7274,byplayer,1,1,31,1,1,36.443287,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,7543.408,0,0,0,1239,0,1128.8088,5,9,274.59737396240234,SSG,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,b073115e-4973-4e20-8eae-23de10ee1491,"['SSG_Sharpshot4k', 'SSG_Keenan', 'SSG_Roth', 'SSG_oldless']",9,5,4,9187.4130125,1305.50287,676.7691564559937,1235.75
2,1,2,144.83455,byplayer,0,1,14,1,2,41.365856,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,8705.315,0,0,0,1239,0,793.93585,5,9,122.00818252563477,SSG,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,b073115e-4973-4e20-8eae-23de10ee1491,"['SSG_Sharpshot4k', 'SSG_Keenan', 'SSG_Roth', 'SSG_oldless']",9,5,4,9187.4130125,1305.50287,676.7691564559937,1235.75
3,1,2,419.2896,byplayer,1,1,13,2,2,87.13176,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,1,8579.846,0,0,0,1239,0,672.3575,4,9,149.16360092163086,SSG,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,b073115e-4973-4e20-8eae-23de10ee1491,"['SSG_Sharpshot4k', 'SSG_Keenan', 'SSG_Roth', 'SSG_oldless']",9,5,4,9187.4130125,1305.50287,676.7691564559937,1235.75
0,2,3,206.65132,byplayer,0,0,44,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,8380.34,0,0,0,1226,0,945.6409,9,9,130.99999904632568,SSG,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,b073115e-4973-4e20-8eae-23de10ee1491,"['SSG_Sharpshot4k', 'SSG_Keenan', 'SSG_Roth', 'SSG_oldless']",9,5,4,9187.4130125,1305.50287,676.7691564559937,1235.75
0,0,1,118.67017,byplayer,0,0,56,0,0,0.0,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,0,1395.4471,0,0,0,598,0,550.3932,4,13,100.00000190734863,17,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,d692cfa4-b177-4860-a493-29e15cdfa802,"['17_shou', '17_Xbei', '17_LilGhost', '17_SuJiu']",13,0,0,2603.6266875,260.0402,534.3238372802734,805.25
0,0,0,0.0,byplayer,0,0,54,0,0,0.0,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,2124.9502,0,0,0,911,0,715.3212,3,13,100.0,17,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,d692cfa4-b177-4860-a493-29e15cdfa802,"['17_shou', '17_Xbei', '17_LilGhost', '17_SuJiu']",13,0,0,2603.6266875,260.0402,534.3238372802734,805.25
0,0,4,141.37003,byplayer,0,4,53,0,0,0.0,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,2648.1006,0,0,0,1076,0,874.5824,3,13,234.32383918762207,17,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,d692cfa4-b177-4860-a493-29e15cdfa802,"['17_shou', '17_Xbei', '17_LilGhost', '17_SuJiu']",13,0,0,2603.6266875,260.0402,534.3238372802734,805.25
0,0,0,0.0,byplayer,0,0,55,0,0,0.0,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,0,1363.8733,0,0,0,636,0,741.83875,5,13,99.99999618530273,17,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,d692cfa4-b177-4860-a493-29e15cdfa802,"['17_shou', '17_Xbei', '17_LilGhost', '17_SuJiu']",13,0,0,2603.6266875,260.0402,534.3238372802734,805.25
1,0,5,362.10806,alive,0,6,5,2,2,89.066574,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,0,2978.8313,0,0,0,1733,0,1752.652,5,1,284.5809745788574,ENCE,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,c025f1ad-0dbc-4a15-a963-bbb47970b038,"['ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_SKUIJKE']",1,4,0,5467.43895,1065.2406099999998,700.4560527801514,1695.5
0,0,2,282.6371,alive,0,0,38,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,1,3365.0393,0,0,0,1583,1,1565.8662,6,1,124.58241844177246,ENCE,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,c025f1ad-0dbc-4a15-a963-bbb47970b038,"['ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_SKUIJKE']",1,4,0,5467.43895,1065.2406099999998,700.4560527801514,1695.5
1,0,2,192.77734,alive,1,2,16,1,1,94.0887,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,3543.7085,0,0,0,1733,0,1625.3799,6,1,140.7557487487793,ENCE,7e187327-635c-4510-bf4f-aea77563768d,2021-11-27T10:47:08Z,Erangel (Remastered),1733,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/11/17/a9dca456-4f73-11ec-9c21-16512f2173af-telemetry.json,c025f1ad-0dbc-4a15-a963-bbb47970b038,"['ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_SKUIJKE']",1,4,0,5467.43895,1065.2406099999998,700.4560527801514,1695.5
