dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,2,278.26077,byplayer,0,2,39,0,0,0.0,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,1,6808.8813,0,0.0,0,1223,0,1192.2412,4,9,279.42000007629395,BBL,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,945f432b-3966-4f68-abbd-58bc6496dfdb,"['BBL_Mitraleius', 'BBL_mert', 'BBL_Smash', 'BBL_CodeMarco']",9,1,1,8400.245125,761.966769,1025.102035522461,1179.25
0,0,3,31.482319,byplayer,0,1,40,0,0,0.0,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,1,7341.277,0,0.0,0,1218,0,883.9383,4,9,229.81512451171875,BBL,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,945f432b-3966-4f68-abbd-58bc6496dfdb,"['BBL_Mitraleius', 'BBL_mert', 'BBL_Smash', 'BBL_CodeMarco']",9,1,1,8400.245125,761.966769,1025.102035522461,1179.25
2,1,5,298.97522,byplayer,0,11,23,1,1,20.87091,BBL_Smash,account.c75b809eb47e4345843058494674d64c,1,8193.733,0,0.0,0,1383,0,1298.0188,5,9,343.95945930480957,BBL,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,945f432b-3966-4f68-abbd-58bc6496dfdb,"['BBL_Mitraleius', 'BBL_mert', 'BBL_Smash', 'BBL_CodeMarco']",9,1,1,8400.245125,761.966769,1025.102035522461,1179.25
0,0,1,153.24846,byplayer,0,1,41,0,0,0.0,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,0,6964.822,0,0.0,0,893,0,918.0689,4,9,171.90745162963867,BBL,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,945f432b-3966-4f68-abbd-58bc6496dfdb,"['BBL_Mitraleius', 'BBL_mert', 'BBL_Smash', 'BBL_CodeMarco']",9,1,1,8400.245125,761.966769,1025.102035522461,1179.25
0,0,1,0.0,byplayer,0,0,64,0,0,0.0,AAP_SilentKnight,account.008c668f923d4a758c9d50e7fb96223b,0,5554.6333,0,0.0,0,783,0,1021.88336,10,16,100.0,AAP,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,e63eaf65-36c7-4e51-bd2b-43d42b4d65ce,"['AAP_SilentKnight', 'AAP_AljnBOTz', 'AAP_CeeJay18', 'AAP_MADDOG']",16,0,0,7463.358565,81.17999,353.3999671936035,742.75
0,0,5,0.0,byplayer,0,0,62,0,0,0.0,AAP_AljnBOTz,account.93f365058f0b4e96a516d267af2ea8d0,0,7700.313,0,0.0,0,915,0,783.8088,9,16,53.39996337890625,AAP,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,e63eaf65-36c7-4e51-bd2b-43d42b4d65ce,"['AAP_SilentKnight', 'AAP_AljnBOTz', 'AAP_CeeJay18', 'AAP_MADDOG']",16,0,0,7463.358565,81.17999,353.3999671936035,742.75
0,0,2,0.0,byplayer,0,0,63,0,0,0.0,AAP_CeeJay18,account.89b426db942140b7bc7459dd539bae1c,0,8335.983,0,0.0,0,789,0,403.3457,4,16,100.0,AAP,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,e63eaf65-36c7-4e51-bd2b-43d42b4d65ce,"['AAP_SilentKnight', 'AAP_AljnBOTz', 'AAP_CeeJay18', 'AAP_MADDOG']",16,0,0,7463.358565,81.17999,353.3999671936035,742.75
0,0,1,81.17999,byplayer,0,0,65,0,0,0.0,AAP_MADDOG,account.2f1e8e20894f4643a34d4a5096b007bf,0,5408.331,0,0.0,0,484,0,645.1361,5,16,100.00000381469727,AAP,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,e63eaf65-36c7-4e51-bd2b-43d42b4d65ce,"['AAP_SilentKnight', 'AAP_AljnBOTz', 'AAP_CeeJay18', 'AAP_MADDOG']",16,0,0,7463.358565,81.17999,353.3999671936035,742.75
0,0,5,0.0,byplayer,0,6,53,0,0,0.0,GNL_Tosi,account.0fed1c0f03eb4b2d84a90eae6c2360cc,0,3632.5115,0,150.61235,0,1136,0,2333.2866,3,13,34.0,GNL,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,e399ec46-9428-434a-b9f8-974662b1ab5f,"['GNL_Tosi', 'GNL_Corn', 'GNL_Americano', 'GNL_Heaven']",13,0,0,5361.7193325,315.76829999999995,235.62600708007812,1184.25
0,0,3,0.0,byplayer,0,13,52,0,0,0.0,GNL_Corn,account.15923c996fb440a4984764eb949a6f0d,0,1905.0038,0,163.68678,0,1139,0,2633.3357,6,13,28.633193969726562,GNL,7e8b1a13-5f8f-4d20-8384-f79365419fcc,2021-12-09T11:32:33Z,Erangel (Remastered),1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/12/06/72883794-58e8-11ec-9c21-16512f2173af-telemetry.json,e399ec46-9428-434a-b9f8-974662b1ab5f,"['GNL_Tosi', 'GNL_Corn', 'GNL_Americano', 'GNL_Heaven']",13,0,0,5361.7193325,315.76829999999995,235.62600708007812,1184.25
