dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,0.0,byplayer,0,1,59,0,0,0.0,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,0,3823.8538,0,0,0,750,0,675.7896,5,14,180.24556159973145,GEN,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,fdbc2320-1abb-412e-8440-65b1de323f0b,"['GEN_Esther', 'GEN_Inonix', 'GEN_Asura', 'GEN_Pio']",14,3,2,4502.016675,732.3317,543.0693702697754,861.0
1,2,0,199.52129,byplayer,0,1,58,0,0,0.0,GEN_Inonix,account.b683ba2d6c0b4c728777d62de1aa9cbd,0,3560.772,0,0,0,833,0,1001.1981,4,14,157.10022354125977,GEN,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,fdbc2320-1abb-412e-8440-65b1de323f0b,"['GEN_Esther', 'GEN_Inonix', 'GEN_Asura', 'GEN_Pio']",14,3,2,4502.016675,732.3317,543.0693702697754,861.0
1,0,5,197.47179,byzone,0,3,26,1,1,4.9716687,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,3970.616,0,0,0,1030,0,902.3853,4,14,105.72358131408691,GEN,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,fdbc2320-1abb-412e-8440-65b1de323f0b,"['GEN_Esther', 'GEN_Inonix', 'GEN_Asura', 'GEN_Pio']",14,3,2,4502.016675,732.3317,543.0693702697754,861.0
3,0,0,335.33862,byplayer,0,0,9,1,2,51.6394,GEN_Pio,account.865f5247057949378fe72926705f3b1b,0,3077.2344,0,0,0,831,0,996.2175,5,14,100.00000381469727,GEN,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,fdbc2320-1abb-412e-8440-65b1de323f0b,"['GEN_Esther', 'GEN_Inonix', 'GEN_Asura', 'GEN_Pio']",14,3,2,4502.016675,732.3317,543.0693702697754,861.0
0,1,3,101.4,byplayer,0,6,14,1,1,21.81571,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,0,4388.854,0,0,0,1560,1,2118.9976,5,5,448.8590795993805,FURY,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,f4b36a93-d876-43b3-bbce-4143970bfa2d,"['FURY_Insight', 'FURY_Fludd', 'FURY_Ronon', 'FURY_Ykikamucow']",5,9,1,5771.205524999999,1051.25365,1263.511644601822,1536.75
2,0,6,247.79575,byplayer,2,3,3,2,5,546.22144,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,1,4629.0884,0,0,0,1560,0,1075.7198,6,5,324.7904567718506,FURY,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,f4b36a93-d876-43b3-bbce-4143970bfa2d,"['FURY_Insight', 'FURY_Fludd', 'FURY_Ronon', 'FURY_Ykikamucow']",5,9,1,5771.205524999999,1051.25365,1263.511644601822,1536.75
0,0,3,138.018,byplayer,0,7,38,0,0,0.0,FURY_Ronon,account.47ec2801a759472eae15f8a5bf923ef6,2,4581.562,0,0,0,1475,0,1192.5333,5,5,218.99676895141602,FURY,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,f4b36a93-d876-43b3-bbce-4143970bfa2d,"['FURY_Insight', 'FURY_Fludd', 'FURY_Ronon', 'FURY_Ykikamucow']",5,9,1,5771.205524999999,1051.25365,1263.511644601822,1536.75
3,0,3,564.0399,byplayer,0,4,4,1,3,64.11417,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,0,3297.1682,0,0,0,1552,0,1800.8988,4,5,270.8653392791748,FURY,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,f4b36a93-d876-43b3-bbce-4143970bfa2d,"['FURY_Insight', 'FURY_Fludd', 'FURY_Ronon', 'FURY_Ykikamucow']",5,9,1,5771.205524999999,1051.25365,1263.511644601822,1536.75
0,0,1,140.03375,alive,0,1,31,0,0,0.0,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,1,2308.4277,0,0,0,1756,0,1915.7104,5,1,75.5041732788086,17,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,5a89d091-bc8d-4c98-b05f-cd95c7deec11,"['17_shou', '17_LilGhost', '17_SuJiu', '17_Xbei']",1,1,0,3910.5971250000002,703.12814,722.8155117034912,1754.25
1,0,6,262.0181,alive,0,2,32,0,0,0.0,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,1732.7239,0,0,0,1749,0,2095.2693,6,1,300.9754333496094,17,81649ea0-dfe9-4747-91cd-19f5a970dc73,2021-12-06T10:41:55Z,Miramar,1756,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/11/13/7ad4b8f4-5685-11ec-9c21-16512f2173af-telemetry.json,5a89d091-bc8d-4c98-b05f-cd95c7deec11,"['17_shou', '17_LilGhost', '17_SuJiu', '17_Xbei']",1,1,0,3910.5971250000002,703.12814,722.8155117034912,1754.25
