dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,5,391.7524,byplayer,0,4,20,1,1,80.428185,PeRo_mingz1,account.77b70b21d25b4330a29bca9ce35b4a80,1,2757.5254,0,0.0,0,1833,0,1126.733,2,4,315.3048896789551,PeRo,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,20fd04e0-5158-4086-b4ba-a420bb0d1fcb,"['PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu']",4,6,2,4196.62445,1173.1866,886.7172269821167,1749.25
2,0,4,292.01837,byplayer,2,0,8,2,2,90.254745,PeRo_Myl,account.71942085e3fd42299d2db6324ab0853a,0,2486.6145,0,0.0,0,1760,0,1307.503,5,4,98.10981941223145,PeRo,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,20fd04e0-5158-4086-b4ba-a420bb0d1fcb,"['PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu']",4,6,2,4196.62445,1173.1866,886.7172269821167,1749.25
3,1,4,162.64108,byplayer,0,1,21,1,1,53.556244,PeRo_Aixleft,account.07163e02f10144a0b113a2b86e47bf53,0,3639.809,0,0.0,0,1672,1,1300.965,8,4,228.1277256011963,PeRo,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,20fd04e0-5158-4086-b4ba-a420bb0d1fcb,"['PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu']",4,6,2,4196.62445,1173.1866,886.7172269821167,1749.25
2,0,3,326.77475,byplayer,1,6,9,2,2,192.65067,PeRo_Mamu,account.ad09f23195f64641a432677744aaf8c3,1,2962.411,0,0.0,0,1732,0,1204.9369,6,4,245.1747922897339,PeRo,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,20fd04e0-5158-4086-b4ba-a420bb0d1fcb,"['PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu']",4,6,2,4196.62445,1173.1866,886.7172269821167,1749.25
1,1,3,105.65766,byplayer,0,5,45,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,4417.6826,0,0.0,0,1425,0,810.67865,4,8,298.0266399383545,SSG,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,4d44c22e-8cc2-4269-b27e-66cd8ced2e87,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",8,2,2,3920.4399895,426.57918,1000.9420890808105,1094.25
0,0,0,0.0,byplayer,0,0,47,0,0,0.0,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,0.0,0,0.0,0,104,0,16.322968,0,8,100.0,SSG,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,4d44c22e-8cc2-4269-b27e-66cd8ced2e87,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",8,2,2,3920.4399895,426.57918,1000.9420890808105,1094.25
0,1,5,91.60115,byplayer,0,6,46,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,5054.872,0,0.0,0,1425,0,765.3142,4,8,341.6247901916504,SSG,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,4d44c22e-8cc2-4269-b27e-66cd8ced2e87,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",8,2,2,3920.4399895,426.57918,1000.9420890808105,1094.25
2,0,6,229.32037,byplayer,2,6,14,2,2,87.711975,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,2,3723.8716,0,0.0,0,1423,0,893.01794,11,8,261.29065895080566,SSG,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,4d44c22e-8cc2-4269-b27e-66cd8ced2e87,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",8,2,2,3920.4399895,426.57918,1000.9420890808105,1094.25
1,0,0,111.172134,byplayer,0,0,63,0,0,0.0,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,0,6641.9307,0,0.0,0,1215,0,605.1729,4,15,99.86685562133789,FURY,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,e8b26c30-ece2-45ae-896a-8b8f7bba2ecf,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Ronon', 'FURY_Fludd']",15,0,0,7173.81306,212.532529,546.8403968811035,1129.75
0,0,1,0.0,byplayer,0,0,65,0,0,0.0,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,1,6086.1724,0,0.0,0,877,0,496.22205,2,15,103.00000381469727,FURY,82417a66-8700-4154-a084-3a8dda901c9d,2021-12-08T10:43:33Z,Erangel (Remastered),1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/11/17/66db6a41-5818-11ec-9c21-16512f2173af-telemetry.json,e8b26c30-ece2-45ae-896a-8b8f7bba2ecf,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Ronon', 'FURY_Fludd']",15,0,0,7173.81306,212.532529,546.8403968811035,1129.75
