dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,1,1,271.712,byplayer,1,4,16,2,2,3.94106,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,0,2575.0042,0,0.0,0,1269,0,1594.436,6,13,272.7584743499756,SQ,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,91f9e514-447c-4170-af89-c6c4d78aad05,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn', 'SQ_TGLTN']",13,2,2,4330.23165,530.46168,912.4625453948975,1222.5
0,0,2,91.56729,byplayer,0,0,56,0,0,0.0,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,0,2556.2146,0,0.0,0,1098,0,1839.4443,6,13,125.99999618530273,SQ,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,91f9e514-447c-4170-af89-c6c4d78aad05,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn', 'SQ_TGLTN']",13,2,2,4330.23165,530.46168,912.4625453948975,1222.5
0,1,4,167.18239,byplayer,0,7,54,0,0,0.0,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,1,2386.84,0,0.0,0,1269,0,1849.2972,6,13,313.70407485961914,SQ,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,91f9e514-447c-4170-af89-c6c4d78aad05,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn', 'SQ_TGLTN']",13,2,2,4330.23165,530.46168,912.4625453948975,1222.5
0,0,4,0.0,byplayer,0,1,55,0,0,0.0,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,0,3360.9521,0,0.0,0,1254,0,1158.7382,3,13,200.0,SQ,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,91f9e514-447c-4170-af89-c6c4d78aad05,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn', 'SQ_TGLTN']",13,2,2,4330.23165,530.46168,912.4625453948975,1222.5
1,1,6,365.9518,byzone,1,6,14,1,2,135.31566,E36_amonot,account.ffb2970663ab4d09a86836fd231ec8f8,0,7311.962,0,0.0,0,1475,0,1341.9261,5,9,270.2704391479492,E36,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,31b69d7e-4a5d-447d-b809-6e271a888734,"['E36_amonot', 'E36_Starlord', 'E36_Pureboy', 'E36_indigo']",9,5,1,8314.258275,726.925555,1047.3451175689697,1427.75
0,0,4,0.0,byplayer,0,12,47,0,0,0.0,E36_Starlord,account.58d7473410a34337ad40b274ccd22aa1,0,6039.3833,0,0.0,0,1467,0,1674.6227,4,9,338.55639839172363,E36,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,31b69d7e-4a5d-447d-b809-6e271a888734,"['E36_amonot', 'E36_Starlord', 'E36_Pureboy', 'E36_indigo']",9,5,1,8314.258275,726.925555,1047.3451175689697,1427.75
0,0,6,247.34903,byplayer,0,5,25,1,1,19.214098,E36_Pureboy,account.4943e399c2ac4266b6f887148694113e,1,7407.9,0,0.0,0,1462,0,1390.6746,6,9,277.78947257995605,E36,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,31b69d7e-4a5d-447d-b809-6e271a888734,"['E36_amonot', 'E36_Starlord', 'E36_Pureboy', 'E36_indigo']",9,5,1,8314.258275,726.925555,1047.3451175689697,1427.75
2,0,2,113.624725,byplayer,1,0,15,1,2,161.84927,E36_indigo,account.2f549b1012264591bd790880db5a8757,0,6885.8345,0,0.0,0,1307,0,1204.7299,3,9,160.72880744934082,E36,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,31b69d7e-4a5d-447d-b809-6e271a888734,"['E36_amonot', 'E36_Starlord', 'E36_Pureboy', 'E36_indigo']",9,5,1,8314.258275,726.925555,1047.3451175689697,1427.75
0,0,4,100.941696,byplayer,0,0,38,0,0,0.0,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,10781.983,0,0.0,0,1319,0,744.3008,5,4,100.0,GEN,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,8c76db3e-8f11-4049-9a1b-047f58dfb057,"['GEN_Asura', 'GEN_Pio', 'GEN_Inonix', 'GEN_Esther']",4,1,1,11654.085445,553.4974259999999,865.1522541046143,1446.75
0,0,6,210.96799,byplayer,1,4,21,1,1,34.398907,GEN_Pio,account.865f5247057949378fe72926705f3b1b,0,12025.492,0,0.0,0,1430,1,970.7885,8,4,229.29936599731445,GEN,82cb07f4-e942-4d16-b4af-7042b486341f,2021-12-06T13:05:03Z,Erangel (Remastered),1834,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/13/37/a87279b0-5699-11ec-9c21-16512f2173af-telemetry.json,8c76db3e-8f11-4049-9a1b-047f58dfb057,"['GEN_Asura', 'GEN_Pio', 'GEN_Inonix', 'GEN_Esther']",4,1,1,11654.085445,553.4974259999999,865.1522541046143,1446.75
