dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,4,26.4,byplayer,0,4,51,0,0,0.0,MaD_Lash,account.838e89bc7d184ced83ca824671cd2414,1,8096.1235,0,0,0,1245,0,1469.707,4,13,383.9781093597412,MaD,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,3eb72ebc-4f01-415b-bc62-4575f2fb92a0,"['MaD_Lash', 'MaD_DAEVA', 'MaD_2tap', 'MaD_EEND']",13,0,0,8889.1013125,528.92493,770.716875076294,1169.25
0,0,1,0.0,byplayer,0,0,53,0,0,0.0,MaD_DAEVA,account.2b65056034e6433aa65f77450109cbde,0,8209.29,0,0,0,954,0,506.49725,7,13,101.99999618530273,MaD,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,3eb72ebc-4f01-415b-bc62-4575f2fb92a0,"['MaD_Lash', 'MaD_DAEVA', 'MaD_2tap', 'MaD_EEND']",13,0,0,8889.1013125,528.92493,770.716875076294,1169.25
0,0,3,283.13348,byplayer,0,1,50,0,0,0.0,MaD_2tap,account.ac0df3688a404880b8f494567aa512fa,0,7107.1426,0,0,0,1245,0,1520.57,4,13,174.1567211151123,MaD,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,3eb72ebc-4f01-415b-bc62-4575f2fb92a0,"['MaD_Lash', 'MaD_DAEVA', 'MaD_2tap', 'MaD_EEND']",13,0,0,8889.1013125,528.92493,770.716875076294,1169.25
0,0,4,219.39145,byplayer,0,1,52,0,0,0.0,MaD_EEND,account.de5b3ad505c44295b5445017fa5c11ff,0,7071.1313,0,0,0,1233,0,1575.9436,8,13,110.5820484161377,MaD,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,3eb72ebc-4f01-415b-bc62-4575f2fb92a0,"['MaD_Lash', 'MaD_DAEVA', 'MaD_2tap', 'MaD_EEND']",13,0,0,8889.1013125,528.92493,770.716875076294,1169.25
1,0,5,112.87349,byplayer,0,4,28,1,1,98.13982,DIG_Poonage,account.8518fc26f0794a5a9bbb6327cd9237ff,0,8112.2295,0,0,0,1257,0,1102.2817,5,11,291.92308044433594,DIG,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,4000cd51-a542-494e-8e41-faa5bb689b86,"['DIG_Poonage', 'DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg']",11,3,3,8032.2286,821.57151,1062.4362297058105,1106.5
0,2,4,317.76016,byplayer,0,4,48,0,0,0.0,DIG_Shinboi,account.b04e330e27b748d6be6ae18cf4594cb4,0,5688.3843,0,0,0,1267,0,1445.029,3,11,253.69549560546875,DIG,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,4000cd51-a542-494e-8e41-faa5bb689b86,"['DIG_Poonage', 'DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg']",11,3,3,8032.2286,821.57151,1062.4362297058105,1106.5
1,0,4,107.68868,byplayer,0,6,29,1,1,436.62106,DIG_HoneyBadger,account.1c7e95a1f3d740edb5e38b2f2b900875,0,3833.1147,0,0,0,635,0,2245.5664,5,11,235.7710952758789,DIG,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,4000cd51-a542-494e-8e41-faa5bb689b86,"['DIG_Poonage', 'DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg']",11,3,3,8032.2286,821.57151,1062.4362297058105,1106.5
1,1,2,283.24918,byplayer,0,8,27,1,1,178.30809,DIG_sparkingg,account.a764ca4e30e1471892434e8467c7ae93,0,8441.669,0,0,0,1267,0,1260.6398,4,11,281.04655838012695,DIG,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,4000cd51-a542-494e-8e41-faa5bb689b86,"['DIG_Poonage', 'DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg']",11,3,3,8032.2286,821.57151,1062.4362297058105,1106.5
0,0,0,0.0,byplayer,0,1,38,0,0,0.0,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,6090.7764,0,0,0,847,0,639.4656,7,4,170.55999755859375,NAVI,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,f53b093a-9bdb-4097-920a-f789aeaf6a0d,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Qwizzy', 'NAVI_Mellman']",4,1,0,6126.873737499999,437.71768,522.5383005142212,994.75
0,0,3,180.93652,byplayer,0,0,37,0,0,0.0,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,4971.772,0,0,0,871,0,815.4054,5,4,129.38319969177246,NAVI,873abdb4-c6a7-42d4-baf9-902ae2e023c6,2021-11-29T13:48:21Z,Miramar,1845,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/14/20/9311a5dd-511f-11ec-9c21-16512f2173af-telemetry.json,f53b093a-9bdb-4097-920a-f789aeaf6a0d,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Qwizzy', 'NAVI_Mellman']",4,1,0,6126.873737499999,437.71768,522.5383005142212,994.75
