dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,0.0,byplayer,0,2,35,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,7474.522,0,0,0,1645,0,1196.4937,5,5,223.9667091369629,SSG,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,530e093c-990d-4b06-9ec9-838082c52e6f,"['SSG_oldless', 'SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan']",5,2,1,7216.222425,866.17727,912.369197845459,1645.0
0,1,2,336.8132,byplayer,0,0,36,0,0,0.0,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,4922.4766,0,0,0,1645,0,1410.9999,5,5,140.18042373657227,SSG,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,530e093c-990d-4b06-9ec9-838082c52e6f,"['SSG_oldless', 'SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan']",5,2,1,7216.222425,866.17727,912.369197845459,1645.0
1,0,5,293.28577,byplayer,0,3,12,2,2,14.481878,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,4526.9014,0,0,0,1645,0,1453.1584,8,5,306.43994140625,SSG,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,530e093c-990d-4b06-9ec9-838082c52e6f,"['SSG_oldless', 'SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan']",5,2,1,7216.222425,866.17727,912.369197845459,1645.0
0,0,4,236.0783,byplayer,0,3,37,0,0,0.0,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,6493.2417,0,0,0,1645,0,1387.096,7,5,241.78212356567383,SSG,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,530e093c-990d-4b06-9ec9-838082c52e6f,"['SSG_oldless', 'SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan']",5,2,1,7216.222425,866.17727,912.369197845459,1645.0
1,0,2,125.02908,byzone,0,0,25,1,1,71.78426,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,0,7070.9004,0,0,0,1160,0,1738.1027,4,15,79.79189682006836,SQ,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,5a5b041a-f463-4d56-aa81-1f453e92eb84,"['SQ_Shrimzy', 'SQ_TGLTN', 'SQ_hwinn', 'SQ_M1ME']",15,1,2,8289.11025,437.23111,838.2445774078369,1156.0
0,1,4,0.0,byplayer,0,0,61,0,0,0.0,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,1,6714.4414,0,0,0,1160,0,1502.3364,6,15,146.89519119262695,SQ,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,5a5b041a-f463-4d56-aa81-1f453e92eb84,"['SQ_Shrimzy', 'SQ_TGLTN', 'SQ_hwinn', 'SQ_M1ME']",15,1,2,8289.11025,437.23111,838.2445774078369,1156.0
1,0,4,121.16411,byplayer,0,6,63,0,0,0.0,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,0,5795.8975,0,0,0,1145,0,1782.7233,5,15,432.28210830688477,SQ,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,5a5b041a-f463-4d56-aa81-1f453e92eb84,"['SQ_Shrimzy', 'SQ_TGLTN', 'SQ_hwinn', 'SQ_M1ME']",15,1,2,8289.11025,437.23111,838.2445774078369,1156.0
0,1,3,191.03792,byplayer,0,3,62,0,0,0.0,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,0,6604.0693,0,0,0,1159,0,1947.97,5,15,179.27538108825684,SQ,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,5a5b041a-f463-4d56-aa81-1f453e92eb84,"['SQ_Shrimzy', 'SQ_TGLTN', 'SQ_hwinn', 'SQ_M1ME']",15,1,2,8289.11025,437.23111,838.2445774078369,1156.0
3,0,4,385.9643,byplayer,0,4,19,1,1,105.94107,OATH_Kickstart,account.b7f55e9dddd84613863c6dd68aa9e415,0,8534.44,0,0,0,1460,0,1129.2069,5,10,263.77789306640625,OATH,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,296d3135-2f86-4c28-b350-a0bb8762ecc7,"['OATH_Kickstart', 'OATH_Snakers', 'OATH_Relo', 'OATH_Balefrost']",10,1,0,9804.533749999999,765.625274,786.9632205963135,1435.75
0,0,4,96.819084,byplayer,0,5,49,0,0,0.0,OATH_Snakers,account.924bf338d8fc4b5abb0bef29b622e9bb,0,8490.094,0,0,0,1424,0,1176.9856,4,10,182.59136772155762,OATH,892a3909-de62-4cb8-958d-769a0ce8f40e,2021-12-08T13:12:24Z,Miramar,1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/13/45/2558010f-582d-11ec-9c21-16512f2173af-telemetry.json,296d3135-2f86-4c28-b350-a0bb8762ecc7,"['OATH_Kickstart', 'OATH_Snakers', 'OATH_Relo', 'OATH_Balefrost']",10,1,0,9804.533749999999,765.625274,786.9632205963135,1435.75
