dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,3,123.785416,byplayer,0,2,39,0,0,0.0,Tian_Cui71,account.7d309087c15f4a9ba898613396c1c80b,0,8454.012,0,0,0,1309,0,1572.6875,7,5,259.35015392303467,Tian,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,b9b88b25-83f6-4acc-b666-74045eb32dc6,"['Tian_Cui71', 'Tian_9', 'Tian_Tang', 'Tian_77']",5,3,3,8379.42625,585.042866,910.9493799209595,1417.25
1,1,3,157.81755,byplayer,1,2,20,1,1,81.27748,Tian_9,account.1987c77d92864be3ac05917ca17f5283,0,4758.7383,0,0,0,1459,0,1804.5558,6,5,184.34278297424316,Tian,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,b9b88b25-83f6-4acc-b666-74045eb32dc6,"['Tian_Cui71', 'Tian_9', 'Tian_Tang', 'Tian_77']",5,3,3,8379.42625,585.042866,910.9493799209595,1417.25
0,1,4,0.0,byplayer,0,5,38,0,0,0.0,Tian_Tang,account.4af4017877f241f09e0041e78725406f,0,6266.0674,0,0,0,1449,0,1577.1167,5,5,309.3403625488281,Tian,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,b9b88b25-83f6-4acc-b666-74045eb32dc6,"['Tian_Cui71', 'Tian_9', 'Tian_Tang', 'Tian_77']",5,3,3,8379.42625,585.042866,910.9493799209595,1417.25
1,0,2,303.4399,byplayer,0,0,11,2,2,21.433332,Tian_77,account.b9a3937dc66e47f9984d6652fb5aafeb,0,6959.1143,0,0,0,1452,0,2125.413,5,5,157.91608047485352,Tian,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,b9b88b25-83f6-4acc-b666-74045eb32dc6,"['Tian_Cui71', 'Tian_9', 'Tian_Tang', 'Tian_77']",5,3,3,8379.42625,585.042866,910.9493799209595,1417.25
2,0,2,114.09093,byplayer,0,0,29,1,1,10.045404,USG_Corn,account.c8b1f8be0fad4aadb03b6ae7e20a58ce,0,2201.6787,0,0,0,711,0,858.0411,4,15,100.00000762939453,USG,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,4438651c-70e6-4287-884d-e226e2c5d3b8,"['USG_Corn', 'USG_Americano', 'USG_Kein', 'USG_SHEVA']",15,1,1,2813.9337075000003,438.48036,402.0000190734863,714.0
0,1,2,265.34943,byplayer,0,0,62,0,0,0.0,USG_Americano,account.7ced379563e4416296263e56bc99899f,0,2245.588,0,0,0,719,0,737.9079,7,15,102.00000190734863,USG,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,4438651c-70e6-4287-884d-e226e2c5d3b8,"['USG_Corn', 'USG_Americano', 'USG_Kein', 'USG_SHEVA']",15,1,1,2813.9337075000003,438.48036,402.0000190734863,714.0
0,0,1,0.0,byplayer,0,0,63,0,0,0.0,USG_Kein,account.a1f20202f5ba4ac2b12edc50fb50a471,0,949.8535,0,0,0,683,0,906.32513,5,15,100.0000057220459,USG,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,4438651c-70e6-4287-884d-e226e2c5d3b8,"['USG_Corn', 'USG_Americano', 'USG_Kein', 'USG_SHEVA']",15,1,1,2813.9337075000003,438.48036,402.0000190734863,714.0
0,0,0,59.04,byplayer,0,0,61,0,0,0.0,USG_SHEVA,account.d527b022d997497c98b6b98097d825be,0,2518.401,0,0,0,743,0,837.9395,3,15,100.00000381469727,USG,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,4438651c-70e6-4287-884d-e226e2c5d3b8,"['USG_Corn', 'USG_Americano', 'USG_Kein', 'USG_SHEVA']",15,1,1,2813.9337075000003,438.48036,402.0000190734863,714.0
0,0,1,71.724075,byplayer,0,1,55,0,0,0.0,SGD_Sophiya,account.d7dffbb4a84043f7bf4fe530a6896216,0,5048.698,0,0,0,990,0,839.68134,3,13,180.0967617034912,SGD,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,8d6ae8d3-65ad-4adf-9452-19e44eb72cbb,"['SGD_Sophiya', 'SGD_Jervis', 'SGD_Shen', 'SGD_Leo']",13,1,1,5242.316935000001,507.320645,604.6873435974121,986.5
1,0,4,166.97504,byplayer,1,3,28,1,1,168.98376,SGD_Jervis,account.093a88d2aa6b43c2bcf337e76174493a,0,4480.7285,0,0,0,976,0,978.0566,6,13,221.59057998657227,SGD,893e6b8f-a11d-46b9-b55c-ded5e539531b,2022-11-10T15:51:39Z,Miramar,1802,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/10/16/23/087b539b-6114-11ed-a4c3-16512f2173af-telemetry.json,8d6ae8d3-65ad-4adf-9452-19e44eb72cbb,"['SGD_Sophiya', 'SGD_Jervis', 'SGD_Shen', 'SGD_Leo']",13,1,1,5242.316935000001,507.320645,604.6873435974121,986.5
