dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,3,113.82927,byplayer,0,4,62,0,0,0.0,BGP_taemin,account.21265833d3cf4db290ff2d4748197655,0,4953.471,0,0,0,1254,0,988.6844,4,15,306.92493724823,BGP,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,15b862be-6ac7-4fd6-a975-5c797806e08d,"['BGP_taemin', 'BGP_Pio', 'BGP_Seongjang', 'BGP_DG98']",15,2,7,5996.29795,760.65124,926.4380369186401,1247.75
2,3,4,143.79704,byplayer,0,6,63,0,0,0.0,BGP_Pio,account.aa8dd6fba5d846f6871146980246bdc9,0,5010.8936,0,0,0,1254,0,1395.0121,3,15,332.4756965637207,BGP,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,15b862be-6ac7-4fd6-a975-5c797806e08d,"['BGP_taemin', 'BGP_Pio', 'BGP_Seongjang', 'BGP_DG98']",15,2,7,5996.29795,760.65124,926.4380369186401,1247.75
2,1,3,220.98306,byplayer,0,1,14,2,2,22.342388,BGP_Seongjang,account.e996b065f2164d94b10d7e649c21d1b5,0,4789.331,0,0,0,1229,0,808.5463,5,15,159.71302223205566,BGP,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,15b862be-6ac7-4fd6-a975-5c797806e08d,"['BGP_taemin', 'BGP_Pio', 'BGP_Seongjang', 'BGP_DG98']",15,2,7,5996.29795,760.65124,926.4380369186401,1247.75
2,2,3,282.04187,byplayer,0,0,64,0,0,0.0,BGP_DG98,account.d992992df0424296b6260e9a413f3ac8,0,4889.253,0,0,0,1254,0,1150.0004,6,15,127.32438087463379,BGP,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,15b862be-6ac7-4fd6-a975-5c797806e08d,"['BGP_taemin', 'BGP_Pio', 'BGP_Seongjang', 'BGP_DG98']",15,2,7,5996.29795,760.65124,926.4380369186401,1247.75
2,2,6,621.9206,byzone,0,5,9,1,2,58.120453,FaZe_D1gg3r1,account.be21a1914543479f82536578cbb62929,0,3090.125,0,0,0,1913,0,1297.07,4,3,407.83602714538574,FaZe,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,6ee3cb18-f8f6-4685-bb6f-ccdd10e648fc,"['FaZe_D1gg3r1', 'FaZe_Gustav', 'FaZe_Fexx', 'FaZe_Aitzy']",3,6,5,4375.668549999999,1397.0653399999999,880.0551023483276,1454.75
2,2,0,262.66,byplayer,1,0,19,1,1,283.22583,FaZe_Gustav,account.ba4dcfc4247641e2bef7e102fa19eaf5,0,2669.5562,0,0,0,1218,0,1393.3845,6,3,100.00000095367432,FaZe,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,6ee3cb18-f8f6-4685-bb6f-ccdd10e648fc,"['FaZe_D1gg3r1', 'FaZe_Gustav', 'FaZe_Fexx', 'FaZe_Aitzy']",3,6,5,4375.668549999999,1397.0653399999999,880.0551023483276,1454.75
2,0,0,183.26814,byplayer,0,1,10,2,2,31.21444,FaZe_Fexx,account.0d211f1fa8fd4d17823c98be5d693ac4,0,2773.223,0,0,0,1222,0,1732.4258,5,3,145.00576782226562,FaZe,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,6ee3cb18-f8f6-4685-bb6f-ccdd10e648fc,"['FaZe_D1gg3r1', 'FaZe_Gustav', 'FaZe_Fexx', 'FaZe_Aitzy']",3,6,5,4375.668549999999,1397.0653399999999,880.0551023483276,1454.75
0,1,5,329.2166,byplayer,0,3,18,1,1,26.289375,FaZe_Aitzy,account.d6769b94f5b84589a6a706d77edec3c4,1,3340.7646,0,0,0,1466,0,1206.1251,6,3,227.21330642700195,FaZe,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,6ee3cb18-f8f6-4685-bb6f-ccdd10e648fc,"['FaZe_D1gg3r1', 'FaZe_Gustav', 'FaZe_Fexx', 'FaZe_Aitzy']",3,6,5,4375.668549999999,1397.0653399999999,880.0551023483276,1454.75
2,1,4,235.64333,byplayer,0,4,11,1,2,125.969635,USG_Corn,account.c8b1f8be0fad4aadb03b6ae7e20a58ce,0,7419.2363,0,0,0,1827,0,1577.9358,6,4,210.39477348327637,USG,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,b36110d7-9903-4e55-9840-583367d55f37,"['USG_Corn', 'USG_Americano', 'USG_SHEVA', 'USG_Kein']",4,3,3,8597.382775,792.28039,632.6113224029541,1854.0
0,1,4,261.5492,byplayer,0,2,36,0,0,0.0,USG_Americano,account.7ced379563e4416296263e56bc99899f,0,7044.77,0,0,0,1883,0,1389.6737,5,4,233.10344696044922,USG,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,b36110d7-9903-4e55-9840-583367d55f37,"['USG_Corn', 'USG_Americano', 'USG_SHEVA', 'USG_Kein']",4,3,3,8597.382775,792.28039,632.6113224029541,1854.0
0,0,5,77.85246,byplayer,0,0,37,0,0,0.0,USG_SHEVA,account.d527b022d997497c98b6b98097d825be,0,6860.2593,0,0,0,1835,0,1388.5557,9,4,62.0,USG,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,b36110d7-9903-4e55-9840-583367d55f37,"['USG_Corn', 'USG_Americano', 'USG_SHEVA', 'USG_Kein']",4,3,3,8597.382775,792.28039,632.6113224029541,1854.0
1,1,7,217.2354,byplayer,1,1,20,1,1,68.780075,USG_Kein,account.a1f20202f5ba4ac2b12edc50fb50a471,0,7352.0127,0,0,0,1871,0,1357.0876,8,4,127.11310195922852,USG,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,b36110d7-9903-4e55-9840-583367d55f37,"['USG_Corn', 'USG_Americano', 'USG_SHEVA', 'USG_Kein']",4,3,3,8597.382775,792.28039,632.6113224029541,1854.0
0,0,5,122.58494,byplayer,0,6,46,0,0,0.0,BRU_Noardra,account.d7805acf80134611ac087fde5e0ef964,0,4708.8086,0,0,0,1135,0,1183.7797,6,8,308.358304977417,BRU,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,0e2f2889-4aca-4739-82e2-0558acfafa0b,"['BRU_Noardra', 'BRU_Conaxy', 'BRU_Che4kz1nG', 'BRU_Eaddy']",8,0,0,5461.514825,265.645845,742.3672027587891,1411.0
1,0,0,0.0,byplayer,0,0,43,0,0,0.0,BRU_Conaxy,account.946011e735d34166991fd2be2f148387,0,3993.084,0,0,1,1503,0,1104.5824,10,8,100.0,BRU,8bc4afea-1958-4fa2-b9e6-1f44081dae78,2022-11-14T13:54:47Z,Miramar,1928,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/14/28/ab470df7-6428-11ed-a4c3-16512f2173af-telemetry.json,0e2f2889-4aca-4739-82e2-0558acfafa0b,"['BRU_Noardra', 'BRU_Conaxy', 'BRU_Che4kz1nG', 'BRU_Eaddy']",8,0,0,5461.514825,265.645845,742.3672027587891,1411.0
