dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,3,273.01135,byplayer,1,0,15,1,2,37.13876,DIG_Poonage,account.8518fc26f0794a5a9bbb6327cd9237ff,0,8358.743,0,0.0,0,1202,0,1229.4318,4,12,136.79999351501465,DIG,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,dc9dbe4c-e41d-4224-bd35-09695d5395c9,"['DIG_Poonage', 'DIG_HoneyBadger', 'DIG_Shinboi', 'DIG_sparkingg']",12,3,3,10545.495785,762.96658,563.8750972747803,1116.0
0,1,0,55.8,byplayer,0,0,52,0,0,0.0,DIG_HoneyBadger,account.1c7e95a1f3d740edb5e38b2f2b900875,0,10067.052,0,0.0,0,875,0,536.43884,4,12,100.00000190734863,DIG,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,dc9dbe4c-e41d-4224-bd35-09695d5395c9,"['DIG_Poonage', 'DIG_HoneyBadger', 'DIG_Shinboi', 'DIG_sparkingg']",12,3,3,10545.495785,762.96658,563.8750972747803,1116.0
0,1,2,87.42,byplayer,0,1,51,0,0,0.0,DIG_Shinboi,account.b04e330e27b748d6be6ae18cf4594cb4,0,10656.468,0,0.0,0,1194,0,1295.8184,3,12,173.16453742980957,DIG,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,dc9dbe4c-e41d-4224-bd35-09695d5395c9,"['DIG_Poonage', 'DIG_HoneyBadger', 'DIG_Shinboi', 'DIG_sparkingg']",12,3,3,10545.495785,762.96658,563.8750972747803,1116.0
2,0,3,346.73523,byplayer,1,1,29,1,1,61.100266,DIG_sparkingg,account.a764ca4e30e1471892434e8467c7ae93,0,9121.515,0,0.0,0,1193,0,916.5161,2,12,153.91056442260742,DIG,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,dc9dbe4c-e41d-4224-bd35-09695d5395c9,"['DIG_Poonage', 'DIG_HoneyBadger', 'DIG_Shinboi', 'DIG_sparkingg']",12,3,3,10545.495785,762.96658,563.8750972747803,1116.0
1,0,3,200.0097,byplayer,1,7,20,1,1,37.019943,VP_Lu,account.396ce0851cfb4a868e299982492e8ea3,0,5033.141,0,0.0,0,1665,1,1342.5172,2,4,335.0207710266113,VP,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,09749c45-89cf-4fdf-8edc-8ba356deade6,"['VP_Lu', 'VP_Perfect1ks', 'VP_BatulinS', 'VP_spyrro']",4,5,0,6076.010725,437.89495,1034.054344177246,1329.75
1,0,9,205.88525,byplayer,1,10,6,1,3,256.44318,VP_Perfect1ks,account.332ca082ca76433fa9bd41a5b2696cac,1,4102.5537,0,0.0,0,1482,0,1619.4634,6,4,422.9512538909912,VP,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,09749c45-89cf-4fdf-8edc-8ba356deade6,"['VP_Lu', 'VP_Perfect1ks', 'VP_BatulinS', 'VP_spyrro']",4,5,0,6076.010725,437.89495,1034.054344177246,1329.75
0,0,2,0.0,byzone,0,1,34,0,0,0.0,VP_BatulinS,account.08c188ed97cd46d8877c6db830b96446,0,5544.8823,0,0.0,0,1073,0,923.4038,4,4,152.69042015075684,VP,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,09749c45-89cf-4fdf-8edc-8ba356deade6,"['VP_Lu', 'VP_Perfect1ks', 'VP_BatulinS', 'VP_spyrro']",4,5,0,6076.010725,437.89495,1034.054344177246,1329.75
0,0,4,32.0,byplayer,1,0,21,1,1,82.581505,VP_spyrro,account.8f7a9336b09646d09df0c581420b1738,0,4267.3657,0,0.0,0,1099,0,1470.7158,6,4,123.39189910888672,VP,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,09749c45-89cf-4fdf-8edc-8ba356deade6,"['VP_Lu', 'VP_Perfect1ks', 'VP_BatulinS', 'VP_spyrro']",4,5,0,6076.010725,437.89495,1034.054344177246,1329.75
0,0,4,0.0,byplayer,0,0,57,0,0,0.0,GEX_ZhenNan,account.00b80af7b33645059af2c2bd4d48f23d,0,6073.892,0,0.0,0,1013,0,1248.7996,3,14,93.99999809265137,GEX,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,e02a1687-619e-485d-86ad-51f4c1affaa5,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR', 'GEX_Savior']",14,4,1,7267.987075,450.62470499999995,317.1117858886719,1034.0
2,0,2,135.07082,byplayer,1,3,16,2,2,176.18309,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,0,6334.632,0,0.0,0,1032,0,1180.3367,7,14,63.63404655456543,GEX,8d8a8c67-be88-4728-a9c2-907bff406872,2021-12-11T10:04:44Z,Erangel (Remastered),1885,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/11/10/38/69a3ebc7-5a6e-11ec-9c21-16512f2173af-telemetry.json,e02a1687-619e-485d-86ad-51f4c1affaa5,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR', 'GEX_Savior']",14,4,1,7267.987075,450.62470499999995,317.1117858886719,1034.0
