dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,0.0,byplayer,0,0,55,0,0,0.0,MaD_2tap,account.baedf4d4218c4c5e9940279c3f7b5f08,0,6908.154,0,0,0,928,0,952.69257,4,13,99.99999809265137,MaD,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,a89e759e-0777-451c-bfa3-417e4964f220,"['MaD_2tap', 'MaD_DAEVA', 'MaD_EEND', 'MaD_Lash']",13,0,0,9235.3642525,229.86554,520.3262844085693,993.5
0,0,3,197.94554,byzone,0,7,53,0,0,0.0,MaD_DAEVA,account.8552acd4a3e7498fbcdcb8c6d57e95c5,1,9517.9,0,0,0,1086,0,964.84424,5,13,128.8646068572998,MaD,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,a89e759e-0777-451c-bfa3-417e4964f220,"['MaD_2tap', 'MaD_DAEVA', 'MaD_EEND', 'MaD_Lash']",13,0,0,9235.3642525,229.86554,520.3262844085693,993.5
0,0,3,31.92,byplayer,0,7,54,0,0,0.0,MaD_EEND,account.35f1a52799794754b63d417307a5a9bc,0,9367.506,0,0,0,1036,0,1054.7593,5,13,150.38959884643555,MaD,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,a89e759e-0777-451c-bfa3-417e4964f220,"['MaD_2tap', 'MaD_DAEVA', 'MaD_EEND', 'MaD_Lash']",13,0,0,9235.3642525,229.86554,520.3262844085693,993.5
0,0,1,0.0,byplayer,0,1,56,0,0,0.0,MaD_Lash,account.4a439ada76504d91b6b4b7172e43bb92,0,7203.802,0,0,0,924,0,971.7989,3,13,141.07208061218262,MaD,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,a89e759e-0777-451c-bfa3-417e4964f220,"['MaD_2tap', 'MaD_DAEVA', 'MaD_EEND', 'MaD_Lash']",13,0,0,9235.3642525,229.86554,520.3262844085693,993.5
3,1,4,466.477,byplayer,0,4,29,0,0,0.0,ENCE_D1gg3r1,account.a6ceed9ac2b04737a6ade08ef7368d3f,2,2217.4697,0,0,0,1840,0,2299.4507,6,2,430.7998580932617,ENCE,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,7e96ff14-c118-4a07-b366-0be1baff90a2,"['ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_SKUIJKE']",2,9,3,4093.3486375,1495.65443,1807.293550491333,1708.0
1,1,6,319.26532,byplayer,2,13,10,1,2,25.516367,ENCE_Tiikzu,account.a8c6a4eb1190417aa240f47f70852718,2,1744.9954,0,0,0,1824,0,2181.528,5,2,596.6389083862305,ENCE,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,7e96ff14-c118-4a07-b366-0be1baff90a2,"['ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_SKUIJKE']",2,9,3,4093.3486375,1495.65443,1807.293550491333,1708.0
2,1,7,416.28333,byplayer,2,11,3,1,4,55.475826,ENCE_Rustanmar,account.56e6eef986da464ab8725bc820e5e58a,2,3230.2998,0,0,0,1840,0,2037.9036,6,2,653.9312324523926,ENCE,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,7e96ff14-c118-4a07-b366-0be1baff90a2,"['ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_SKUIJKE']",2,9,3,4093.3486375,1495.65443,1807.293550491333,1708.0
3,0,1,293.62878,byplayer,1,1,6,1,3,158.59007,ENCE_SKUIJKE,account.01552480ea4b4de481f0f45f75d70286,0,768.74805,0,0,0,1328,0,1892.9993,5,2,125.92355155944824,ENCE,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,7e96ff14-c118-4a07-b366-0be1baff90a2,"['ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_SKUIJKE']",2,9,3,4093.3486375,1495.65443,1807.293550491333,1708.0
0,0,4,194.06857,byplayer,0,2,47,0,0,0.0,KX_Cobra,account.ebcf5ff34022402b8f8a578be4bd5d36,0,1051.5607,0,0,0,1203,0,1189.0981,10,11,288.4769763946533,KX,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,6d744a35-803b-403a-a1de-8d7eb80edf2c,"['KX_Cobra', 'KX_Lanren', 'KX_YUPPIE', 'KX_Yuren']",11,1,0,1654.3011535,694.51413,700.441328048706,982.25
1,0,0,150.76,byplayer,0,0,49,0,0,0.0,KX_Lanren,account.e6e5a4d2c56e4c10bea2d771493c493c,0,0.0,0,0,0,350,0,52.367714,1,11,100.0,KX,8e16b38e-7614-4ce0-8f09-d20ffe189f5a,2021-11-21T13:05:28Z,Miramar,1840,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/13/38/40e208a1-4ad0-11ec-9c21-16512f2173af-telemetry.json,6d744a35-803b-403a-a1de-8d7eb80edf2c,"['KX_Cobra', 'KX_Lanren', 'KX_YUPPIE', 'KX_Yuren']",11,1,0,1654.3011535,694.51413,700.441328048706,982.25
