dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,3,97.8,byplayer,0,2,41,0,0,0.0,AAP_Kalbs,account.3c698dd945184dbb8fe3a3a23ef6a20f,1,2851.8735,0,0,0,658,0,1195.0012,8,3,248.06690216064453,AAP,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,ca054e3e-62a3-4d50-9f40-7383f881fbe2,"['AAP_Kalbs', 'AAP_CeeJay18', 'AAP_AljnBOTz', 'AAP_SilentKnight']",3,1,3,4470.5226,898.55269,1018.446231842041,1213.75
2,3,5,474.05515,byplayer,0,2,40,0,0,0.0,AAP_CeeJay18,account.859429c3a9ef4cf787193ee3b69ebe86,0,3858.5815,0,0,0,1891,1,1564.9731,4,3,284.08993339538574,AAP,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,ca054e3e-62a3-4d50-9f40-7383f881fbe2,"['AAP_Kalbs', 'AAP_CeeJay18', 'AAP_AljnBOTz', 'AAP_SilentKnight']",3,1,3,4470.5226,898.55269,1018.446231842041,1213.75
1,0,4,326.69754,byplayer,0,4,16,1,1,149.11324,AAP_AljnBOTz,account.6359ba7e82d34f2b85dbcfc61e9ccf59,0,3082.8762,0,0,0,1653,0,1404.4966,13,3,205.26097679138184,AAP,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,ca054e3e-62a3-4d50-9f40-7383f881fbe2,"['AAP_Kalbs', 'AAP_CeeJay18', 'AAP_AljnBOTz', 'AAP_SilentKnight']",3,1,3,4470.5226,898.55269,1018.446231842041,1213.75
0,0,2,0.0,byplayer,0,4,42,0,0,0.0,AAP_SilentKnight,account.67002b09bba94a0eb3ab1d6132bbaeb0,1,2839.128,0,0,0,653,0,1085.1603,4,3,281.0284194946289,AAP,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,ca054e3e-62a3-4d50-9f40-7383f881fbe2,"['AAP_Kalbs', 'AAP_CeeJay18', 'AAP_AljnBOTz', 'AAP_SilentKnight']",3,1,3,4470.5226,898.55269,1018.446231842041,1213.75
1,2,3,281.28485,byplayer,1,2,20,1,1,57.097633,TSM_FTX_luke12,account.c2e7a0845f5d452f9bd7ae84ee3e8132,0,4942.0576,0,0,0,1415,0,1170.088,6,8,305.43480110168457,TSM,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,6e60f75d-4c08-443a-bead-e0e65c46342a,"['TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta', 'TSM_FTX_ALOW']",8,5,5,4881.377649999999,1032.64958,1271.9412050247192,1391.75
2,1,7,295.6801,byplayer,0,9,11,2,2,48.80988,TSM_FTX_Purdy,account.db8303bd088243798ee787bc7352d526,0,1915.4698,0,0,0,1457,0,2060.1045,6,8,502.04108810424805,TSM,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,6e60f75d-4c08-443a-bead-e0e65c46342a,"['TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta', 'TSM_FTX_ALOW']",8,5,5,4881.377649999999,1032.64958,1271.9412050247192,1391.75
0,2,4,162.43463,byplayer,0,5,21,1,1,191.46695,TSM_FTX_penta,account.ce0dee4546924b0281b55cfc9910b392,0,1756.1132,0,0,0,1399,0,1673.7496,4,8,194.01546955108643,TSM,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,6e60f75d-4c08-443a-bead-e0e65c46342a,"['TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta', 'TSM_FTX_ALOW']",8,5,5,4881.377649999999,1032.64958,1271.9412050247192,1391.75
3,0,4,293.25,byplayer,0,2,22,1,1,128.15875,TSM_FTX_ALOW,account.0a8c91756ced4230956d92674c86e884,0,4356.8384,0,0,0,1296,0,1651.0895,4,8,270.4498462677002,TSM,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,6e60f75d-4c08-443a-bead-e0e65c46342a,"['TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta', 'TSM_FTX_ALOW']",8,5,5,4881.377649999999,1032.64958,1271.9412050247192,1391.75
4,1,8,462.03033,byplayer,2,2,3,2,4,266.1277,OATH_Balefrost,account.1528eaab230841b5b8c0c7c2baf77b48,0,4900.436,0,0,0,1341,0,1595.6447,7,10,266.91579818725586,OATH,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,6d8892c7-df77-4b6f-a772-262be174eb1a,"['OATH_Balefrost', 'OATH_Kickstart', 'OATH_Relo', 'OATH_Snakers']",10,5,4,6760.731825,1309.6877299999999,882.5469675064087,1304.5
0,3,5,605.95996,byplayer,1,4,24,1,1,15.799102,OATH_Kickstart,account.361c4c7547c3496e901b3f0665368501,0,4185.416,0,0,0,1334,0,1428.8098,7,10,383.31073474884033,OATH,901ce7b6-66c7-4f97-baa9-5859636b9026,2021-11-21T06:22:48Z,Miramar,1911,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/06/56/2a63df65-4a98-11ec-9c21-16512f2173af-telemetry.json,6d8892c7-df77-4b6f-a772-262be174eb1a,"['OATH_Balefrost', 'OATH_Kickstart', 'OATH_Relo', 'OATH_Snakers']",10,5,4,6760.731825,1309.6877299999999,882.5469675064087,1304.5
