dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,4,96.53259,byplayer,0,1,26,1,1,59.232353,GHD_d1sgustingg,account.0744273ef0ad439abd4fe0a99d72f9e9,0,1106.2231,0,0,0,1096,1,1184.3416,5,11,118.0000057220459,GHD,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,05eccf3c-73c5-4436-96f7-93b1ec3e96fa,"['GHD_d1sgustingg', 'GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo']",11,5,2,1707.3212424999997,704.45758,789.5834102630615,1132.75
3,0,7,226.79509,byplayer,1,3,7,1,3,81.35041,GHD_Sylphyy,account.95521f70cb2045d884acf8d85012f777,0,418.94604,0,0,0,1297,0,1174.7433,5,11,348.06999588012695,GHD,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,05eccf3c-73c5-4436-96f7-93b1ec3e96fa,"['GHD_d1sgustingg', 'GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo']",11,5,2,1707.3212424999997,704.45758,789.5834102630615,1132.75
2,2,3,381.1299,byplayer,0,7,27,1,1,143.61504,GHD_3007,account.96a87ac362e0466c8d7cd4258dc7f52a,0,796.69025,0,0,0,1042,1,808.7261,5,11,199.99999809265137,GHD,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,05eccf3c-73c5-4436-96f7-93b1ec3e96fa,"['GHD_d1sgustingg', 'GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo']",11,5,2,1707.3212424999997,704.45758,789.5834102630615,1132.75
0,0,2,0.0,byplayer,0,1,50,0,0,0.0,GHD_McMoo,account.189a5c3a3ffe4dd0a67b2222b8a09794,1,362.77948,0,0,0,1096,0,976.8351,4,11,123.5134105682373,GHD,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,05eccf3c-73c5-4436-96f7-93b1ec3e96fa,"['GHD_d1sgustingg', 'GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo']",11,5,2,1707.3212424999997,704.45758,789.5834102630615,1132.75
0,0,0,0.0,byplayer,0,0,35,0,0,0.0,VP_BatulinS,account.cac4a386ea5a44b199e94694cdcdbb1e,0,2821.8865,0,0,0,319,0,204.23103,2,3,100.0,VP,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,74f4e924-aaf3-4630-96ae-6035fc4844d4,"['VP_BatulinS', 'VP_Perfect1ks', 'VP_Lu', 'VP_spyrro']",3,6,2,3473.8324325,1149.13828,944.7976875305176,1171.25
0,0,7,133.49411,byplayer,0,3,34,0,0,0.0,VP_Perfect1ks,account.71f30d7f01be404da060652f46f31340,1,2224.4565,0,0,0,1266,0,1092.4835,5,3,240.44489669799805,VP,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,74f4e924-aaf3-4630-96ae-6035fc4844d4,"['VP_BatulinS', 'VP_Perfect1ks', 'VP_Lu', 'VP_spyrro']",3,6,2,3473.8324325,1149.13828,944.7976875305176,1171.25
3,1,8,704.82764,byzone,0,8,2,2,5,21.643112,VP_Lu,account.a176261e9fb3455281657ff33ee65bb5,0,2672.373,0,0,0,1777,0,1340.4514,4,3,417.230260848999,VP,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,74f4e924-aaf3-4630-96ae-6035fc4844d4,"['VP_BatulinS', 'VP_Perfect1ks', 'VP_Lu', 'VP_spyrro']",3,6,2,3473.8324325,1149.13828,944.7976875305176,1171.25
1,1,5,310.81653,byplayer,1,1,17,1,1,29.819897,VP_spyrro,account.05a52ebc312f49c081a043e8403606ea,0,2491.3455,0,0,0,1323,0,1048.1023,7,3,187.1225299835205,VP,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,74f4e924-aaf3-4630-96ae-6035fc4844d4,"['VP_BatulinS', 'VP_Perfect1ks', 'VP_Lu', 'VP_spyrro']",3,6,2,3473.8324325,1149.13828,944.7976875305176,1171.25
0,0,0,0.0,byplayer,0,0,43,0,0,0.0,MCG_Summer,account.c0f8b8e993e444c8a00964bfc4e16139,0,3433.094,0,0,0,594,0,523.23145,3,6,99.99999809265137,MCG,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,a2922d1f-1432-4dc6-bbe9-9a570da780f1,"['MCG_Summer', 'MCG_Tanki995', 'MCG_LingDuuuuuu', 'MCG_EviLLee']",6,2,0,4510.6299475000005,352.08352,936.9901084899902,1184.25
0,0,5,95.57779,byplayer,0,7,41,0,0,0.0,MCG_Tanki995,account.3d829eb3ed704d2c9234ffe68887a35f,1,3817.2693,0,0,0,1515,0,905.05884,3,6,357.3253574371338,MCG,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,a2922d1f-1432-4dc6-bbe9-9a570da780f1,"['MCG_Summer', 'MCG_Tanki995', 'MCG_LingDuuuuuu', 'MCG_EviLLee']",6,2,0,4510.6299475000005,352.08352,936.9901084899902,1184.25
0,0,3,64.16415,byplayer,0,6,42,0,0,0.0,MCG_LingDuuuuuu,account.1f46eabe5cff43b7a30f415acbf4bfe7,0,4316.3184,0,0,0,1309,0,712.7712,2,6,193.85797500610352,MCG,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,a2922d1f-1432-4dc6-bbe9-9a570da780f1,"['MCG_Summer', 'MCG_Tanki995', 'MCG_LingDuuuuuu', 'MCG_EviLLee']",6,2,0,4510.6299475000005,352.08352,936.9901084899902,1184.25
0,0,3,192.34158,byplayer,0,6,11,1,2,326.73776,MCG_EviLLee,account.eb595ab3bb4f4f329503878c2f6e38d1,0,3426.8203,0,0,0,1319,0,907.9563,4,6,285.80677795410156,MCG,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,a2922d1f-1432-4dc6-bbe9-9a570da780f1,"['MCG_Summer', 'MCG_Tanki995', 'MCG_LingDuuuuuu', 'MCG_EviLLee']",6,2,0,4510.6299475000005,352.08352,936.9901084899902,1184.25
0,0,1,0.0,byplayer,0,0,53,0,0,0.0,GEX_SSR,account.c0be64cb026840fb889d8379db595137,0,4457.2876,0,0,0,854,0,767.54803,4,12,121.67441749572754,GEX,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,8f64b595-b250-4281-b554-fcd036867d75,"['GEX_SSR', 'GEX_ZhenNan', 'GEX_YanLi', 'GEX_Savior']",12,1,0,4699.4451725,352.05399,707.2862195968628,1100.75
0,0,2,0.0,byzone,0,2,51,0,0,0.0,GEX_ZhenNan,account.b717819ba2e5433f9ab7a6e5f81acc8a,0,3589.5444,0,0,0,1161,0,1844.58,5,12,255.84770679473877,GEX,90a95715-b06b-4519-8cdb-25ec2477c1e7,2021-11-21T04:37:08Z,Erangel (Remastered),1884,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/10/5707711e-4a89-11ec-9c21-16512f2173af-telemetry.json,8f64b595-b250-4281-b554-fcd036867d75,"['GEX_SSR', 'GEX_ZhenNan', 'GEX_YanLi', 'GEX_Savior']",12,1,0,4699.4451725,352.05399,707.2862195968628,1100.75
