dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,0.0,byplayer,0,1,61,0,0,0.0,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,6691.5674,0,0,0,1039,0,753.8357,6,15,186.64823150634766,SSG,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,a2f08eff-7704-4b5a-8a9a-5371e7aebf08,"['SSG_Keenan', 'SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k']",15,0,0,6555.6479375,137.034195,767.1721534729004,918.25
0,0,1,0.0,byplayer,0,0,63,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,4608.0405,0,0,0,559,0,397.34515,4,15,127.0,SSG,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,a2f08eff-7704-4b5a-8a9a-5371e7aebf08,"['SSG_Keenan', 'SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k']",15,0,0,6555.6479375,137.034195,767.1721534729004,918.25
0,0,3,97.14727,byplayer,0,1,60,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,6543.869,0,0,0,1066,0,582.4403,4,15,246.48651313781738,SSG,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,a2f08eff-7704-4b5a-8a9a-5371e7aebf08,"['SSG_Keenan', 'SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k']",15,0,0,6555.6479375,137.034195,767.1721534729004,918.25
0,0,3,39.886925,byplayer,0,1,62,0,0,0.0,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,5841.4287,0,0,0,1009,0,804.065,6,15,207.03740882873535,SSG,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,a2f08eff-7704-4b5a-8a9a-5371e7aebf08,"['SSG_Keenan', 'SSG_oldless', 'SSG_Roth', 'SSG_Sharpshot4k']",15,0,0,6555.6479375,137.034195,767.1721534729004,918.25
0,0,2,0.0,byplayer,0,1,64,0,0,0.0,DNW_Salute,account.f004af2e9cd6472a82410810814ee08b,0,6205.486,0,0,0,918,0,552.5172,4,16,123.09343338012695,DNW,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,c01b32a0-c7ae-417c-a1b1-c8a7f4be26d7,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",16,1,1,4977.0771375,229.70248,452.321081161499,777.25
2,1,2,229.70248,byplayer,0,0,31,1,1,15.571295,DNW_seoul,account.0232512c00a341fb8a954ea8777b0cb6,0,4983.379,0,0,0,918,0,864.0034,5,16,127.31304740905762,DNW,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,c01b32a0-c7ae-417c-a1b1-c8a7f4be26d7,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",16,1,1,4977.0771375,229.70248,452.321081161499,777.25
0,0,0,0.0,byplayer,0,0,65,0,0,0.0,DNW_Rex,account.f7f20e78ba10427e853a1ef85708ce41,0,2905.5315,0,0,0,639,0,782.0281,4,16,98.91459655761719,DNW,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,c01b32a0-c7ae-417c-a1b1-c8a7f4be26d7,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",16,1,1,4977.0771375,229.70248,452.321081161499,777.25
0,0,4,0.0,byplayer,0,0,66,0,0,0.0,DNW_LeClo,account.d809f466098c4dfd85be5180e088fa7f,0,3214.576,0,0,0,634,0,400.78735,5,16,103.00000381469727,DNW,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,c01b32a0-c7ae-417c-a1b1-c8a7f4be26d7,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",16,1,1,4977.0771375,229.70248,452.321081161499,777.25
0,0,6,136.90796,alive,0,5,15,1,1,16.571392,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,1,3175.5212,0,0,0,1935,0,2346.9763,5,1,334.74776458740234,ENCE,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,cc74215a-d481-4e7f-aa2e-42fc8304f344,"['ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1']",1,7,2,5093.6569,687.1340399999999,812.1717405319214,1817.0
0,1,0,82.55641,alive,0,0,34,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,2751.238,0,0,0,1526,0,1541.5262,4,1,99.99999618530273,ENCE,9299fbd8-9132-4f30-9c30-e5b0b7ec8adf,2021-12-17T12:19:09Z,Miramar,1935,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/12/53/4b7b973c-5f38-11ec-9c21-16512f2173af-telemetry.json,cc74215a-d481-4e7f-aa2e-42fc8304f344,"['ENCE_Tiikzu', 'ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1']",1,7,2,5093.6569,687.1340399999999,812.1717405319214,1817.0
