dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,2,189.72868,byplayer,0,4,19,1,1,32.824554,TMA_YUPPIE,account.136f97755ea04150adb72686d5d80398,0,8019.639,0,0.0,0,1672,0,838.60443,3,4,281.7979164123535,TMA,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,c0889869-1fda-48fd-96ee-caabe5f03e8a,"['TMA_YUPPIE', 'TMA_LuLualways', 'TMA_CRAZY112', 'TMA_Xiaoha1xxxx']",4,3,2,8711.60597,1324.1473600000002,1018.2090301513672,1586.0
0,0,4,177.73141,byplayer,0,1,40,0,0,0.0,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,1,6992.361,0,0.0,0,1532,1,887.47205,5,4,166.8984088897705,TMA,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,c0889869-1fda-48fd-96ee-caabe5f03e8a,"['TMA_YUPPIE', 'TMA_LuLualways', 'TMA_CRAZY112', 'TMA_Xiaoha1xxxx']",4,3,2,8711.60597,1324.1473600000002,1018.2090301513672,1586.0
2,1,5,547.4409,byplayer,0,6,20,1,1,37.92697,TMA_CRAZY112,account.39cefaacd918414cb365cefa6d596f8d,1,7674.335,0,0.0,0,1613,0,1091.5568,3,4,346.22991371154785,TMA,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,c0889869-1fda-48fd-96ee-caabe5f03e8a,"['TMA_YUPPIE', 'TMA_LuLualways', 'TMA_CRAZY112', 'TMA_Xiaoha1xxxx']",4,3,2,8711.60597,1324.1473600000002,1018.2090301513672,1586.0
1,0,2,409.24637,byplayer,0,2,21,1,1,309.63245,TMA_Xiaoha1xxxx,account.a66ea3e14f5a4b94a9bd8eeb01e7bc99,0,8636.178,0,0.0,0,1527,0,706.2776,5,4,223.2827911376953,TMA,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,c0889869-1fda-48fd-96ee-caabe5f03e8a,"['TMA_YUPPIE', 'TMA_LuLualways', 'TMA_CRAZY112', 'TMA_Xiaoha1xxxx']",4,3,2,8711.60597,1324.1473600000002,1018.2090301513672,1586.0
1,1,5,119.74115,byplayer,0,4,44,0,0,0.0,CES_Sololzy,account.00ea83d7b05b405fb7714d20b0d73228,1,5396.7563,0,0.0,0,1483,0,490.0616,5,7,325.4725522994995,CES,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,da8472fc-4503-495c-a420-7395628ed72c,"['CES_Sololzy', 'CES_HaiSaki', 'CES_Taikonn', 'CES_Himass']",7,0,1,5696.988335,444.738325,1024.6205253601074,1244.75
0,0,0,73.77481,byplayer,0,0,47,0,0,0.0,CES_HaiSaki,account.513a778d5f1049be8115ff55a6f6a97b,0,4552.424,0,0.0,0,561,0,315.63904,6,7,100.0,CES,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,da8472fc-4503-495c-a420-7395628ed72c,"['CES_Sololzy', 'CES_HaiSaki', 'CES_Taikonn', 'CES_Himass']",7,0,1,5696.988335,444.738325,1024.6205253601074,1244.75
0,0,6,183.13539,byplayer,0,3,45,0,0,0.0,CES_Taikonn,account.89d7fbb673264d988c0726054fb021a2,0,5332.12,0,0.0,0,1483,0,674.4977,4,7,221.41425037384033,CES,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,da8472fc-4503-495c-a420-7395628ed72c,"['CES_Sololzy', 'CES_HaiSaki', 'CES_Taikonn', 'CES_Himass']",7,0,1,5696.988335,444.738325,1024.6205253601074,1244.75
0,0,5,68.086975,byplayer,0,4,46,0,0,0.0,CES_Himass,account.14d7d7472027408faffd2848885ad89e,1,5478.5874,0,0.0,0,1452,0,547.8673,2,7,377.7337226867676,CES,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,da8472fc-4503-495c-a420-7395628ed72c,"['CES_Sololzy', 'CES_HaiSaki', 'CES_Taikonn', 'CES_Himass']",7,0,1,5696.988335,444.738325,1024.6205253601074,1244.75
0,0,1,68.64,byplayer,0,0,65,0,0,0.0,DAY_Belmoth,account.ca498222d9684d96ae46691459ae1035,0,5330.9707,0,0.0,0,667,0,500.7159,7,16,100.0,DAY,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,1bdb73c2-d460-4eb9-a937-bd33d8d94ba3,"['DAY_Belmoth', 'DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz']",16,2,1,4803.535585,242.83310999999998,396.5171432495117,663.75
1,0,0,92.64311,byplayer,0,0,34,1,1,1.6810375,DAY_Flash,account.cfe54eb81f1240108673bfa04304580d,0,3705.5908,1,0.0,0,667,0,631.035,4,16,100.00000381469727,DAY,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,1bdb73c2-d460-4eb9-a937-bd33d8d94ba3,"['DAY_Belmoth', 'DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz']",16,2,1,4803.535585,242.83310999999998,396.5171432495117,663.75
1,1,0,81.55,byplayer,0,0,33,1,1,11.141355,DAY_Nourinz,account.77a9426605734fb197ad2f27012d098e,0,3513.7039,0,0.0,1,667,0,1029.4614,3,16,100.0000057220459,DAY,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,1bdb73c2-d460-4eb9-a937-bd33d8d94ba3,"['DAY_Belmoth', 'DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz']",16,2,1,4803.535585,242.83310999999998,396.5171432495117,663.75
0,0,0,0.0,byplayer,0,0,66,0,0,0.0,DAY_PuuChiwz,account.aa926bda70894a5597ce44e11faf5ae1,0,3921.9097,0,0.0,0,654,0,580.75494,4,16,96.51713371276855,DAY,95fd3fd3-22a8-4c63-8ff5-0b53ecede0a2,2022-11-19T12:59:40Z,Erangel (Remastered),1931,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/13/33/cd83cc8e-680e-11ed-a4c3-16512f2173af-telemetry.json,1bdb73c2-d460-4eb9-a937-bd33d8d94ba3,"['DAY_Belmoth', 'DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz']",16,2,1,4803.535585,242.83310999999998,396.5171432495117,663.75
