dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,3,4,692.3362,alive,2,3,3,1,3,138.98418,TS_sharky,account.81895902cae4453394b9d3b7daf430ec,0,6551.956,0,0,0,1830.519,2,1235.1401,4,1,172.29063320159912,TS,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,6486fb2b-0d83-4d17-b065-446cff5f64a0,"['TS_sharky', 'TS_Sharpshot4k', 'TS_Meluke', 'TS_Zanpah']",1,8,8,8709.555075,2006.7181799999998,931.8237819671631,1814.089
1,4,6,618.7072,alive,0,11,15,1,1,164.45837,TS_Sharpshot4k,account.f8294a7dc61944fd968142d3773378d9,1,7279.793,0,0,0,1830.519,0,1000.435,5,1,299.8266201019287,TS,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,6486fb2b-0d83-4d17-b065-446cff5f64a0,"['TS_sharky', 'TS_Sharpshot4k', 'TS_Meluke', 'TS_Zanpah']",1,8,8,8709.555075,2006.7181799999998,931.8237819671631,1814.089
0,1,4,214.29984,byplayer,0,1,73,0,0,0.0,TS_Meluke,account.79ac9941ab664fdf91ae102b28e6832c,0,6765.036,0,0,0,1764.799,0,1429.4022,5,1,272.0000057220459,TS,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,6486fb2b-0d83-4d17-b065-446cff5f64a0,"['TS_sharky', 'TS_Sharpshot4k', 'TS_Meluke', 'TS_Zanpah']",1,8,8,8709.555075,2006.7181799999998,931.8237819671631,1814.089
2,0,3,481.37494,alive,0,1,1,2,4,192.46564,TS_Zanpah,account.aebabaaa36a1448182f71ba4b751276a,0,9288.628,0,0,0,1830.519,0,1287.83,7,1,187.70652294158936,TS,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,6486fb2b-0d83-4d17-b065-446cff5f64a0,"['TS_sharky', 'TS_Sharpshot4k', 'TS_Meluke', 'TS_Zanpah']",1,8,8,8709.555075,2006.7181799999998,931.8237819671631,1814.089
0,0,2,0.0,byzone,0,1,94,0,0,0.0,TSM_mykLe,account.a57d1a72db974c81b40b8e34759c4d06,0,1405.6328,0,0,0,965.961,0,969.64404,3,13,142.27568244934082,TSM,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,80fdd472-b391-44dd-95af-a2350a81c23b,"['TSM_mykLe', 'TSM_Gustav', 'TSM_Iroh', 'TSM_rawryy']",13,4,1,3132.600885,623.77492,626.2353563308716,1006.59025
2,0,4,476.61618,byplayer,0,3,9,1,3,30.815275,TSM_Gustav,account.d0838a1293a24edaa7e5a319d6aa6ebb,0,2902.0076,0,0,0,1123.219,0,1398.8,4,13,233.7450294494629,TSM,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,80fdd472-b391-44dd-95af-a2350a81c23b,"['TSM_mykLe', 'TSM_Gustav', 'TSM_Iroh', 'TSM_rawryy']",13,4,1,3132.600885,623.77492,626.2353563308716,1006.59025
0,0,0,26.45874,byplayer,0,0,95,0,0,0.0,TSM_Iroh,account.d6d1078b5ac546808c9bcaa314f927e1,0,1020.8028,0,0,0,813.959,0,1027.3567,4,13,99.99999809265137,TSM,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,80fdd472-b391-44dd-95af-a2350a81c23b,"['TSM_mykLe', 'TSM_Gustav', 'TSM_Iroh', 'TSM_rawryy']",13,4,1,3132.600885,623.77492,626.2353563308716,1006.59025
1,1,4,120.7,byzone,0,8,30,1,1,122.96851,TSM_rawryy,account.862f6412f75c442d8dcb724a928cfd18,0,1893.7087,0,0,0,1123.222,0,1912.4509,4,13,150.2146463394165,TSM,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,80fdd472-b391-44dd-95af-a2350a81c23b,"['TSM_mykLe', 'TSM_Gustav', 'TSM_Iroh', 'TSM_rawryy']",13,4,1,3132.600885,623.77492,626.2353563308716,1006.59025
0,0,1,47.86504,byplayer,0,0,101,0,0,0.0,T1_Akad,account.ee019acad8cc4cdf9521e9d1e3429d34,0,3930.4954,0,0,0,969.699,0,751.5268,5,16,100.00000190734863,T1,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,efd2f13c-ce63-42a3-ba82-306d4b20e295,"['T1_Akad', 'T1_Adder', 'T1_HelleN', 'T1_JeffLocka']",16,1,0,4249.503484999999,292.940737,328.90819549560547,854.242
1,0,0,125.26,byplayer,0,0,33,1,1,97.37103,T1_Adder,account.47c270cdef49460794a49aff746c1426,0,3615.1826,0,0,0,969.695,0,1084.1376,3,16,18.402711868286133,T1,975b547a-04d2-4ec5-9276-58d632c15deb,2019-11-24T04:35:59Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/05/09/9176ed88-0e78-11ea-8b2e-0a5864602270-telemetry.json,efd2f13c-ce63-42a3-ba82-306d4b20e295,"['T1_Akad', 'T1_Adder', 'T1_HelleN', 'T1_JeffLocka']",16,1,0,4249.503484999999,292.940737,328.90819549560547,854.242
