dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,5,333.74258,byzone,1,2,10,1,2,236.53497,GEN_Inonix,account.6cf349c029a241b4ab975ed390eff921,0,5435.516,0,0,0,1680,2,1620.384,7,3,209.88637733459473,GEN,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,1e968887-fae4-4335-97cd-e77e5d94d727,"['GEN_Inonix', 'GEN_Renba', 'GEN_Asura', 'GEN_Adder']",3,9,2,8001.5952,1290.6176730000002,1378.5569133758545,1645.25
3,1,7,634.1955,byplayer,1,9,3,2,4,183.64357,GEN_Renba,account.9421bafc6f134a5c957c20416fa4587a,1,7042.9146,0,0,0,1718,1,1613.2574,4,3,443.81511306762695,GEN,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,1e968887-fae4-4335-97cd-e77e5d94d727,"['GEN_Inonix', 'GEN_Renba', 'GEN_Asura', 'GEN_Adder']",3,9,2,8001.5952,1290.6176730000002,1378.5569133758545,1645.25
0,0,5,27.181673,byplayer,0,1,31,0,0,0.0,GEN_Asura,account.0f3f4c9fbea048fd820056e5adceb6ea,0,6066.675,0,0,0,1465,0,1521.0764,6,3,250.82339668273926,GEN,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,1e968887-fae4-4335-97cd-e77e5d94d727,"['GEN_Inonix', 'GEN_Renba', 'GEN_Asura', 'GEN_Adder']",3,9,2,8001.5952,1290.6176730000002,1378.5569133758545,1645.25
2,0,4,295.49792,byplayer,0,5,6,3,3,64.41203,GEN_Adder,account.e62939f355d84da3a1942490dea87391,1,7442.668,0,0,0,1718,0,1263.8894,6,3,474.03202629089355,GEN,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,1e968887-fae4-4335-97cd-e77e5d94d727,"['GEN_Inonix', 'GEN_Renba', 'GEN_Asura', 'GEN_Adder']",3,9,2,8001.5952,1290.6176730000002,1378.5569133758545,1645.25
0,0,0,19.8,byplayer,0,0,35,0,0,0.0,17_SuJiu,account.6c72b19fa5f84f6d8f057800fcb8c7e4,0,1944.7141,0,0,0,417,0,465.285,5,5,100.00000381469727,17,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,58f46b7c-27e3-4190-a01a-2f3e5fbdc1e3,"['17_SuJiu', '17_shou', '17_Lilghost', '17_xwudd']",5,5,2,3479.6419499999997,1080.01191,630.4265060424805,1063.0
0,1,5,208.58908,byplayer,0,2,34,0,0,0.0,17_shou,account.fbcd9114dda54349be8984db3a56a529,0,2602.4614,0,0,0,1120,0,1098.9526,4,5,173.93944358825684,17,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,58f46b7c-27e3-4190-a01a-2f3e5fbdc1e3,"['17_SuJiu', '17_shou', '17_Lilghost', '17_xwudd']",5,5,2,3479.6419499999997,1080.01191,630.4265060424805,1063.0
3,0,5,361.63943,byplayer,1,0,5,2,4,75.25909,17_Lilghost,account.044fdaf796814b68a5be3eb2364d1729,0,2110.0608,0,0,0,1092,0,1952.9514,6,5,151.85680198669434,17,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,58f46b7c-27e3-4190-a01a-2f3e5fbdc1e3,"['17_SuJiu', '17_shou', '17_Lilghost', '17_xwudd']",5,5,2,3479.6419499999997,1080.01191,630.4265060424805,1063.0
1,1,3,489.9834,byzone,0,1,20,1,1,48.16143,17_xwudd,account.be483b1d24c34bce9affba1f346a6679,0,2510.1008,0,0,0,1623,0,1234.0417,4,5,204.63025665283203,17,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,58f46b7c-27e3-4190-a01a-2f3e5fbdc1e3,"['17_SuJiu', '17_shou', '17_Lilghost', '17_xwudd']",5,5,2,3479.6419499999997,1080.01191,630.4265060424805,1063.0
1,0,8,390.38373,byplayer,1,4,8,1,2,160.76602,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,1,4285.113,0,0,0,1847,0,2161.9602,7,2,256.5595893859863,TMA,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,f213f6c5-959f-42a2-b89c-00c93cd7b26c,"['TMA_LuLualways', 'TMA_YUPPIE', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112']",2,4,3,6511.123524999999,1248.74878,1325.9345350265503,1838.5
0,0,1,97.91307,byplayer,0,2,29,0,0,0.0,TMA_YUPPIE,account.136f97755ea04150adb72686d5d80398,1,5227.688,0,0,0,1847,0,1205.4375,3,2,240.49750518798828,TMA,97a353b4-ecfe-4442-95c8-f3ee6c95e47f,2022-11-07T14:59:20Z,Miramar,1847,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/15/32/5550cda8-5eb1-11ed-a4c3-16512f2173af-telemetry.json,f213f6c5-959f-42a2-b89c-00c93cd7b26c,"['TMA_LuLualways', 'TMA_YUPPIE', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112']",2,4,3,6511.123524999999,1248.74878,1325.9345350265503,1838.5
