dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,6,48.220222,byplayer,0,3,53,0,0,0.0,MaD_Lash,account.4a439ada76504d91b6b4b7172e43bb92,0,3757.122,0,0,0,1158,0,1050.1188,4,11,233.82382488250732,MaD,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,4aabea13-5d14-4fbe-81a2-2bc28c906355,"['MaD_Lash', 'MaD_DAEVA', 'MaD_2tap', 'MaD_EEND']",11,4,2,5375.492684999999,638.503072,653.4591846466064,1056.25
1,1,4,223.72696,byplayer,1,1,8,2,3,407.38257,MaD_DAEVA,account.8552acd4a3e7498fbcdcb8c6d57e95c5,0,4692.4946,0,0,0,1164,0,1190.9203,6,11,157.29986000061035,MaD,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,4aabea13-5d14-4fbe-81a2-2bc28c906355,"['MaD_Lash', 'MaD_DAEVA', 'MaD_2tap', 'MaD_EEND']",11,4,2,5375.492684999999,638.503072,653.4591846466064,1056.25
1,0,5,78.10349,byplayer,0,3,27,1,1,4.1671243,MaD_2tap,account.baedf4d4218c4c5e9940279c3f7b5f08,0,3642.5835,0,0,0,1186,0,1508.3644,4,11,162.33549976348877,MaD,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,4aabea13-5d14-4fbe-81a2-2bc28c906355,"['MaD_Lash', 'MaD_DAEVA', 'MaD_2tap', 'MaD_EEND']",11,4,2,5375.492684999999,638.503072,653.4591846466064,1056.25
1,0,1,288.4524,byplayer,0,0,54,0,0,0.0,MaD_EEND,account.35f1a52799794754b63d417307a5a9bc,0,5058.0854,0,0,0,717,0,602.28174,4,11,100.0,MaD,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,4aabea13-5d14-4fbe-81a2-2bc28c906355,"['MaD_Lash', 'MaD_DAEVA', 'MaD_2tap', 'MaD_EEND']",11,4,2,5375.492684999999,638.503072,653.4591846466064,1056.25
0,0,4,138.02213,byplayer,0,10,59,0,0,0.0,Uniq_ADOUZ1E,account.be8d87a4cce7403e984a547d9b5145cc,1,5028.568,0,0,0,1096,0,769.99805,3,14,269.08176612854004,Uniq,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,b79353b2-90c6-4f65-919a-57de569e26be,"['Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_DaNt3-', 'Uniq_Faultlessly']",14,0,0,5361.349935,359.50338999999997,851.8474216461182,997.5
0,0,0,0.0,byplayer,0,0,60,0,0,0.0,Uniq_Fate,account.0252627356fb431a8c61b805b74d4aea,0,3173.4412,0,0,0,702,0,455.94073,2,14,79.99992370605469,Uniq,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,b79353b2-90c6-4f65-919a-57de569e26be,"['Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_DaNt3-', 'Uniq_Faultlessly']",14,0,0,5361.349935,359.50338999999997,851.8474216461182,997.5
0,0,3,0.0,byplayer,0,5,58,0,0,0.0,Uniq_DaNt3-,account.3c931b793cda4598b8aeb46b4d9c06de,0,5087.17,0,0,0,1096,0,796.06946,4,14,151.35350036621094,Uniq,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,b79353b2-90c6-4f65-919a-57de569e26be,"['Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_DaNt3-', 'Uniq_Faultlessly']",14,0,0,5361.349935,359.50338999999997,851.8474216461182,997.5
1,0,3,221.48126,byplayer,0,6,57,0,0,0.0,Uniq_Faultlessly,account.4f7424efc4fe4a2589de10dccdc3686d,0,5393.132,0,0,0,1096,0,741.0803,5,14,351.4122314453125,Uniq,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,b79353b2-90c6-4f65-919a-57de569e26be,"['Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_DaNt3-', 'Uniq_Faultlessly']",14,0,0,5361.349935,359.50338999999997,851.8474216461182,997.5
1,1,1,292.23474,byplayer,0,0,28,1,1,12.659266,AAA_Gems,account.f157769d426b4481aef391abfde94f63,1,1228.3615,0,0,0,1129,0,1733.1891,5,13,111.79353904724121,AAA,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,f7d78d76-be87-4cec-9985-f687b125f11d,"['AAA_Gems', 'AAA_J4nku2of', 'AAA_Glooms', 'AAA_Jayers']",13,8,1,2645.506515,594.047645,624.7707405090332,1124.25
2,0,2,146.28447,byplayer,1,3,9,2,3,423.94666,AAA_J4nku2of,account.00d747e690bd4a6281e241c11e1817ff,0,1654.8091,0,0,0,1137,0,1205.8445,3,13,151.6830768585205,AAA,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,f7d78d76-be87-4cec-9985-f687b125f11d,"['AAA_Gems', 'AAA_J4nku2of', 'AAA_Glooms', 'AAA_Jayers']",13,8,1,2645.506515,594.047645,624.7707405090332,1124.25
1,0,4,137.43204,byplayer,0,2,17,1,2,378.0499,AAA_Glooms,account.9f7e265ae665404e837d562728d9d3cd,0,761.31396,0,0,0,1131,0,1813.3398,3,13,270.29412841796875,AAA,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,f7d78d76-be87-4cec-9985-f687b125f11d,"['AAA_Gems', 'AAA_J4nku2of', 'AAA_Glooms', 'AAA_Jayers']",13,8,1,2645.506515,594.047645,624.7707405090332,1124.25
1,0,0,18.096395,byplayer,1,0,18,1,2,559.0995,AAA_Jayers,account.0d6e3cdc1be54641a2a917b73301a002,0,1134.0784,0,0,0,1100,0,1051.0897,3,13,90.99999618530273,AAA,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,f7d78d76-be87-4cec-9985-f687b125f11d,"['AAA_Gems', 'AAA_J4nku2of', 'AAA_Glooms', 'AAA_Jayers']",13,8,1,2645.506515,594.047645,624.7707405090332,1124.25
0,1,4,236.65955,byplayer,0,1,37,0,0,0.0,KPI_SzylzEN,account.88d3992290904410913bfd2dd77e620b,0,2107.2893,0,0,0,1512,0,2063.6162,5,3,150.8964672088623,KPI,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,786556b2-90c0-4589-af11-09553e62d045,"['KPI_SzylzEN', 'KPI_Dr4FTk1NG', 'KPI_Capitan', 'KPI_Em1hh']",3,5,2,4235.75555,1465.68859,614.8368139266968,1446.75
1,1,3,518.9105,byplayer,1,2,10,1,2,178.53925,KPI_Dr4FTk1NG,account.aaf09c177ea34ac4aabe8dc790d0a322,0,3752.616,0,0,0,1433,1,1522.3744,2,3,144.17755603790283,KPI,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,786556b2-90c0-4589-af11-09553e62d045,"['KPI_SzylzEN', 'KPI_Dr4FTk1NG', 'KPI_Capitan', 'KPI_Em1hh']",3,5,2,4235.75555,1465.68859,614.8368139266968,1446.75
2,0,2,333.59894,byplayer,0,1,11,2,2,59.57425,KPI_Capitan,account.b1700a3ba3be4de48c73f2ed014b9949,0,1306.5088,0,0,0,1326,0,1818.8374,7,3,190.69824409484863,KPI,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,786556b2-90c0-4589-af11-09553e62d045,"['KPI_SzylzEN', 'KPI_Dr4FTk1NG', 'KPI_Capitan', 'KPI_Em1hh']",3,5,2,4235.75555,1465.68859,614.8368139266968,1446.75
3,0,4,376.5196,byplayer,1,0,20,1,1,217.71602,KPI_Em1hh,account.0958f61cd64e4f368b026aa22a08599a,0,1746.7083,0,0,0,1516,0,2625.0718,5,3,129.064546585083,KPI,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,786556b2-90c0-4589-af11-09553e62d045,"['KPI_SzylzEN', 'KPI_Dr4FTk1NG', 'KPI_Capitan', 'KPI_Em1hh']",3,5,2,4235.75555,1465.68859,614.8368139266968,1446.75
1,0,5,118.753975,byplayer,0,7,25,1,1,36.530968,DIG_Shinboi,account.c35106154a3f49c29a71106c473e8559,0,7437.7095,0,0,0,1323,0,1309.5475,5,6,109.99999618530273,DIG,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,751c6d75-928b-47c8-ab27-bf6c6926a6de,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_HoneyBadger', 'DIG_Poonage']",6,3,2,8971.93265,666.9318920000001,893.74755859375,1325.75
1,0,7,393.50912,byplayer,0,11,23,1,1,33.47425,DIG_sparkingg,account.2bf211401351438c987b6846009db9ba,0,7487.448,0,0,0,1361,0,1425.1495,3,6,312.5884017944336,DIG,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,751c6d75-928b-47c8-ab27-bf6c6926a6de,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_HoneyBadger', 'DIG_Poonage']",6,3,2,8971.93265,666.9318920000001,893.74755859375,1325.75
0,1,5,25.819017,byplayer,0,7,41,0,0,0.0,DIG_HoneyBadger,account.eaeaba953a094607b60bd205ea2dd889,0,6486.067,0,0,0,1268,0,1740.2056,4,6,248.3249111175537,DIG,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,751c6d75-928b-47c8-ab27-bf6c6926a6de,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_HoneyBadger', 'DIG_Poonage']",6,3,2,8971.93265,666.9318920000001,893.74755859375,1325.75
1,1,7,128.84978,byplayer,1,7,24,1,1,111.85453,DIG_Poonage,account.3ce60a1053dd45c79a8deb4e29fa32bb,0,8502.595,0,0,0,1351,0,1499.0085,5,6,222.83424949645996,DIG,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,751c6d75-928b-47c8-ab27-bf6c6926a6de,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_HoneyBadger', 'DIG_Poonage']",6,3,2,8971.93265,666.9318920000001,893.74755859375,1325.75
2,3,3,496.0872,alive,0,3,5,1,3,85.59812,ENCE_Rustanmar,account.56e6eef986da464ab8725bc820e5e58a,0,2998.4133,0,0,0,1557,0,1381.744,6,1,255.0905933380127,ENCE,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,c2573cce-52aa-461d-8e34-4dc72d9838a7,"['ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_SKUIJKE']",1,10,7,4075.343375,1361.7756800000002,856.0570259094238,1557.0
2,1,2,400.44452,alive,1,7,1,1,4,134.71062,ENCE_D1gg3r1,account.a6ceed9ac2b04737a6ade08ef7368d3f,1,2270.9583,0,0,0,1557,0,1761.1383,3,1,100.48887062072754,ENCE,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,c2573cce-52aa-461d-8e34-4dc72d9838a7,"['ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_SKUIJKE']",1,10,7,4075.343375,1361.7756800000002,856.0570259094238,1557.0
0,1,5,183.90738,alive,0,3,33,0,0,0.0,ENCE_Tiikzu,account.a8c6a4eb1190417aa240f47f70852718,0,2714.0283,0,0,0,1557,0,1032.26,7,1,241.80058670043945,ENCE,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,c2573cce-52aa-461d-8e34-4dc72d9838a7,"['ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_SKUIJKE']",1,10,7,4075.343375,1361.7756800000002,856.0570259094238,1557.0
2,2,4,281.33658,alive,0,9,4,1,3,202.96385,ENCE_SKUIJKE,account.01552480ea4b4de481f0f45f75d70286,1,2393.161,0,0,0,1557,0,1749.6703,7,1,258.67697525024414,ENCE,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,c2573cce-52aa-461d-8e34-4dc72d9838a7,"['ENCE_Rustanmar', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_SKUIJKE']",1,10,7,4075.343375,1361.7756800000002,856.0570259094238,1557.0
0,1,6,129.97713,byzone,0,2,38,0,0,0.0,SSG_Keenan,account.d41d767940c24b6dab6b1cd04b6790fd,0,5582.192,0,0,0,1473,0,1908.6921,5,4,218.0469512939453,SSG,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,88e0f0b2-8664-4481-a828-d1a74dd3c39d,"['SSG_Keenan', 'SSG_Roth', 'SSG_oldless', 'SSG_Sharpshot4k']",4,7,4,7541.391275,914.10698,1113.433801651001,1477.25
2,1,6,173.09174,byplayer,1,5,21,1,1,131.11674,SSG_Roth,account.c502c0615ed54582a75dbd44f3eb1fb6,1,6397.8364,0,0,0,1463,0,1300.4812,6,4,411.7751274108887,SSG,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,88e0f0b2-8664-4481-a828-d1a74dd3c39d,"['SSG_Keenan', 'SSG_Roth', 'SSG_oldless', 'SSG_Sharpshot4k']",4,7,4,7541.391275,914.10698,1113.433801651001,1477.25
1,2,6,236.96451,byplayer,0,5,12,2,2,80.64231,SSG_oldless,account.895937195477442b85686956ada8cd61,2,5360.1,0,0,0,1473,0,1855.4702,10,4,364.2230701446533,SSG,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,88e0f0b2-8664-4481-a828-d1a74dd3c39d,"['SSG_Keenan', 'SSG_Roth', 'SSG_oldless', 'SSG_Sharpshot4k']",4,7,4,7541.391275,914.10698,1113.433801651001,1477.25
3,0,1,374.0736,byplayer,2,0,2,2,4,100.526375,SSG_Sharpshot4k,account.670f0c169bfe43acb48094a3a1cb42b3,2,6338.2964,0,0,0,1500,0,1422.4968,5,4,119.38865280151367,SSG,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,88e0f0b2-8664-4481-a828-d1a74dd3c39d,"['SSG_Keenan', 'SSG_Roth', 'SSG_oldless', 'SSG_Sharpshot4k']",4,7,4,7541.391275,914.10698,1113.433801651001,1477.25
0,3,3,311.995,byplayer,0,1,22,1,1,65.36945,FaZe_Aitzy,account.ef37fe1de31342eda580c3681a8d46cd,0,6298.9907,0,0,0,1481,1,1296.4756,8,5,168.6455774307251,FaZe,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,407162e6-908b-4f72-acad-5995a9053aee,"['FaZe_Aitzy', 'FaZe_Fuzzface', 'FaZe_Fexx', 'FaZe_Gustav']",5,5,4,6207.974324999999,829.1610800000001,836.8329663276672,1407.0
0,0,3,78.88898,byplayer,0,2,39,0,0,0.0,FaZe_Fuzzface,account.246d74ca95064c81976e9349b8a55925,0,4875.0474,0,0,0,1347,0,1131.6249,3,5,208.48465728759766,FaZe,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,407162e6-908b-4f72-acad-5995a9053aee,"['FaZe_Aitzy', 'FaZe_Fuzzface', 'FaZe_Fexx', 'FaZe_Gustav']",5,5,4,6207.974324999999,829.1610800000001,836.8329663276672,1407.0
4,1,5,384.28955,byzone,0,6,3,2,4,34.7127,FaZe_Fexx,account.d2bcd9a691f244fca1f8d1c9ba673c27,0,4314.501,0,0,0,1481,0,1667.1519,5,5,333.0255584716797,FaZe,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,407162e6-908b-4f72-acad-5995a9053aee,"['FaZe_Aitzy', 'FaZe_Fuzzface', 'FaZe_Fexx', 'FaZe_Gustav']",5,5,4,6207.974324999999,829.1610800000001,836.8329663276672,1407.0
0,0,1,53.98755,byplayer,0,0,40,0,0,0.0,FaZe_Gustav,account.59bf654a2c7d4b37ae1aa2929500ba6a,0,3862.5188,0,0,0,1319,0,1385.587,6,5,126.6771731376648,FaZe,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,407162e6-908b-4f72-acad-5995a9053aee,"['FaZe_Aitzy', 'FaZe_Fuzzface', 'FaZe_Fexx', 'FaZe_Gustav']",5,5,4,6207.974324999999,829.1610800000001,836.8329663276672,1407.0
0,0,4,21.51869,byplayer,0,3,43,0,0,0.0,GEN_Pio,account.826adbebc2e24047833760ccc0c00842,1,9970.928,0,0,0,1297,0,1403.6793,4,8,292.43686866760254,GEN,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,5807713a-bb8f-4cb4-aad0-83048778eaa4,"['GEN_Pio', 'GEN_Inonix', 'GEN_Esther', 'GEN_Asura']",8,2,1,10876.72081,588.43938,808.2644004821777,1148.75
2,0,2,326.71286,byplayer,1,1,13,2,2,41.068153,GEN_Inonix,account.51a192cc2a9b4ae88d7e7b9efa79d33f,0,9248.443,0,0,0,1115,0,986.9652,4,8,197.2772922515869,GEN,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,5807713a-bb8f-4cb4-aad0-83048778eaa4,"['GEN_Pio', 'GEN_Inonix', 'GEN_Esther', 'GEN_Asura']",8,2,1,10876.72081,588.43938,808.2644004821777,1148.75
1,1,2,191.08,byplayer,0,1,44,0,0,0.0,GEN_Esther,account.b360f8d016e447cf8d53b11f116b9097,0,10974.512,0,0,0,1104,0,887.08734,2,8,194.9999942779541,GEN,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,5807713a-bb8f-4cb4-aad0-83048778eaa4,"['GEN_Pio', 'GEN_Inonix', 'GEN_Esther', 'GEN_Asura']",8,2,1,10876.72081,588.43938,808.2644004821777,1148.75
1,0,4,49.12783,byplayer,0,1,45,0,0,0.0,GEN_Asura,account.f97eb2645f994b9ba02ce9a737e9d6ad,0,8893.67,0,0,0,1079,0,1141.5984,3,8,123.55024528503418,GEN,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,5807713a-bb8f-4cb4-aad0-83048778eaa4,"['GEN_Pio', 'GEN_Inonix', 'GEN_Esther', 'GEN_Asura']",8,2,1,10876.72081,588.43938,808.2644004821777,1148.75
0,0,0,0.0,byplayer,0,0,52,0,0,0.0,PeRo_mingz1,account.a19adf3652f34573a5dd707b9828dae6,0,1473.9213,0,0,0,884,0,1003.8125,4,10,100.0,PeRo,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,ed14cf04-325a-4e90-96e8-7aad5720278f,"['PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu']",10,2,0,3023.05314,413.57563400000004,575.0383243560791,1030.75
0,0,4,121.978264,byplayer,0,2,51,0,0,0.0,PeRo_Myl,account.c12ed0be526b463ca97ceb41b0cbbfe5,0,1262.4457,0,0,0,976,0,628.1496,6,10,138.01953887939453,PeRo,99278d1c-9478-44b7-8453-6d8d1ab057da,2021-11-21T11:38:37Z,Erangel (Remastered),1557,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/12/06/7639c9b5-4ac3-11ec-9c21-16512f2173af-telemetry.json,ed14cf04-325a-4e90-96e8-7aad5720278f,"['PeRo_mingz1', 'PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu']",10,2,0,3023.05314,413.57563400000004,575.0383243560791,1030.75
