dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,22.094143,byplayer,0,0,62,0,0,0.0,AAP_AljnBOTz,account.93f365058f0b4e96a516d267af2ea8d0,0,4406.6816,0,0,0,1141,0,1665.4525,3,15,100.0,AAP,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,c9c45009-b35a-4902-84c4-e09867d952a5,"['AAP_AljnBOTz', 'AAP_SilentKnight', 'AAP_CeeJay18', 'AAP_MADDOG']",15,0,0,6042.8778999999995,464.2793510000001,452.25561809539795,1158.25
0,0,2,17.769138,byplayer,0,0,63,0,0,0.0,AAP_SilentKnight,account.008c668f923d4a758c9d50e7fb96223b,0,4522.1006,0,0,0,866,0,1081.4171,3,15,102.00000190734863,AAP,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,c9c45009-b35a-4902-84c4-e09867d952a5,"['AAP_AljnBOTz', 'AAP_SilentKnight', 'AAP_CeeJay18', 'AAP_MADDOG']",15,0,0,6042.8778999999995,464.2793510000001,452.25561809539795,1158.25
0,0,1,383.02417,byplayer,0,0,60,0,0,0.0,AAP_CeeJay18,account.89b426db942140b7bc7459dd539bae1c,0,5684.634,0,0,0,1313,0,1326.8738,4,15,124.39189624786377,AAP,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,c9c45009-b35a-4902-84c4-e09867d952a5,"['AAP_AljnBOTz', 'AAP_SilentKnight', 'AAP_CeeJay18', 'AAP_MADDOG']",15,0,0,6042.8778999999995,464.2793510000001,452.25561809539795,1158.25
0,0,2,41.3919,byplayer,0,0,61,0,0,0.0,AAP_MADDOG,account.2f1e8e20894f4643a34d4a5096b007bf,0,3411.163,0,0,0,1313,0,2073.189,5,15,125.86371994018555,AAP,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,c9c45009-b35a-4902-84c4-e09867d952a5,"['AAP_AljnBOTz', 'AAP_SilentKnight', 'AAP_CeeJay18', 'AAP_MADDOG']",15,0,0,6042.8778999999995,464.2793510000001,452.25561809539795,1158.25
0,0,2,162.0717,byplayer,0,0,65,0,0,0.0,OATH_Kickstart,account.b7f55e9dddd84613863c6dd68aa9e415,0,4368.841,0,0,0,993,0,947.4863,5,16,93.0,OATH,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,14521ac5-9bfb-4466-a729-88a89a5a28e8,"['OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost', 'OATH_Relo']",16,0,0,4781.5509999999995,442.674855,422.0641860961914,876.5
1,0,1,179.53023,byplayer,0,0,66,0,0,0.0,OATH_Snakers,account.924bf338d8fc4b5abb0bef29b622e9bb,0,3868.7273,0,0,0,761,0,607.2131,4,16,129.06418228149414,OATH,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,14521ac5-9bfb-4466-a729-88a89a5a28e8,"['OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost', 'OATH_Relo']",16,0,0,4781.5509999999995,442.674855,422.0641860961914,876.5
0,0,1,20.034,byplayer,0,0,67,0,0,0.0,OATH_Balefrost,account.039c6519067b474a948c19655de4e683,0,4017.127,0,0,0,759,0,721.1115,3,16,100.00000381469727,OATH,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,14521ac5-9bfb-4466-a729-88a89a5a28e8,"['OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost', 'OATH_Relo']",16,0,0,4781.5509999999995,442.674855,422.0641860961914,876.5
1,0,0,81.038925,byplayer,0,0,64,0,0,0.0,OATH_Relo,account.a7e8f8f134334a6d933ee99183e3251f,0,3660.191,0,0,0,993,0,935.5068,3,16,100.0,OATH,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,14521ac5-9bfb-4466-a729-88a89a5a28e8,"['OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost', 'OATH_Relo']",16,0,0,4781.5509999999995,442.674855,422.0641860961914,876.5
3,2,8,570.3611,byplayer,0,10,5,1,3,72.26138,Uniq_Faultlessly,account.bfef3b262d694036b6715b5819e72f4c,2,2029.6908,0,0,0,1744,0,1365.5535,5,5,376.3635730743408,Uniq,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,cb198f7e-fe71-4185-9e81-195e09d324f2,"['Uniq_Faultlessly', 'Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_DaNt3-']",5,8,7,3552.1914875,1824.95591,1305.4816646575928,1539.5
2,2,12,588.27203,byplayer,1,5,6,3,3,70.10244,Uniq_ADOUZ1E,account.99cb628d57514f9a8e5dd941dc0e39d0,0,2655.2688,0,0,0,1744,0,2208.207,8,5,420.16020584106445,Uniq,9a05879d-2d54-4609-ad81-b5b0cfd0f51b,2021-12-02T12:15:32Z,Miramar,1874,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/12/48/2bfa9b64-536e-11ec-9c21-16512f2173af-telemetry.json,cb198f7e-fe71-4185-9e81-195e09d324f2,"['Uniq_Faultlessly', 'Uniq_ADOUZ1E', 'Uniq_Fate', 'Uniq_DaNt3-']",5,8,7,3552.1914875,1824.95591,1305.4816646575928,1539.5
