dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,281.8602,byplayer,0,1,93,0,0,0.0,QM_YIZz,account.504f0803fd5f43b781fd0d25befb82f4,0,3265.1082,0,0,0,1081.253,0,1060.7295,3,12,135.97290897369385,QM,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,724ba595-1bb1-4705-af53-14e74aa49869,"['QM_YIZz', 'QM_L1gEEE', 'QM_JiYy', 'QM_WuFeng']",12,1,1,3461.850285,511.953839,704.5079545974731,1084.7047499999999
0,0,2,88.9345,byplayer,1,1,26,1,1,209.45639,QM_L1gEEE,account.b0779a8c10e448e79cadb18c96cb95fb,0,2025.3807,0,0,0,1131.655,0,1540.3058,5,12,167.56516456604004,QM,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,724ba595-1bb1-4705-af53-14e74aa49869,"['QM_YIZz', 'QM_L1gEEE', 'QM_JiYy', 'QM_WuFeng']",12,1,1,3461.850285,511.953839,704.5079545974731,1084.7047499999999
0,0,3,14.411749,byplayer,0,5,94,0,0,0.0,QM_JiYy,account.c296e2a4ff874441adbbbbd2676682bc,0,2642.1797,0,0,0,994.259,0,888.069,5,12,202.44492149353027,QM,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,724ba595-1bb1-4705-af53-14e74aa49869,"['QM_YIZz', 'QM_L1gEEE', 'QM_JiYy', 'QM_WuFeng']",12,1,1,3461.850285,511.953839,704.5079545974731,1084.7047499999999
0,1,3,126.74739,byzone,0,1,92,0,0,0.0,QM_WuFeng,account.15db845367634349b3c1fabf68685334,0,654.25494,0,0,0,1131.652,0,1771.3733,5,12,198.52495956420898,QM,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,724ba595-1bb1-4705-af53-14e74aa49869,"['QM_YIZz', 'QM_L1gEEE', 'QM_JiYy', 'QM_WuFeng']",12,1,1,3461.850285,511.953839,704.5079545974731,1084.7047499999999
4,3,4,353.90106,byzone,1,3,4,2,4,92.63808,VC_DJboy,account.94c7db5413c04b62825efd90e8f929c3,2,1833.1027,0,0,0,1431.222,1,1529.9688,4,6,257.2588939666748,VC,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,f6bb0649-2fc0-449c-a77d-495b7a5ed56d,"['VC_DJboy', 'VC_Tide', 'VC_DouM', 'VC_Summer']",6,8,6,3900.7083749999997,952.82732,1158.1028060913086,1326.69975
1,1,7,198.80296,byplayer,0,4,18,1,1,15.86237,VC_Tide,account.5a9410be152c4e67814ef6b2c538f729,1,1450.4725,0,0,0,1416.972,0,1770.0167,4,6,348.65828132629395,VC,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,f6bb0649-2fc0-449c-a77d-495b7a5ed56d,"['VC_DJboy', 'VC_Tide', 'VC_DouM', 'VC_Summer']",6,8,6,3900.7083749999997,952.82732,1158.1028060913086,1326.69975
0,1,1,34.1649,byplayer,0,0,80,0,0,0.0,VC_DouM,account.2abb7dd863e14f3d866d1a52f2762c84,0,1983.5853,0,0,0,1041.575,0,1056.9606,5,6,129.32439041137695,VC,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,f6bb0649-2fc0-449c-a77d-495b7a5ed56d,"['VC_DJboy', 'VC_Tide', 'VC_DouM', 'VC_Summer']",6,8,6,3900.7083749999997,952.82732,1158.1028060913086,1326.69975
3,1,3,365.9584,byplayer,0,8,7,1,3,52.87556,VC_Summer,account.23942fdca8ee4998982bbc88318ce1f7,1,4262.9316,0,0,0,1417.03,0,1715.7953,6,6,422.8612403869629,VC,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,f6bb0649-2fc0-449c-a77d-495b7a5ed56d,"['VC_DJboy', 'VC_Tide', 'VC_DouM', 'VC_Summer']",6,8,6,3900.7083749999997,952.82732,1158.1028060913086,1326.69975
3,1,3,527.63855,byplayer,0,4,19,1,1,221.1939,GNS_hwinn,account.451ab4bbe0ee43fcbe5453a4328eca6c,0,2302.4897,0,0,0,1317.357,0,1903.7366,4,7,196.19755363464355,GNS,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,32b04e09-90e2-473e-ae5f-a27f8198a66d,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Pr0phie', 'GNS_Kaymind']",7,3,4,3847.957925,1162.90528,645.1806354522705,1300.4434999999999
1,0,0,348.02377,byzone,0,1,11,1,2,64.95164,GNS_Nerf,account.893cae7bb045475789c133593f9d7cb9,0,2148.1028,0,0,0,1316.212,0,1358.1981,4,7,139.0900001525879,GNS,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,32b04e09-90e2-473e-ae5f-a27f8198a66d,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Pr0phie', 'GNS_Kaymind']",7,3,4,3847.957925,1162.90528,645.1806354522705,1300.4434999999999
0,1,1,85.06178,byplayer,0,1,81,0,0,0.0,GNS_Pr0phie,account.9f97347e7cf6406683f9f0cf1171d022,0,1898.8868,0,0,0,1304.02,0,1935.7416,8,7,141.93848037719727,GNS,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,32b04e09-90e2-473e-ae5f-a27f8198a66d,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Pr0phie', 'GNS_Kaymind']",7,3,4,3847.957925,1162.90528,645.1806354522705,1300.4434999999999
0,2,0,202.18118,byplayer,0,1,82,0,0,0.0,GNS_Kaymind,account.3a01f830d4a24b82926bdc86c4a08c67,0,1795.5184,0,0,0,1264.185,1,2049.1577,4,7,167.9546012878418,GNS,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,32b04e09-90e2-473e-ae5f-a27f8198a66d,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Pr0phie', 'GNS_Kaymind']",7,3,4,3847.957925,1162.90528,645.1806354522705,1300.4434999999999
4,1,4,336.8898,alive,0,3,1,3,4,165.2128,FAZE_mxey,account.a0d997d281784e07b4bc8f99ec1c966f,3,3322.022,0,0,0,1725.313,0,1781.5696,3,1,258.29874992370605,FAZE,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,e7717861-6eb9-4c5b-9987-b228d60ddbd0,"['FAZE_mxey', 'FAZE_Fuzzface', 'FAZE_Aitzy', 'FAZE_ubah']",1,10,5,4232.694625,1091.70202,704.468448638916,1725.313
1,1,3,136.78912,alive,0,1,13,1,1,108.033165,FAZE_Fuzzface,account.65607f0b18354d8a8af9e3332eba2c8e,1,2018.1207,0,0,0,1725.313,0,1425.4418,8,1,150.21216583251953,FAZE,9b720166-209f-4aef-8587-96c2f49c5d12,2019-11-25T01:10:50Z,Miramar,1725,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/01/42/df4b15b1-0f24-11ea-8b2e-0a5864602270-telemetry.json,e7717861-6eb9-4c5b-9987-b228d60ddbd0,"['FAZE_mxey', 'FAZE_Fuzzface', 'FAZE_Aitzy', 'FAZE_ubah']",1,10,5,4232.694625,1091.70202,704.468448638916,1725.313
