dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,6,162.68396,byplayer,0,4,49,0,0,0.0,TMA_CRAZY112,account.39cefaacd918414cb365cefa6d596f8d,1,8009.5786,0,0,0,1184,0,1584.828,5,11,224.6839370727539,TMA,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,909ed4a8-9451-4b74-8450-92dd46606dad,"['TMA_CRAZY112', 'TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_YUPPIE']",11,1,1,8573.3800625,268.767958,843.0963249206543,1089.0
1,0,5,42.58,byplayer,0,4,29,1,1,8.02211,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,0,7037.4995,0,0,0,1184,0,1538.9493,5,11,329.4114418029785,TMA,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,909ed4a8-9451-4b74-8450-92dd46606dad,"['TMA_CRAZY112', 'TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_YUPPIE']",11,1,1,8573.3800625,268.767958,843.0963249206543,1089.0
0,0,5,63.503998,byplayer,0,9,50,0,0,0.0,TMA_Xiaoha1xxxx,account.a66ea3e14f5a4b94a9bd8eeb01e7bc99,0,7734.6157,0,0,0,1166,0,1294.1125,5,11,151.08031272888184,TMA,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,909ed4a8-9451-4b74-8450-92dd46606dad,"['TMA_CRAZY112', 'TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_YUPPIE']",11,1,1,8573.3800625,268.767958,843.0963249206543,1089.0
0,0,2,0.0,byplayer,0,2,51,0,0,0.0,TMA_YUPPIE,account.136f97755ea04150adb72686d5d80398,0,6614.982,0,0,0,822,0,478.95465,4,11,137.92063331604004,TMA,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,909ed4a8-9451-4b74-8450-92dd46606dad,"['TMA_CRAZY112', 'TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_YUPPIE']",11,1,1,8573.3800625,268.767958,843.0963249206543,1089.0
0,0,1,79.18562,byplayer,0,0,41,0,0,0.0,17_shou,account.fbcd9114dda54349be8984db3a56a529,0,1680.3043,0,0,0,648,0,506.4957,3,6,123.58319091796875,17,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,834500ce-3aad-4ca7-b4be-8001037b559e,"['17_shou', '17_xwudd', '17_SuJiu', '17_Lilghost']",6,1,1,3553.744975,354.73879,657.7272758483887,1176.0
1,1,2,91.09901,byplayer,0,1,40,0,0,0.0,17_xwudd,account.be483b1d24c34bce9affba1f346a6679,0,2933.1184,0,0,0,1343,0,938.0108,6,6,181.16898918151855,17,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,834500ce-3aad-4ca7-b4be-8001037b559e,"['17_shou', '17_xwudd', '17_SuJiu', '17_Lilghost']",6,1,1,3553.744975,354.73879,657.7272758483887,1176.0
1,0,3,100.0,byplayer,0,5,23,1,1,197.4848,17_SuJiu,account.6c72b19fa5f84f6d8f057800fcb8c7e4,0,3231.7585,0,0,0,1306,0,1041.5774,5,6,206.07369804382324,17,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,834500ce-3aad-4ca7-b4be-8001037b559e,"['17_shou', '17_xwudd', '17_SuJiu', '17_Lilghost']",6,1,1,3553.744975,354.73879,657.7272758483887,1176.0
0,0,4,84.45416,byplayer,0,2,39,0,0,0.0,17_Lilghost,account.044fdaf796814b68a5be3eb2364d1729,0,2834.3877,0,0,0,1407,0,1049.3271,4,6,146.90139770507812,17,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,834500ce-3aad-4ca7-b4be-8001037b559e,"['17_shou', '17_xwudd', '17_SuJiu', '17_Lilghost']",6,1,1,3553.744975,354.73879,657.7272758483887,1176.0
4,1,5,303.28302,alive,3,2,2,2,4,361.60452,eU_Relo,account.ebd15758ff364ae490ae8d85b9b33c08,1,8955.742,0,0,0,1878,0,1213.4861,4,1,150.26851844787598,eU,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,cf81e8c1-cbe7-41b7-bbd7-6650badd4b96,"['eU_Relo', 'eU_Snakers', 'eU_Kickstart', 'eU_Fludd']",1,8,7,11000.112825,1308.056806,943.6346235275269,1729.5
0,0,3,65.924866,alive,0,2,36,0,0,0.0,eU_Snakers,account.352e546623ae4b2c902068825a5c99af,0,10461.108,0,0,0,1339,0,702.8558,6,1,169.04096221923828,eU,9c201af9-f319-43e7-9bd6-2707a3a00b49,2022-11-19T15:10:08Z,Miramar,1878,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/43/e866d3e6-6820-11ed-a4c3-16512f2173af-telemetry.json,cf81e8c1-cbe7-41b7-bbd7-6650badd4b96,"['eU_Relo', 'eU_Snakers', 'eU_Kickstart', 'eU_Fludd']",1,8,7,11000.112825,1308.056806,943.6346235275269,1729.5
