dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
4,0,2,379.13803,byzone,1,8,9,1,3,197.41937,NAVI_alya,account.324e82760e13456bbffb2c0702c2e945,1,3364.8765,0,0,0,1268,0,1086.4283,5,8,80.12675857543945,NAVI,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,faa04469-fd8e-4130-96d9-d7d38304022d,"['NAVI_alya', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_ubah']",8,7,5,4270.0837,1139.37942,561.8701133728027,1258.75
1,2,4,402.88464,byplayer,1,10,8,2,3,152.4567,NAVI_Mell,account.db97ab142d4748e694dd3fe24222efdb,0,2882.9412,0,0,0,1419,0,2145.1963,6,8,95.48951721191406,NAVI,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,faa04469-fd8e-4130-96d9-d7d38304022d,"['NAVI_alya', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_ubah']",8,7,5,4270.0837,1139.37942,561.8701133728027,1258.75
1,2,1,260.93332,byzone,1,5,24,1,1,8.138923,NAVI_xmpl,account.ba5311c89cd04394938935a9afa23a65,0,2520.3423,0,0,0,1172,0,1032.57,7,8,195.5173511505127,NAVI,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,faa04469-fd8e-4130-96d9-d7d38304022d,"['NAVI_alya', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_ubah']",8,7,5,4270.0837,1139.37942,561.8701133728027,1258.75
0,1,2,96.42343,byplayer,0,1,43,0,0,0.0,NAVI_ubah,account.63bc86b07068499190e11cb0e1e9d516,0,2775.3972,0,0,0,1176,0,1272.583,6,8,190.73648643493652,NAVI,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,faa04469-fd8e-4130-96d9-d7d38304022d,"['NAVI_alya', 'NAVI_Mell', 'NAVI_xmpl', 'NAVI_ubah']",8,7,5,4270.0837,1139.37942,561.8701133728027,1258.75
1,1,7,287.73187,byplayer,0,6,21,1,1,15.988701,KDF_LashK,account.18a578577b6343e0ba02958e7228b680,1,1699.9519,0,0,0,1516,0,1921.0356,6,5,283.41367530822754,KDF,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,6699f7f2-2151-40a8-91b5-01d8e680da19,"['KDF_LashK', 'KDF_Akad', 'KDF_Hikari', 'KDF_EEND']",5,6,5,3865.128725,1341.06863,1379.0681977272034,1520.25
1,0,6,293.55176,byplayer,0,5,12,2,2,34.768017,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,1,1829.3945,0,0,0,1513,0,1795.5803,4,5,300.0918846130371,KDF,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,6699f7f2-2151-40a8-91b5-01d8e680da19,"['KDF_LashK', 'KDF_Akad', 'KDF_Hikari', 'KDF_EEND']",5,6,5,3865.128725,1341.06863,1379.0681977272034,1520.25
1,2,4,371.01477,byplayer,0,6,37,0,0,0.0,KDF_Hikari,account.05e75b5790664e59a518a15e5e0afe8e,1,2003.5312,0,0,0,1526,0,1884.1772,4,5,385.3449559211731,KDF,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,6699f7f2-2151-40a8-91b5-01d8e680da19,"['KDF_LashK', 'KDF_Akad', 'KDF_Hikari', 'KDF_EEND']",5,6,5,3865.128725,1341.06863,1379.0681977272034,1520.25
4,2,5,388.77023,byplayer,1,4,7,1,3,71.61481,KDF_EEND,account.296ae73a09144f949505b831843253ca,0,2548.9111,0,0,0,1526,0,1777.9331,3,5,410.2176818847656,KDF,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,6699f7f2-2151-40a8-91b5-01d8e680da19,"['KDF_LashK', 'KDF_Akad', 'KDF_Hikari', 'KDF_EEND']",5,6,5,3865.128725,1341.06863,1379.0681977272034,1520.25
1,3,4,303.1753,byplayer,0,2,16,1,1,30.652122,DNW_Lambu,account.311a45ffdf0f454eb146bebbf2169573,1,7072.338,0,0,0,1678,0,1935.0222,6,2,266.2649154663086,DNW,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,b1f75558-3b92-43ee-836c-4abba92ed7af,"['DNW_Lambu', 'DNW_HelleN', 'DNW_seoul', 'DNW_Salute']",2,10,6,9149.3175625,1834.979561,953.2352304458618,1457.0
0,0,0,18.012001,byplayer,0,0,35,0,0,0.0,DNW_HelleN,account.5f850d6edddc41259bd1f739cd2ef648,0,7025.9927,0,0,0,794,0,515.41595,5,2,100.00000190734863,DNW,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,b1f75558-3b92-43ee-836c-4abba92ed7af,"['DNW_Lambu', 'DNW_HelleN', 'DNW_seoul', 'DNW_Salute']",2,10,6,9149.3175625,1834.979561,953.2352304458618,1457.0
3,1,6,523.50696,byplayer,2,3,1,4,7,314.542,DNW_seoul,account.43aebbb76237427d838017e09fee0711,1,8331.2,0,0,0,1678,0,2250.1365,8,2,260.0011787414551,DNW,9c42e8dd-b970-4b22-a3cf-5945b2cb4454,2022-11-09T14:24:35Z,Miramar,1678,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/54/6af03d98-603e-11ed-a4c3-16512f2173af-telemetry.json,b1f75558-3b92-43ee-836c-4abba92ed7af,"['DNW_Lambu', 'DNW_HelleN', 'DNW_seoul', 'DNW_Salute']",2,10,6,9149.3175625,1834.979561,953.2352304458618,1457.0
