dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,7,291.5675,byplayer,0,4,26,1,1,17.028215,TSM_Gustav,account.5efb30a2608144a089191bd092f412a5,0,7993.7954,0,0.0,0,1169.277,0,1980.7688,6,9,165.80999755859375,TSM,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,13d175da-fb39-4e40-8488-d1d8d050a5b0,"['TSM_Gustav', 'TSM_mykLe', 'TSM_rawryy', 'TSM_Iroh']",9,4,2,10138.908449999999,811.13068,861.9336223602295,1219.30925
1,2,6,275.40076,byplayer,1,5,27,1,1,176.76347,TSM_mykLe,account.6a94ab85409d45658d2634da39c0f526,0,8853.432,0,0.0,0,1160.825,0,926.5096,5,9,168.17230033874512,TSM,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,13d175da-fb39-4e40-8488-d1d8d050a5b0,"['TSM_Gustav', 'TSM_mykLe', 'TSM_rawryy', 'TSM_Iroh']",9,4,2,10138.908449999999,811.13068,861.9336223602295,1219.30925
1,0,8,109.56768,byplayer,0,5,13,1,2,40.29078,TSM_rawryy,account.6017d51e985f4b37aab42d99e30b2033,1,9139.81,0,0.0,0,1248.547,1,1253.315,4,9,211.81712913513184,TSM,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,13d175da-fb39-4e40-8488-d1d8d050a5b0,"['TSM_Gustav', 'TSM_mykLe', 'TSM_rawryy', 'TSM_Iroh']",9,4,2,10138.908449999999,811.13068,861.9336223602295,1219.30925
1,0,10,134.59474,byplayer,0,7,81,0,0,0.0,TSM_Iroh,account.794aa5d7b0b443949366b8c2bd3efe55,0,8903.862,0,0.0,0,1298.588,0,1504.141,4,9,316.1341953277588,TSM,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,13d175da-fb39-4e40-8488-d1d8d050a5b0,"['TSM_Gustav', 'TSM_mykLe', 'TSM_rawryy', 'TSM_Iroh']",9,4,2,10138.908449999999,811.13068,861.9336223602295,1219.30925
1,1,6,90.512985,byplayer,0,8,28,1,1,36.11787,GG_Miccoy,account.dfc933fadc8b4238988c71db5c1af42a,0,6895.42,0,0.0,0,1289.556,0,1682.254,5,10,557.1913967132568,GG,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,daba5c37-ce8b-428d-82ad-a42885fdf1d6,"['GG_Miccoy', 'GG_DrasseL', 'GG_Vegas', 'GG_Shrimzy']",10,4,2,8764.494424999999,1095.540965,1520.9405155181885,1286.7240000000002
1,1,2,476.01944,byplayer,1,6,30,1,1,131.87303,GG_DrasseL,account.e4620a490a0048c7b4cbd636edd25b47,2,6285.846,0,0.0,0,1289.549,0,1724.1674,5,10,379.3251209259033,GG,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,daba5c37-ce8b-428d-82ad-a42885fdf1d6,"['GG_Miccoy', 'GG_DrasseL', 'GG_Vegas', 'GG_Shrimzy']",10,4,2,8764.494424999999,1095.540965,1520.9405155181885,1286.7240000000002
1,0,6,269.08264,byplayer,0,5,31,1,1,19.332697,GG_Vegas,account.ac2168c46c7b4e0fadc41bd8e09c2342,0,9626.426,0,0.0,0,1278.24,0,1233.7954,3,10,331.45059394836426,GG,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,daba5c37-ce8b-428d-82ad-a42885fdf1d6,"['GG_Miccoy', 'GG_DrasseL', 'GG_Vegas', 'GG_Shrimzy']",10,4,2,8764.494424999999,1095.540965,1520.9405155181885,1286.7240000000002
3,0,3,259.9259,byplayer,0,8,29,1,1,38.344032,GG_Shrimzy,account.a1e308dc5e4a4eab8d0ccc893767bf4a,1,6018.045,0,0.0,0,1289.551,0,1592.0239,5,10,252.97340393066406,GG,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,daba5c37-ce8b-428d-82ad-a42885fdf1d6,"['GG_Miccoy', 'GG_DrasseL', 'GG_Vegas', 'GG_Shrimzy']",10,4,2,8764.494424999999,1095.540965,1520.9405155181885,1286.7240000000002
0,3,4,286.5455,alive,0,5,71,0,0,0.0,QM_WuFeng,account.3b85d17598854a55bdb3e122776bf289,0,4840.717,0,0.0,0,1757.434,0,1891.1947,4,1,204.1769256591797,QM,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,cf0b8faf-08e7-481a-893b-42e9a1196890,"['QM_WuFeng', 'QM_YIZz', 'QM_JiYy', 'QM_L1gEEE']",1,6,9,7062.65845,1386.5934399999999,939.2455558776855,1757.434
2,2,4,339.32547,alive,0,5,2,1,4,72.36679,QM_YIZz,account.1482f3e014424c27b75fbd8d420cdb2c,0,4959.376,0,0.0,0,1757.434,0,1529.7775,5,1,188.26648902893066,QM,9c491919-1d52-4823-9905-7d04e7768b4d,2019-11-18T01:39:58Z,Erangel,1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/02/10/a39fbb93-09a8-11ea-bc7c-0a586469e7d8-telemetry.json,cf0b8faf-08e7-481a-893b-42e9a1196890,"['QM_WuFeng', 'QM_YIZz', 'QM_JiYy', 'QM_L1gEEE']",1,6,9,7062.65845,1386.5934399999999,939.2455558776855,1757.434
