dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,2,7,404.17084,alive,0,1,8,1,2,170.24518,eU_Relo,account.ebd15758ff364ae490ae8d85b9b33c08,1,3656.8586,0,0.0,0,1669,0,2144.3076,4,1,130.46082496643066,eU,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,0173f259-a34d-4a6f-91a0-3c62198bc3e6,"['eU_Relo', 'eU_Fludd', 'eU_Kickstart', 'eU_Snakers']",1,7,3,5562.157982999999,1595.12781,536.0484428405762,1669.0
1,0,3,405.77954,alive,1,1,9,1,2,162.63965,eU_Fludd,account.ce4a08811bee48a2a75851fe6545df8c,0,3835.142,0,38.443066,0,1669,0,1805.937,3,1,82.44702911376953,eU,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,0173f259-a34d-4a6f-91a0-3c62198bc3e6,"['eU_Relo', 'eU_Fludd', 'eU_Kickstart', 'eU_Snakers']",1,7,3,5562.157982999999,1595.12781,536.0484428405762,1669.0
1,0,3,412.91333,alive,0,5,10,1,2,149.97047,eU_Kickstart,account.6a886e58e2ea4c6e9f0092fbc3a4de9b,0,2926.0957,0,101.653366,0,1669,0,2021.9215,4,1,203.5421485900879,eU,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,0173f259-a34d-4a6f-91a0-3c62198bc3e6,"['eU_Relo', 'eU_Fludd', 'eU_Kickstart', 'eU_Snakers']",1,7,3,5562.157982999999,1595.12781,536.0484428405762,1669.0
1,1,6,372.2641,alive,0,3,13,1,1,35.039837,eU_Snakers,account.352e546623ae4b2c902068825a5c99af,0,4158.2285,0,0.0,0,1669,0,1560.0446,5,1,119.59844017028809,eU,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,0173f259-a34d-4a6f-91a0-3c62198bc3e6,"['eU_Relo', 'eU_Fludd', 'eU_Kickstart', 'eU_Snakers']",1,7,3,5562.157982999999,1595.12781,536.0484428405762,1669.0
1,0,1,53.46,byplayer,1,1,21,1,1,36.150135,CES_Taikonn,account.89d7fbb673264d988c0726054fb021a2,0,7175.334,0,0.0,0,869,0,933.6893,4,8,135.30695343017578,CES,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,0d5131f1-5d32-4084-bdb4-e7acb1d0c9f6,"['CES_Taikonn', 'CES_HaiSaki', 'CES_Himass', 'CES_Sololzy']",8,2,1,7349.08065,263.32182,661.8976249694824,954.5
0,0,0,0.0,byplayer,0,0,45,0,0,0.0,CES_HaiSaki,account.513a778d5f1049be8115ff55a6f6a97b,0,3735.7175,0,0.0,0,848,0,1385.1349,8,8,100.0,CES,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,0d5131f1-5d32-4084-bdb4-e7acb1d0c9f6,"['CES_Taikonn', 'CES_HaiSaki', 'CES_Himass', 'CES_Sololzy']",8,2,1,7349.08065,263.32182,661.8976249694824,954.5
0,1,0,45.54,byplayer,0,0,44,0,0,0.0,CES_Himass,account.14d7d7472027408faffd2848885ad89e,0,6788.3223,0,0.0,0,855,0,844.5876,6,8,100.0,CES,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,0d5131f1-5d32-4084-bdb4-e7acb1d0c9f6,"['CES_Taikonn', 'CES_HaiSaki', 'CES_Himass', 'CES_Sololzy']",8,2,1,7349.08065,263.32182,661.8976249694824,954.5
0,0,4,164.32182,byplayer,0,4,20,1,1,9.72032,CES_Sololzy,account.00ea83d7b05b405fb7714d20b0d73228,0,7448.2285,0,0.0,0,1246,0,1085.3085,5,8,326.59067153930664,CES,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,0d5131f1-5d32-4084-bdb4-e7acb1d0c9f6,"['CES_Taikonn', 'CES_HaiSaki', 'CES_Himass', 'CES_Sololzy']",8,2,1,7349.08065,263.32182,661.8976249694824,954.5
0,0,0,28.810072,byplayer,0,0,57,0,0,0.0,DNW_HelleN,account.5f850d6edddc41259bd1f739cd2ef648,2,724.177,0,0.0,0,934,0,917.1961,5,12,99.99999809265137,DNW,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,a8c551c6-44d0-46ce-8c34-4828961b7a5b,"['DNW_HelleN', 'DNW_Lambu', 'DNW_Salute', 'DNW_seoul']",12,1,1,2785.03525,522.2880719999999,652.4751815795898,947.0
0,0,1,140.24864,byplayer,0,1,55,0,0,0.0,DNW_Lambu,account.311a45ffdf0f454eb146bebbf2169573,0,1695.027,0,0.0,0,973,0,1401.9309,4,12,126.4729413986206,DNW,9eb97b74-5919-4719-b3ce-74f5de5e8c7d,2022-11-09T15:42:53Z,Erangel (Remastered),1669,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/16/12/55d7d675-6049-11ed-a4c3-16512f2173af-telemetry.json,a8c551c6-44d0-46ce-8c34-4828961b7a5b,"['DNW_HelleN', 'DNW_Lambu', 'DNW_Salute', 'DNW_seoul']",12,1,1,2785.03525,522.2880719999999,652.4751815795898,947.0
