dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,3,323.8559,byplayer,0,7,39,0,0,0.0,MaD_EEND,account.de5b3ad505c44295b5445017fa5c11ff,0,4254.6055,0,0.0,0,1343,0,900.32697,2,7,310.5985679626465,MaD,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,e6bfe512-da46-429f-94b5-e478805d1c0a,"['MaD_EEND', 'MaD_DAEVA', 'MaD_2tap', 'MaD_Lash']",7,1,2,4542.324705,981.5559959999999,615.1408729553223,1079.5
3,1,0,546.5681,byplayer,0,0,20,1,1,101.80187,MaD_DAEVA,account.2b65056034e6433aa65f77450109cbde,1,5329.2373,0,0.0,0,1343,1,566.06476,3,7,90.0,MaD,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,e6bfe512-da46-429f-94b5-e478805d1c0a,"['MaD_EEND', 'MaD_DAEVA', 'MaD_2tap', 'MaD_Lash']",7,1,2,4542.324705,981.5559959999999,615.1408729553223,1079.5
0,0,0,0.0,byplayer,0,0,41,0,0,0.0,MaD_2tap,account.ac0df3688a404880b8f494567aa512fa,0,1757.3497,0,0.0,0,300,0,221.02309,2,7,91.80425262451172,MaD,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,e6bfe512-da46-429f-94b5-e478805d1c0a,"['MaD_EEND', 'MaD_DAEVA', 'MaD_2tap', 'MaD_Lash']",7,1,2,4542.324705,981.5559959999999,615.1408729553223,1079.5
0,1,4,111.131996,byplayer,0,0,40,0,0,0.0,MaD_Lash,account.838e89bc7d184ced83ca824671cd2414,0,4542.9487,0,0.0,0,1332,0,597.7428,5,7,122.73805236816406,MaD,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,e6bfe512-da46-429f-94b5-e478805d1c0a,"['MaD_EEND', 'MaD_DAEVA', 'MaD_2tap', 'MaD_Lash']",7,1,2,4542.324705,981.5559959999999,615.1408729553223,1079.5
2,1,8,294.11203,byplayer,0,6,14,1,1,103.63571,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,4184.3423,0,107.34709,0,1755,1,1700.8768,5,3,278.64150619506836,GBL,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,2d57f4eb-be80-4048-ab19-ebb27a32c524,"['GBL_Adder', 'GBL_Spear', 'GBL_Lambu', 'GBL_Renba']",3,4,3,6181.291487500001,1143.75693,901.3722629547119,1750.5
1,0,3,207.99208,byplayer,0,0,15,1,1,58.614513,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,0,5425.391,0,0.0,0,1719,0,1501.768,5,3,100.0,GBL,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,2d57f4eb-be80-4048-ab19-ebb27a32c524,"['GBL_Adder', 'GBL_Spear', 'GBL_Lambu', 'GBL_Renba']",3,4,3,6181.291487500001,1143.75693,901.3722629547119,1750.5
1,1,4,413.76474,byplayer,0,2,13,1,1,54.325573,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,3421.123,0,125.23626,0,1763,0,2480.0728,4,3,282.6529235839844,GBL,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,2d57f4eb-be80-4048-ab19-ebb27a32c524,"['GBL_Adder', 'GBL_Spear', 'GBL_Lambu', 'GBL_Renba']",3,4,3,6181.291487500001,1143.75693,901.3722629547119,1750.5
1,1,2,227.88808,byplayer,0,2,12,1,1,130.66434,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,0,4328.286,0,0.0,0,1765,1,1450.7227,5,3,240.07783317565918,GBL,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,2d57f4eb-be80-4048-ab19-ebb27a32c524,"['GBL_Adder', 'GBL_Spear', 'GBL_Lambu', 'GBL_Renba']",3,4,3,6181.291487500001,1143.75693,901.3722629547119,1750.5
0,1,5,76.75499,byplayer,0,0,59,0,0,0.0,GNL_Heaven,account.cd465904d99b4669a9e43f368d7c0e71,0,4337.4355,0,0.0,0,1085,0,873.6359,7,14,105.0,GNL,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,07bf4c59-8ada-48a7-9995-e65612821d60,"['GNL_Heaven', 'GNL_Tosi', 'GNL_Corn', 'GNL_Americano']",14,2,1,5033.434925,490.15601499999997,621.8062400817871,1088.75
1,0,5,23.24501,byplayer,0,3,29,1,1,60.781044,GNL_Tosi,account.0fed1c0f03eb4b2d84a90eae6c2360cc,0,3233.1833,0,0.0,0,1066,0,1364.0524,5,14,201.99999809265137,GNL,9efb45e1-97b5-4bca-914e-1feef3f86ead,2021-12-07T13:30:00Z,Erangel (Remastered),1875,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/14/03/66f77760-5766-11ec-9c21-16512f2173af-telemetry.json,07bf4c59-8ada-48a7-9995-e65612821d60,"['GNL_Heaven', 'GNL_Tosi', 'GNL_Corn', 'GNL_Americano']",14,2,1,5033.434925,490.15601499999997,621.8062400817871,1088.75
