dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,1,7,563.7661,byplayer,2,2,6,2,3,170.72511,CES_Himass,account.63a01db1cd0b4fbfb6db7a0d2cffa8ea,1,5392.4463,0,0,0,1764,0,2268.0586,3,3,286.411452293396,CES,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,408f424f-1d9d-4e6e-8c17-8ead4d2b8bcf,"['CES_Himass', 'CES_Taikonn', 'CES_HaiSaki', 'CES_YmCud']",3,4,4,7194.659575,1102.27519,1141.6159734725952,1624.5
2,1,7,272.4537,byplayer,0,3,17,1,1,29.871372,CES_Taikonn,account.b8aecbc4f6494171ad142e6953e4a7d1,0,5214.8237,0,0,0,1764,0,1869.5713,3,3,333.55806159973145,CES,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,408f424f-1d9d-4e6e-8c17-8ead4d2b8bcf,"['CES_Himass', 'CES_Taikonn', 'CES_HaiSaki', 'CES_YmCud']",3,4,4,7194.659575,1102.27519,1141.6159734725952,1624.5
0,0,5,67.9575,byplayer,0,3,30,0,0,0.0,CES_HaiSaki,account.51b6c611c3074b92931900b75d6e8701,0,4648.9414,0,0,0,1487,0,2584.9482,6,3,301.1118640899658,CES,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,408f424f-1d9d-4e6e-8c17-8ead4d2b8bcf,"['CES_Himass', 'CES_Taikonn', 'CES_HaiSaki', 'CES_YmCud']",3,4,4,7194.659575,1102.27519,1141.6159734725952,1624.5
3,2,3,198.09789,byplayer,0,3,31,0,0,0.0,CES_YmCud,account.dc0f644cf7e34fb7adf9fb0d92027e27,0,5386.8174,0,0,0,1483,0,1413.0314,5,3,220.53459548950195,CES,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,408f424f-1d9d-4e6e-8c17-8ead4d2b8bcf,"['CES_Himass', 'CES_Taikonn', 'CES_HaiSaki', 'CES_YmCud']",3,4,4,7194.659575,1102.27519,1141.6159734725952,1624.5
0,0,2,53.658447,byplayer,0,3,37,0,0,0.0,T5_Excrozit,account.ad7bd03da780439cac19cb11bba33265,0,6029.3667,0,0,0,1498,0,1365.4414,2,7,210.48075675964355,T5,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,258e072f-b8b0-41a1-81ee-aa61646c1469,"['T5_Excrozit', 'T5_RangerX', 'T5_Pathompong', 'T5_RossitedJR']",7,1,0,7819.379475,428.05570300000005,688.391637802124,1415.5
1,0,3,297.14798,byplayer,0,0,21,1,1,73.88367,T5_RangerX,account.91a99cc95da940c6a431168fe93ce350,1,6654.471,0,0,0,1498,0,1152.6516,2,7,104.0,T5,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,258e072f-b8b0-41a1-81ee-aa61646c1469,"['T5_Excrozit', 'T5_RangerX', 'T5_Pathompong', 'T5_RossitedJR']",7,1,0,7819.379475,428.05570300000005,688.391637802124,1415.5
0,0,2,66.1755,byplayer,0,2,38,0,0,0.0,T5_Pathompong,account.6784f447ca684c5fbd0946e9d7f48879,1,7287.3677,0,0,0,1397,0,1352.2251,4,7,163.91088104248047,T5,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,258e072f-b8b0-41a1-81ee-aa61646c1469,"['T5_Excrozit', 'T5_RangerX', 'T5_Pathompong', 'T5_RossitedJR']",7,1,0,7819.379475,428.05570300000005,688.391637802124,1415.5
0,0,1,11.073776,byplayer,0,1,39,0,0,0.0,T5_RossitedJR,account.a340fd345f7440acaaa4499ff4b05fc0,0,5687.8794,0,0,0,1269,0,1748.115,3,7,210.0,T5,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,258e072f-b8b0-41a1-81ee-aa61646c1469,"['T5_Excrozit', 'T5_RangerX', 'T5_Pathompong', 'T5_RossitedJR']",7,1,0,7819.379475,428.05570300000005,688.391637802124,1415.5
0,0,5,79.97002,byplayer,0,8,27,1,1,88.28933,SQ_TGLTN,account.5dd0957584e9439996c8970ff5d8e465,0,3230.5457,0,0,0,1076,0,923.3551,10,14,84.0,SQ,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,f239bee1-a54c-408a-b0c9-b68771c11220,"['SQ_TGLTN', 'SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn']",14,1,0,2243.87748,162.402096,458.9855709075928,732.0
0,0,2,0.0,byplayer,0,0,57,0,0,0.0,SQ_M1ME,account.90dfc6b7bffa4208a5e170d728aaa96c,0,0.0,0,0,0,388,0,408.78876,2,14,130.54557418823242,SQ,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,f239bee1-a54c-408a-b0c9-b68771c11220,"['SQ_TGLTN', 'SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn']",14,1,0,2243.87748,162.402096,458.9855709075928,732.0
0,0,3,0.0,byplayer,0,23,55,0,0,0.0,SQ_Shrimzy,account.6b78ae338da344bea26d6dd25188f95d,0,3393.397,0,0,0,1076,0,746.1932,6,14,144.44000053405762,SQ,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,f239bee1-a54c-408a-b0c9-b68771c11220,"['SQ_TGLTN', 'SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn']",14,1,0,2243.87748,162.402096,458.9855709075928,732.0
0,0,0,82.432076,byplayer,0,0,56,0,0,0.0,SQ_hwinn,account.c2666a64a02b4ccb99ec671c672d722c,0,0.0,0,0,0,388,0,273.23016,4,14,99.99999618530273,SQ,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,f239bee1-a54c-408a-b0c9-b68771c11220,"['SQ_TGLTN', 'SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn']",14,1,0,2243.87748,162.402096,458.9855709075928,732.0
0,0,7,128.07869,byplayer,0,1,34,0,0,0.0,BGP_2heart,account.18d7436f0708443596846fbd089335d6,0,6903.9263,0,0,0,1619,0,1397.3734,4,6,226.18280029296875,BGP,9faeb04d-920b-493b-b87c-0740fd9320e2,2022-11-01T14:55:39Z,Erangel (Remastered),1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/15/27/a6c4e550-59f9-11ed-a4c3-16512f2173af-telemetry.json,40cae3d9-c017-4665-9da1-5fc330ce37bc,"['BGP_2heart', 'BGP_DG98', 'BGP_Seongjang', 'BGP_Pio']",6,1,0,8752.221399999999,326.23636999999997,1117.5073280334473,1485.25
