dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,293.39798,byplayer,0,0,41,0,0,0.0,YAHO_Balefrost,account.160f42b27b98487ab02faad039c1cfe1,0,2317.4175,0,0,0,1224,0,1043.5775,5,7,87.23400115966797,YAHO,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,fad8e771-5e87-4fb9-bee5-affc84e0587d,"['YAHO_Balefrost', 'YAHO_sparkingg', 'YAHO_Shinboi', 'YAHO_Poonage']",7,3,1,3835.1537000000003,655.044597,670.1902866363525,1333.0
1,0,5,113.047264,byplayer,0,2,24,1,1,259.55026,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,0,2234.1204,0,0,0,1454,1,1326.9751,7,7,171.91269493103027,YAHO,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,fad8e771-5e87-4fb9-bee5-affc84e0587d,"['YAHO_Balefrost', 'YAHO_sparkingg', 'YAHO_Shinboi', 'YAHO_Poonage']",7,3,1,3835.1537000000003,655.044597,670.1902866363525,1333.0
1,1,7,228.87779,byplayer,0,5,23,1,1,189.83232,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,0,3847.6404,0,0,0,1490,0,1503.3397,6,7,288.0435905456543,YAHO,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,fad8e771-5e87-4fb9-bee5-affc84e0587d,"['YAHO_Balefrost', 'YAHO_sparkingg', 'YAHO_Shinboi', 'YAHO_Poonage']",7,3,1,3835.1537000000003,655.044597,670.1902866363525,1333.0
1,0,1,19.721563,byplayer,1,0,25,1,1,420.49973,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,0,1968.8063,0,0,0,1164,0,1098.7379,8,7,123.0,YAHO,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,fad8e771-5e87-4fb9-bee5-affc84e0587d,"['YAHO_Balefrost', 'YAHO_sparkingg', 'YAHO_Shinboi', 'YAHO_Poonage']",7,3,1,3835.1537000000003,655.044597,670.1902866363525,1333.0
0,0,5,102.0,byplayer,1,5,30,1,1,22.836708,BBL_Thenderlost,account.0c88b10551c14f3fad02786af1ab8cc2,0,8214.535,0,0,0,1249,0,826.32,5,11,399.33760261535645,BBL,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,631c6eae-1a43-42b3-a9d4-053fc12980aa,"['BBL_Thenderlost', 'BBL_CodeMarco', 'BBL_Quetpa', 'BBL_Smash']",11,2,2,8164.078199999999,633.25868,1429.3977870941162,1189.5
0,0,3,87.45958,byplayer,0,1,48,0,0,0.0,BBL_CodeMarco,account.b453a89678f34317ae55a50694dd77e0,1,6926.179,0,0,0,1067,0,1036.0692,6,11,178.69977569580078,BBL,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,631c6eae-1a43-42b3-a9d4-053fc12980aa,"['BBL_Thenderlost', 'BBL_CodeMarco', 'BBL_Quetpa', 'BBL_Smash']",11,2,2,8164.078199999999,633.25868,1429.3977870941162,1189.5
2,2,6,331.22705,byplayer,1,10,31,1,1,1.4317508,BBL_Quetpa,account.2a0e08b9ccc648e1807fd6a5d86eeff4,0,6533.3955,0,0,0,1249,0,1402.3348,5,11,512.9108428955078,BBL,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,631c6eae-1a43-42b3-a9d4-053fc12980aa,"['BBL_Thenderlost', 'BBL_CodeMarco', 'BBL_Quetpa', 'BBL_Smash']",11,2,2,8164.078199999999,633.25868,1429.3977870941162,1189.5
1,0,3,112.57205,byplayer,0,4,47,0,0,0.0,BBL_Smash,account.5bb7f810cda845ca9e1954822bd7180d,0,6779.5513,0,0,0,1193,0,937.928,4,11,338.4495658874512,BBL,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,631c6eae-1a43-42b3-a9d4-053fc12980aa,"['BBL_Thenderlost', 'BBL_CodeMarco', 'BBL_Quetpa', 'BBL_Smash']",11,2,2,8164.078199999999,633.25868,1429.3977870941162,1189.5
1,0,1,153.6,byplayer,1,2,28,1,1,19.95078,TYL_Jiaoyang,account.bd0f0d40630d421f9904131b4a29b3b2,0,2306.3232,0,0,0,1295,0,1159.6936,6,9,167.67363166809082,TYL,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,958d9b0c-3822-44bc-81a4-64deb804892e,"['TYL_Jiaoyang', 'TYL_SIA', 'TYL_CC108', 'TYL_xTongzz']",9,4,3,3346.2491849999997,795.0525,496.2494812011719,1291.0
0,0,2,186.37456,byplayer,0,0,44,0,0,0.0,TYL_SIA,account.43c63f63e79442929739835d55c7bcfd,0,2024.1865,0,0,0,1295,0,1205.0981,5,9,95.32133483886719,TYL,a0f77375-1d04-4622-aceb-91b6155e69dd,2022-11-09T13:40:52Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/09/14/11/6f5d3543-6038-11ed-a4c3-16512f2173af-telemetry.json,958d9b0c-3822-44bc-81a4-64deb804892e,"['TYL_Jiaoyang', 'TYL_SIA', 'TYL_CC108', 'TYL_xTongzz']",9,4,3,3346.2491849999997,795.0525,496.2494812011719,1291.0
