dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,0,54.03035,byplayer,1,1,13,2,2,19.007088,KPI_SzylzEN,account.934939055fa541f2a18383a0908166ee,0,8544.465,0,0,0,1163,0,936.48755,4,10,172.9919719696045,KPI,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,31a78362-b0f9-4afe-a019-c35a1ffa339b,"['KPI_SzylzEN', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_Capitan']",10,3,1,8982.0853125,376.43000500000005,646.7800569534302,1051.5
1,0,3,233.74004,byplayer,0,2,27,1,1,7.621126,KPI_Em1hh,account.f8ab36983e5b45fab39d06d49990728c,0,8648.725,0,0,0,1197,0,681.67084,6,10,222.9520206451416,KPI,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,31a78362-b0f9-4afe-a019-c35a1ffa339b,"['KPI_SzylzEN', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_Capitan']",10,3,1,8982.0853125,376.43000500000005,646.7800569534302,1051.5
0,1,2,88.659615,byplayer,0,2,49,0,0,0.0,KPI_Dr4FTk1NG,account.a459daaf69b44d6c891e4a2dc1554f04,0,7687.101,0,0,0,1175,0,891.2452,4,10,150.83606433868408,KPI,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,31a78362-b0f9-4afe-a019-c35a1ffa339b,"['KPI_SzylzEN', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_Capitan']",10,3,1,8982.0853125,376.43000500000005,646.7800569534302,1051.5
0,0,1,0.0,byplayer,0,0,50,0,0,0.0,KPI_Capitan,account.41ed8d4ced7a425983957dc8945af089,0,7876.0996,0,0,0,671,0,662.54706,6,10,100.0,KPI,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,31a78362-b0f9-4afe-a019-c35a1ffa339b,"['KPI_SzylzEN', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_Capitan']",10,3,1,8982.0853125,376.43000500000005,646.7800569534302,1051.5
0,0,0,21.574274,byplayer,0,0,48,0,0,0.0,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,3015.057,0,0,0,1273,0,1085.6527,8,9,99.99999809265137,TSM,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,9a44b76e-fb06-4993-b0d7-7487c8e9bad8,"['TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW']",9,5,1,4646.40905,736.096784,612.3802351951599,1279.75
1,0,0,255.17296,byplayer,0,0,26,1,1,136.94379,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,3647.8274,0,0,0,1288,0,872.1225,5,9,100.00000238418579,TSM,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,9a44b76e-fb06-4993-b0d7-7487c8e9bad8,"['TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW']",9,5,1,4646.40905,736.096784,612.3802351951599,1279.75
1,1,4,309.05203,byplayer,1,3,11,1,2,58.620426,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,2995.647,0,0,0,1294,1,1718.0194,5,9,224.79426193237305,TSM,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,9a44b76e-fb06-4993-b0d7-7487c8e9bad8,"['TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW']",9,5,1,4646.40905,736.096784,612.3802351951599,1279.75
2,0,5,150.29752,byplayer,0,2,12,2,2,64.106316,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,4059.1082,0,0,0,1264,1,1192.202,4,9,187.5859727859497,TSM,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,9a44b76e-fb06-4993-b0d7-7487c8e9bad8,"['TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW']",9,5,1,4646.40905,736.096784,612.3802351951599,1279.75
0,0,3,80.399994,byplayer,0,0,53,0,0,0.0,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,9244.249,0,0,0,1150,0,749.3596,5,11,100.0,GEN,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,5feb7147-41df-4d94-b932-884a2edccb19,"['GEN_Asura', 'GEN_Esther', 'GEN_Inonix', 'GEN_Pio']",11,1,0,8886.851825,357.10477499999996,427.0,1150.0
0,0,3,49.702496,byplayer,0,0,52,0,0,0.0,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,0,9464.64,0,0,0,1150,0,571.3832,6,11,100.0,GEN,a20978c5-2854-422b-ad2b-48d193a3e23b,2021-12-19T12:52:02Z,Miramar,1781,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/13/23/dee50f2f-60ce-11ec-9c21-16512f2173af-telemetry.json,5feb7147-41df-4d94-b932-884a2edccb19,"['GEN_Asura', 'GEN_Esther', 'GEN_Inonix', 'GEN_Pio']",11,1,0,8886.851825,357.10477499999996,427.0,1150.0
