dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,2,8,292.26312,byplayer,2,6,4,2,4,70.18951,GEX_ZhenNan,account.00b80af7b33645059af2c2bd4d48f23d,1,3210.7407,0,0,0,1494,0,1379.189,3,3,417.2866516113281,GEX,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,bf625bb4-d17a-464a-a034-33bb3f655613,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR', 'GEX_Savior']",3,16,6,4486.720775,1548.80865,1533.8450050354004,1544.5
1,1,3,153.96808,byplayer,0,3,16,1,1,185.7952,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,1,2947.4004,0,0,0,1305,0,1291.4364,4,3,173.5389633178711,GEX,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,bf625bb4-d17a-464a-a034-33bb3f655613,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR', 'GEX_Savior']",3,16,6,4486.720775,1548.80865,1533.8450050354004,1544.5
2,1,8,337.77075,byplayer,1,3,6,1,3,40.88122,GEX_SSR,account.a9a531fed8754fe683f24727a0cd77c3,2,3658.4824,0,0,0,1688,0,1343.2375,2,3,428.88103103637695,GEX,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,bf625bb4-d17a-464a-a034-33bb3f655613,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR', 'GEX_Savior']",3,16,6,4486.720775,1548.80865,1533.8450050354004,1544.5
6,2,11,764.8067,byplayer,3,5,1,2,8,308.30145,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,0,2436.7905,0,0,0,1691,0,1679.6062,5,3,514.1383590698242,GEX,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,bf625bb4-d17a-464a-a034-33bb3f655613,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR', 'GEX_Savior']",3,16,6,4486.720775,1548.80865,1533.8450050354004,1544.5
4,1,5,809.5009,byplayer,0,9,19,1,1,158.98476,MaD_EEND,account.de5b3ad505c44295b5445017fa5c11ff,1,4474.927,0,0,0,1523,0,1023.4214,4,5,436.1657772064209,MaD,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,6a6259c8-d8fd-4b48-bd4f-1e2a37cc301c,"['MaD_EEND', 'MaD_Lash', 'MaD_2tap', 'MaD_DAEVA']",5,1,3,4754.01196,1162.77284,1010.7705764770508,1281.75
0,0,1,97.88223,byplayer,0,2,33,0,0,0.0,MaD_Lash,account.838e89bc7d184ced83ca824671cd2414,0,3989.7983,0,0,0,1211,0,973.79974,5,5,218.8927173614502,MaD,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,6a6259c8-d8fd-4b48-bd4f-1e2a37cc301c,"['MaD_EEND', 'MaD_Lash', 'MaD_2tap', 'MaD_DAEVA']",5,1,3,4754.01196,1162.77284,1010.7705764770508,1281.75
0,1,5,94.47925,byplayer,0,1,35,0,0,0.0,MaD_2tap,account.ac0df3688a404880b8f494567aa512fa,0,3586.7441,0,0,0,1196,0,910.8942,4,5,222.0,MaD,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,6a6259c8-d8fd-4b48-bd4f-1e2a37cc301c,"['MaD_EEND', 'MaD_Lash', 'MaD_2tap', 'MaD_DAEVA']",5,1,3,4754.01196,1162.77284,1010.7705764770508,1281.75
0,1,1,160.91046,byplayer,0,1,34,0,0,0.0,MaD_DAEVA,account.2b65056034e6433aa65f77450109cbde,0,3244.2903,0,0,0,1197,0,812.1728,5,5,133.7120819091797,MaD,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,6a6259c8-d8fd-4b48-bd4f-1e2a37cc301c,"['MaD_EEND', 'MaD_Lash', 'MaD_2tap', 'MaD_DAEVA']",5,1,3,4754.01196,1162.77284,1010.7705764770508,1281.75
1,1,0,156.77446,byplayer,0,0,25,1,1,57.58331,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,0,6218.6177,0,0,0,1208,0,1529.6876,6,12,100.0,HERO,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,080fc430-ca2d-46f2-a7a5-764cda0d7b7e,"['HERO_PaG3', 'HERO_TeaBone', 'HERO_curexi', 'HERO_Beami']",12,5,2,7529.9753075,774.6730299999999,428.57917976379395,1178.0
2,0,0,383.43317,byplayer,2,0,13,2,2,135.12032,HERO_TeaBone,account.b32ca34bce66479998f828724b99aabe,0,6641.9683,0,0,0,1179,0,838.46783,4,12,100.0,HERO,a4605997-0cea-4f39-8767-9adcaf5d57bf,2021-12-04T11:43:26Z,Erangel (Remastered),1703,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/13/9e81b279-54fb-11ec-9c21-16512f2173af-telemetry.json,080fc430-ca2d-46f2-a7a5-764cda0d7b7e,"['HERO_PaG3', 'HERO_TeaBone', 'HERO_curexi', 'HERO_Beami']",12,5,2,7529.9753075,774.6730299999999,428.57917976379395,1178.0
