dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,0,87.79273,byplayer,0,0,52,0,0,0.0,DD_yacha,account.11327cec8be2400ca8dfb0d91016b391,0,6015.95752,0,0,0,1028.323,0,1166.546,6,5,52.251468658447266,DD,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,9391aa37-d4d8-49cd-8fc4-54f7519c575b,"['DD_yacha', 'DD_CheongGak', 'DD_C4tch', 'DD_Inonix']",5,4,2,7922.1003475,431.7870151,655.0949363708496,1159.2985
1,0,4,38.4756851,byplayer,0,0,22,1,1,68.7336349,DD_CheongGak,account.6654f58b8dc14db3b232e6d6577abad6,0,6756.69043,0,0,0,1028.327,0,760.0636,4,5,101.64321708679199,DD,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,9391aa37-d4d8-49cd-8fc4-54f7519c575b,"['DD_yacha', 'DD_CheongGak', 'DD_C4tch', 'DD_Inonix']",5,4,2,7922.1003475,431.7870151,655.0949363708496,1159.2985
0,0,2,33.39,byplayer,0,2,51,0,0,0.0,DD_C4tch,account.f9ab8b8f814b4f7f849b8aba3b1660ae,0,7349.95264,0,0,0,1049.125,1,761.9049,5,5,268.7769241333008,DD,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,9391aa37-d4d8-49cd-8fc4-54f7519c575b,"['DD_yacha', 'DD_CheongGak', 'DD_C4tch', 'DD_Inonix']",5,4,2,7922.1003475,431.7870151,655.0949363708496,1159.2985
0,1,6,272.1286,byplayer,0,1,5,2,3,446.7174,DD_Inonix,account.46169411577b4864b8326cba1f353b7e,0,7457.9873,0,0,0,1531.419,0,1419.299,3,5,232.42332649230957,DD,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,9391aa37-d4d8-49cd-8fc4-54f7519c575b,"['DD_yacha', 'DD_CheongGak', 'DD_C4tch', 'DD_Inonix']",5,4,2,7922.1003475,431.7870151,655.0949363708496,1159.2985
0,0,0,0.0,byplayer,0,0,55,0,0,0.0,LVG_VINO,account.a07879e0818942bf8ba0d1d7bda8db62,0,1024.9303,0,0,0,351.596,0,361.4926,4,6,100.00000190734863,LVG,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,20300f78-8f3b-45e1-b42b-b1bac128d192,"['LVG_VINO', 'LVG_Rain1ng', 'LVG_NOZ', 'LVG_CRANK']",6,1,1,2703.4332700000004,402.194283,821.3228206634521,1217.2845
0,0,5,161.461044,byplayer,0,1,54,0,0,0.0,LVG_Rain1ng,account.912d5cd956dc477eb25638aa0297b1a6,0,2252.964,0,0,0,1502.477,0,1586.54309,7,6,206.8968677520752,LVG,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,20300f78-8f3b-45e1-b42b-b1bac128d192,"['LVG_VINO', 'LVG_Rain1ng', 'LVG_NOZ', 'LVG_CRANK']",6,1,1,2703.4332700000004,402.194283,821.3228206634521,1217.2845
0,1,4,124.755486,byplayer,0,2,53,0,0,0.0,LVG_NOZ,account.ec3e76fab58e414597001fe698a4edee,0,0.0,0,0,0,1506.043,0,2347.24048,4,6,231.5619888305664,LVG,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,20300f78-8f3b-45e1-b42b-b1bac128d192,"['LVG_VINO', 'LVG_Rain1ng', 'LVG_NOZ', 'LVG_CRANK']",6,1,1,2703.4332700000004,402.194283,821.3228206634521,1217.2845
2,0,4,115.977753,byplayer,0,2,23,1,1,41.57068,LVG_CRANK,account.9281d108eed04ca6aa309c7dfe2a2fd1,0,981.0902,0,0,0,1509.022,0,2259.47241,4,6,282.8639621734619,LVG,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,20300f78-8f3b-45e1-b42b-b1bac128d192,"['LVG_VINO', 'LVG_Rain1ng', 'LVG_NOZ', 'LVG_CRANK']",6,1,1,2703.4332700000004,402.194283,821.3228206634521,1217.2845
1,1,4,106.339478,byplayer,0,1,76,0,0,0.0,GR_asura,account.0ef4ff74829c4a4898ec92d52bb75ecb,0,5314.10352,0,0,0,1052.576,0,1210.27075,5,16,154.43811988830566,GR,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,ec536110-4132-4574-ab7e-ba9788b0544d,"['GR_asura', 'GR_Jungdong', 'GR_nana', 'GR_GuGu99']",16,1,3,6186.596262499999,456.1311228,637.7390384674072,1095.07025
0,0,2,58.2198219,byzone,0,1,74,0,0,0.0,GR_Jungdong,account.9f02b737cac54eef8d7fcd815f358ce9,0,4865.3,0,0,0,1129.779,0,1036.7406,7,16,148.10585594177246,GR,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,ec536110-4132-4574-ab7e-ba9788b0544d,"['GR_asura', 'GR_Jungdong', 'GR_nana', 'GR_GuGu99']",16,1,3,6186.596262499999,456.1311228,637.7390384674072,1095.07025
1,1,1,266.3176,byplayer,0,3,35,1,1,4.13540173,GR_nana,account.351b954a1da841079de9de8ab2addc30,0,5695.213,0,0,0,1129.783,0,977.8514,9,16,145.7760009765625,GR,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,ec536110-4132-4574-ab7e-ba9788b0544d,"['GR_asura', 'GR_Jungdong', 'GR_nana', 'GR_GuGu99']",16,1,3,6186.596262499999,456.1311228,637.7390384674072,1095.07025
0,1,1,25.2542229,byplayer,0,1,75,0,0,0.0,GR_GuGu99,account.4d221cc9f181494181861f5e8b9a116d,0,4193.105,0,0,0,1068.143,0,1453.80078,6,16,189.4190616607666,GR,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,ec536110-4132-4574-ab7e-ba9788b0544d,"['GR_asura', 'GR_Jungdong', 'GR_nana', 'GR_GuGu99']",16,1,3,6186.596262499999,456.1311228,637.7390384674072,1095.07025
0,1,1,295.690948,byzone,0,2,6,2,3,53.6928864,DWG_MYway,account.c972e28a7d704b0d9b87afd4aac48ef9,0,2952.662,0,0,0,1215.408,1,984.1998,4,9,142.0684051513672,DWG,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,0a2fce0a-c1cb-4147-9ace-0b0c5d428fef,"['DWG_MYway', 'DWG_YunJong', 'DWG_Clear', 'DWG_Nelita']",9,7,1,4926.9390525,773.740218,992.5702247619629,1221.25525
1,0,2,117.042114,byplayer,0,4,31,1,1,88.49787,DWG_YunJong,account.a12b79395d4e4aa29b5fe57c8703979b,1,4827.87256,0,0,0,1245.779,1,1258.70239,8,9,326.9191150665283,DWG,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,0a2fce0a-c1cb-4147-9ace-0b0c5d428fef,"['DWG_MYway', 'DWG_YunJong', 'DWG_Clear', 'DWG_Nelita']",9,7,1,4926.9390525,773.740218,992.5702247619629,1221.25525
0,0,4,197.337265,byplayer,0,3,32,1,1,73.49939,DWG_Clear,account.15e6160b5df44ee7acdf6f71c37188ca,0,4120.71973,0,0,0,1149.676,1,1066.87341,5,9,261.5589199066162,DWG,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,0a2fce0a-c1cb-4147-9ace-0b0c5d428fef,"['DWG_MYway', 'DWG_YunJong', 'DWG_Clear', 'DWG_Nelita']",9,7,1,4926.9390525,773.740218,992.5702247619629,1221.25525
2,0,3,163.669891,byplayer,0,3,9,1,2,83.31312,DWG_Nelita,account.57e682b8dc584098bf19f673770594c1,0,2781.52417,0,0,0,1274.158,0,1715.20215,5,9,262.0237846374512,DWG,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,0a2fce0a-c1cb-4147-9ace-0b0c5d428fef,"['DWG_MYway', 'DWG_YunJong', 'DWG_Clear', 'DWG_Nelita']",9,7,1,4926.9390525,773.740218,992.5702247619629,1221.25525
0,0,0,0.0,byplayer,0,0,59,0,0,0.0,APK_KIMGONI,account.c79270787f7c43d9ba4e603436870eee,0,2965.944,0,0,0,435.701,0,534.9981,5,10,100.00000381469727,APK,a5bb7ebe-e7b8-4368-83de-6a2aba7b56df,2019-10-19T07:36:29Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/08/08/9ea2de7b-f247-11e9-b2e5-0a586469f0e6-telemetry.json,308381ac-1d53-4ff9-bf16-741a4fbbee83,"['APK_KIMGONI', 'APK_Black9', 'APK_Leclo', 'APK_Voici']",10,0,0,4844.270957250001,277.063202,824.9066982269287,846.90175
