dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,4,65.601395,byplayer,0,7,36,0,0,0.0,PeRo_Loong,account.95e0b063acc44fa2a03239cd8b090afc,0,3968.1062,0,0.0,0,1459,0,961.68805,3,5,314.14648818969727,PeRo,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,0055b46d-e0b9-4953-9266-d9deff6da21d,"['PeRo_Loong', 'PeRo_AZ', 'PeRo_Aixleft', 'PeRo_Ming']",5,1,1,3879.1751125,397.87074499999994,1020.2984447479248,1032.0
0,0,0,0.0,byplayer,0,0,38,0,0,0.0,PeRo_AZ,account.206b1407799047c481c6d6a5f5f2013d,0,1485.6581,0,0.0,0,377,0,303.2685,3,5,100.00000381469727,PeRo,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,0055b46d-e0b9-4953-9266-d9deff6da21d,"['PeRo_Loong', 'PeRo_AZ', 'PeRo_Aixleft', 'PeRo_Ming']",5,1,1,3879.1751125,397.87074499999994,1020.2984447479248,1032.0
3,0,5,332.26935,byplayer,1,9,21,1,1,102.07739,PeRo_Aixleft,account.f9e6cee008a34fa5908ee32ae13a6927,0,3833.1196,0,0.0,0,1459,1,1056.2358,6,5,506.1519527435303,PeRo,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,0055b46d-e0b9-4953-9266-d9deff6da21d,"['PeRo_Loong', 'PeRo_AZ', 'PeRo_Aixleft', 'PeRo_Ming']",5,1,1,3879.1751125,397.87074499999994,1020.2984447479248,1032.0
0,0,1,0.0,byplayer,0,0,37,0,0,0.0,PeRo_Ming,account.6eae86844bba416db927e2409be7fe6a,0,2731.7476,0,0.0,0,833,0,1176.8766,5,5,100.0,PeRo,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,0055b46d-e0b9-4953-9266-d9deff6da21d,"['PeRo_Loong', 'PeRo_AZ', 'PeRo_Aixleft', 'PeRo_Ming']",5,1,1,3879.1751125,397.87074499999994,1020.2984447479248,1032.0
0,0,2,109.27615,byplayer,0,2,40,0,0,0.0,17_SuJiu,account.b42d0e7b52654729a4d6f0153b48329e,1,4071.6826,0,0.0,0,1424,0,913.4726,5,6,139.67546272277832,17,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,30734288-24d6-4422-ab09-eb0854df3c8c,"['17_SuJiu', '17_xwudd', '17_Lilghost', '17_shou']",6,2,1,5063.495035,877.5581100000002,797.3721284866333,1411.75
1,0,2,305.14355,byplayer,0,2,22,1,1,195.18379,17_xwudd,account.876fd2da6a6b45faacd985e22d0f87b1,0,4393.286,0,0.0,0,1411,0,659.17834,4,6,161.07151222229004,17,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,30734288-24d6-4422-ab09-eb0854df3c8c,"['17_SuJiu', '17_xwudd', '17_Lilghost', '17_shou']",6,2,1,5063.495035,877.5581100000002,797.3721284866333,1411.75
1,0,0,269.21237,byplayer,0,1,23,1,1,61.52562,17_Lilghost,account.32d5a6e2fe4b4bb2b5d2517654313695,0,4090.794,0,0.0,0,1386,0,1102.0889,6,6,193.5307102203369,17,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,30734288-24d6-4422-ab09-eb0854df3c8c,"['17_SuJiu', '17_xwudd', '17_Lilghost', '17_shou']",6,2,1,5063.495035,877.5581100000002,797.3721284866333,1411.75
0,1,4,193.92604,byplayer,0,3,39,0,0,0.0,17_shou,account.851bd2e7e05d458ab728332a467c3a42,0,4165.9873,0,0.0,0,1426,0,857.4904,5,6,303.094443321228,17,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,30734288-24d6-4422-ab09-eb0854df3c8c,"['17_SuJiu', '17_xwudd', '17_Lilghost', '17_shou']",6,2,1,5063.495035,877.5581100000002,797.3721284866333,1411.75
2,1,5,236.02135,byplayer,1,6,12,1,2,66.71972,WC_GregShotGG,account.c4619297cb9d4c7b89efd3ed09d5307c,2,4459.966,0,0.0,0,1640,0,1642.5524,7,2,474.4815082550049,WC,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,f1d51a48-aed6-4ce3-ad9c-a1f7e123dfca,"['WC_GregShotGG', 'WC_nicoos', 'WC_Ykikamucow', 'WC_Adam']",2,8,8,5606.1007,974.444506,1922.3013496398926,1603.5
1,2,2,244.11635,byplayer,0,3,18,1,1,69.07068,WC_nicoos,account.485b9b726ea148f78695bc1f0f7387f5,1,4599.6035,0,0.0,0,1475,0,1385.3031,6,2,353.8158493041992,WC,a69c4c61-e8f3-4f7f-920f-76441d751aa2,2022-11-02T14:40:34Z,Erangel (Remastered),1655,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/15/10/70c5d613-5ac0-11ed-a4c3-16512f2173af-telemetry.json,f1d51a48-aed6-4ce3-ad9c-a1f7e123dfca,"['WC_GregShotGG', 'WC_nicoos', 'WC_Ykikamucow', 'WC_Adam']",2,8,8,5606.1007,974.444506,1922.3013496398926,1603.5
