dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,6,128.03374,byplayer,0,0,23,1,1,212.77986,USG_Kein,account.a1f20202f5ba4ac2b12edc50fb50a471,0,3801.4375,0,0,0,1907,0,2512.7546,5,3,100.00000381469727,USG,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,afa95a55-45e8-4a8e-b069-f9b60481d14e,"['USG_Kein', 'USG_Americano', 'USG_SHEVA', 'USG_Corn']",3,5,2,6120.262075,683.72298,531.415919303894,1907.0
0,1,5,211.22772,byplayer,1,1,9,1,2,10.280259,USG_Americano,account.7ced379563e4416296263e56bc99899f,1,3782.3765,0,0,0,1907,0,1893.5839,7,3,100.0000057220459,USG,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,afa95a55-45e8-4a8e-b069-f9b60481d14e,"['USG_Kein', 'USG_Americano', 'USG_SHEVA', 'USG_Corn']",3,5,2,6120.262075,683.72298,531.415919303894,1907.0
1,0,10,148.76424,byplayer,0,1,25,1,1,9.39343,USG_SHEVA,account.d527b022d997497c98b6b98097d825be,0,4215.6484,0,0,0,1907,0,2193.379,3,3,200.00000476837158,USG,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,afa95a55-45e8-4a8e-b069-f9b60481d14e,"['USG_Kein', 'USG_Americano', 'USG_SHEVA', 'USG_Corn']",3,5,2,6120.262075,683.72298,531.415919303894,1907.0
0,0,6,195.69728,byplayer,0,0,24,1,1,58.302105,USG_Corn,account.c8b1f8be0fad4aadb03b6ae7e20a58ce,0,4001.6582,0,0,0,1907,0,2080.2102,3,3,131.4159049987793,USG,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,afa95a55-45e8-4a8e-b069-f9b60481d14e,"['USG_Kein', 'USG_Americano', 'USG_SHEVA', 'USG_Corn']",3,5,2,6120.262075,683.72298,531.415919303894,1907.0
0,1,3,33.88,byplayer,0,6,43,0,0,0.0,WC_nicoos,account.385216b5ffe54340951c5a9bebd532e4,0,1856.2065,0,0,0,897,0,761.7129,6,6,210.57129859924316,WC,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,4303cbcf-5079-4e7c-9d39-42f36e20d57d,"['WC_nicoos', 'WC_Adam', 'WC_Ykikamucow', 'WC_GregShotGG']",6,4,3,4152.0488,589.8048,743.4415988922119,1260.25
1,1,4,147.46465,byplayer,1,1,11,1,2,87.412445,WC_Adam,account.6d861d09565241f5b2f4eda11744468d,0,2309.8318,0,0,0,1605,0,2575.7007,5,6,123.99783897399902,WC,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,4303cbcf-5079-4e7c-9d39-42f36e20d57d,"['WC_nicoos', 'WC_Adam', 'WC_Ykikamucow', 'WC_GregShotGG']",6,4,3,4152.0488,589.8048,743.4415988922119,1260.25
2,1,6,168.60645,byplayer,0,6,12,1,2,109.967606,WC_Ykikamucow,account.257ebd9a9e044d75a4bdaf6ef7334d68,0,2920.4265,0,0,0,1598,0,2633.9182,3,6,289.52027893066406,WC,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,4303cbcf-5079-4e7c-9d39-42f36e20d57d,"['WC_nicoos', 'WC_Adam', 'WC_Ykikamucow', 'WC_GregShotGG']",6,4,3,4152.0488,589.8048,743.4415988922119,1260.25
2,0,2,239.8537,byplayer,0,0,42,0,0,0.0,WC_GregShotGG,account.7de92369fe4f4f24874d719a4bf6895d,0,2498.8118,0,0,0,941,0,1051.5868,3,6,119.35218238830566,WC,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,4303cbcf-5079-4e7c-9d39-42f36e20d57d,"['WC_nicoos', 'WC_Adam', 'WC_Ykikamucow', 'WC_GregShotGG']",6,4,3,4152.0488,589.8048,743.4415988922119,1260.25
1,0,5,342.50885,byplayer,0,2,47,0,0,0.0,eU_Snakers,account.352e546623ae4b2c902068825a5c99af,0,7427.715,0,0,0,1210,0,785.72815,2,11,259.551326751709,eU,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,2ca9bbde-caf8-4d2b-9de8-2d332f2ae94a,"['eU_Snakers', 'eU_Relo', 'eU_Fludd', 'eU_Kickstart']",11,4,3,8759.234637500002,1606.88371,996.0777053833008,1224.25
1,2,2,222.00334,byplayer,1,1,32,1,1,71.79303,eU_Relo,account.ebd15758ff364ae490ae8d85b9b33c08,1,7650.5693,0,0,0,1229,0,1537.9153,5,11,200.76697158813477,eU,ac35b7fa-25e7-41d0-98cd-152da3b250fe,2022-11-06T14:58:01Z,Erangel (Remastered),1912,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/15/31/23014527-5de8-11ed-a4c3-16512f2173af-telemetry.json,2ca9bbde-caf8-4d2b-9de8-2d332f2ae94a,"['eU_Snakers', 'eU_Relo', 'eU_Fludd', 'eU_Kickstart']",11,4,3,8759.234637500002,1606.88371,996.0777053833008,1224.25
