dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
4,2,6,429.74072,byplayer,1,5,13,1,2,12.208576,BBL_Thenderlost,account.69719bc2c4ab4e52b0cbb28fdad79d51,0,1951.2236,0,0,0,1153,0,880.5865,6,11,388.387731552124,BBL,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,fae3c34c-8b0f-44ee-ae6d-77439ad32027,"['BBL_Thenderlost', 'BBL_CodeMarco', 'BBL_Smash', 'BBL_Quetpa']",11,6,4,3281.667975,1059.24726,1011.8239459991455,1014.5
0,1,2,116.64821,byplayer,0,1,28,1,1,3.3771267,BBL_CodeMarco,account.94bc45a33679409c85e35afe6ba52204,0,3363.7322,0,0,0,890,0,1100.1058,3,11,189.79000091552734,BBL,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,fae3c34c-8b0f-44ee-ae6d-77439ad32027,"['BBL_Thenderlost', 'BBL_CodeMarco', 'BBL_Smash', 'BBL_Quetpa']",11,6,4,3281.667975,1059.24726,1011.8239459991455,1014.5
0,0,5,192.75453,byplayer,0,4,27,1,1,2.0490458,BBL_Smash,account.cb2f39f81e284da2b0ce95c152406468,0,2986.1963,0,0,0,1153,0,1231.3944,3,11,278.19091033935547,BBL,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,fae3c34c-8b0f-44ee-ae6d-77439ad32027,"['BBL_Thenderlost', 'BBL_CodeMarco', 'BBL_Smash', 'BBL_Quetpa']",11,6,4,3281.667975,1059.24726,1011.8239459991455,1014.5
2,1,2,320.1038,byplayer,0,1,14,1,2,35.10909,BBL_Quetpa,account.430cd1c6f02a4ab88440df3696321610,0,970.31506,0,0,0,862,0,643.11804,6,11,155.45530319213867,BBL,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,fae3c34c-8b0f-44ee-ae6d-77439ad32027,"['BBL_Thenderlost', 'BBL_CodeMarco', 'BBL_Smash', 'BBL_Quetpa']",11,6,4,3281.667975,1059.24726,1011.8239459991455,1014.5
1,0,0,197.5432,byplayer,0,1,41,0,0,0.0,FaZe_D1gg3r1,account.f8586a26a3714de3a6d96f7f949e31a1,0,5448.3867,0,0,0,1485,2,2098.5544,5,6,150.5833511352539,FaZe,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,98485421-78bc-4878-8e70-9d99a738448c,"['FaZe_D1gg3r1', 'FaZe_Fexx', 'FaZe_Aitzy', 'FaZe_Gustav']",6,3,1,7626.3158,1032.87636,589.5317840576172,1484.5
1,0,3,290.85385,byplayer,1,1,9,1,2,43.929276,FaZe_Fexx,account.a0ab4598a02e489585124490ca90201a,0,5311.739,0,0,0,1485,0,2767.0344,5,6,212.54842567443848,FaZe,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,98485421-78bc-4878-8e70-9d99a738448c,"['FaZe_D1gg3r1', 'FaZe_Fexx', 'FaZe_Aitzy', 'FaZe_Gustav']",6,3,1,7626.3158,1032.87636,589.5317840576172,1484.5
0,0,0,124.64868,byplayer,0,0,40,0,0,0.0,FaZe_Aitzy,account.9d662142a3144c85b62e95cae045f2a0,0,5813.5513,0,0,0,1485,0,1667.2845,3,6,100.00000190734863,FaZe,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,98485421-78bc-4878-8e70-9d99a738448c,"['FaZe_D1gg3r1', 'FaZe_Fexx', 'FaZe_Aitzy', 'FaZe_Gustav']",6,3,1,7626.3158,1032.87636,589.5317840576172,1484.5
2,1,4,419.83063,byplayer,1,0,22,1,1,115.755035,FaZe_Gustav,account.ee3f1025fec8478bac489ab98c4ccaea,0,5980.8706,0,0,0,1483,1,1417.8423,4,6,126.40000534057617,FaZe,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,98485421-78bc-4878-8e70-9d99a738448c,"['FaZe_D1gg3r1', 'FaZe_Fexx', 'FaZe_Aitzy', 'FaZe_Gustav']",6,3,1,7626.3158,1032.87636,589.5317840576172,1484.5
0,1,0,43.559998,byplayer,0,0,56,0,0,0.0,PP_KnorkiS,account.99b64f83661a4f3ba87cbb1c8869071f,0,8802.207,0,0,0,659,0,239.93875,3,13,100.0,PP,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,9aba0c32-e30c-4312-8460-81e0ab68b9ac,"['PP_KnorkiS', 'PP_K4pii', 'PP_Marcelek', 'PP_Krunio']",13,3,5,9694.564955000002,476.381135,712.487829208374,779.75
1,3,3,137.63913,byplayer,0,2,29,1,1,37.166283,PP_K4pii,account.61d2008981da495f9afde72d1f95c883,0,9915.474,0,0,0,897,0,469.13144,5,13,242.87419319152832,PP,accdc356-47dd-455c-a2ee-b13d7582f4ab,2022-11-02T13:54:23Z,Erangel (Remastered),1757,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/02/14/25/39a7cffd-5aba-11ed-a4c3-16512f2173af-telemetry.json,9aba0c32-e30c-4312-8460-81e0ab68b9ac,"['PP_KnorkiS', 'PP_K4pii', 'PP_Marcelek', 'PP_Krunio']",13,3,5,9694.564955000002,476.381135,712.487829208374,779.75
