dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,0.0,byplayer,0,0,52,0,0,0.0,DNW_Salute,account.f004af2e9cd6472a82410810814ee08b,0,7640.1504,0,0,0,878,0,382.4022,5,13,112.77844333648682,DNW,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,68847d7c-9a52-4f5c-a11e-a8ccf91a4a60,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",13,0,0,6954.1500525,235.521233,794.4478616714478,958.25
0,0,4,173.9907,byplayer,0,3,51,0,0,0.0,DNW_seoul,account.0232512c00a341fb8a954ea8777b0cb6,0,5639.453,0,0,0,1048,0,928.5374,4,13,220.24069499969482,DNW,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,68847d7c-9a52-4f5c-a11e-a8ccf91a4a60,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",13,0,0,6954.1500525,235.521233,794.4478616714478,958.25
0,0,4,61.530533,byplayer,0,5,50,0,0,0.0,DNW_Rex,account.f7f20e78ba10427e853a1ef85708ce41,0,5920.0186,0,0,0,1054,0,655.32947,6,13,361.42872428894043,DNW,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,68847d7c-9a52-4f5c-a11e-a8ccf91a4a60,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",13,0,0,6954.1500525,235.521233,794.4478616714478,958.25
0,0,2,0.0,byplayer,0,0,53,0,0,0.0,DNW_LeClo,account.d809f466098c4dfd85be5180e088fa7f,0,6114.5015,0,0,0,853,0,536.20764,4,13,99.99999904632568,DNW,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,68847d7c-9a52-4f5c-a11e-a8ccf91a4a60,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",13,0,0,6954.1500525,235.521233,794.4478616714478,958.25
0,5,3,354.989,byplayer,0,1,30,0,0,0.0,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,5774.477,0,0,0,1501,0,858.42236,5,3,196.41855430603027,NAVI,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,942755fe-082d-48bf-8fbc-3d2fc5e7e317,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",3,10,7,7286.24909,1617.3618999999999,1015.1037559509277,1501.0
2,0,3,535.4381,byplayer,3,2,4,2,4,47.920135,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,0,5589.905,0,0,0,1501,0,1244.1246,4,3,258.15496826171875,NAVI,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,942755fe-082d-48bf-8fbc-3d2fc5e7e317,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",3,10,7,7286.24909,1617.3618999999999,1015.1037559509277,1501.0
3,0,6,201.3458,byplayer,1,7,6,1,3,103.77745,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,6767.8887,0,0,0,1501,0,1654.8894,4,3,344.92542457580566,NAVI,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,942755fe-082d-48bf-8fbc-3d2fc5e7e317,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",3,10,7,7286.24909,1617.3618999999999,1015.1037559509277,1501.0
4,2,3,525.589,byplayer,1,2,5,1,3,474.33102,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,6138.551,0,0,0,1501,1,1116.7383,6,3,215.60480880737305,NAVI,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,942755fe-082d-48bf-8fbc-3d2fc5e7e317,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",3,10,7,7286.24909,1617.3618999999999,1015.1037559509277,1501.0
1,0,10,411.45883,byplayer,0,3,29,0,0,0.0,BRU_GodMiao,account.4af2f0f4a9a24c2c80e0b99ce204b541,0,979.50073,0,0,0,1731,0,1745.299,6,2,302.58642959594727,BRU,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,d1b60758-9542-4897-826b-7f5eb7684908,"['BRU_GodMiao', 'BRU_Noardra', 'BRU_Conaxy', 'BRU_Eaddy']",2,9,1,3757.0230575,1459.4744799999999,937.8137214183807,1596.0
4,0,6,614.55505,byplayer,2,3,1,2,6,236.59248,BRU_Noardra,account.04397540df064bd4a28cafd142d5d5db,0,2579.9165,0,0,0,1731,0,2357.6465,7,2,226.42566180229187,BRU,ad4a7b90-0c1d-4588-9788-8cf31f6c3aae,2021-12-05T11:30:51Z,Miramar,1731,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/01/179eb469-55c3-11ec-9c21-16512f2173af-telemetry.json,d1b60758-9542-4897-826b-7f5eb7684908,"['BRU_GodMiao', 'BRU_Noardra', 'BRU_Conaxy', 'BRU_Eaddy']",2,9,1,3757.0230575,1459.4744799999999,937.8137214183807,1596.0
