dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,2,5,70.0,byplayer,0,1,43,0,0,0.0,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,7001.3145,0,0.0,0,1561,0,1364.5956,3,10,202.0,GEN,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,8f023c1c-0d90-412b-b972-bf807c20e1e5,"['GEN_Asura', 'GEN_Inonix', 'GEN_Esther', 'GEN_Pio']",10,5,4,7444.10296,1263.9854799999998,915.1097145080566,1521.75
0,1,3,205.29805,byplayer,0,0,44,0,0,0.0,GEN_Inonix,account.b683ba2d6c0b4c728777d62de1aa9cbd,0,5148.0645,0,0.0,0,1212,0,871.62384,4,10,127.0,GEN,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,8f023c1c-0d90-412b-b972-bf807c20e1e5,"['GEN_Asura', 'GEN_Inonix', 'GEN_Esther', 'GEN_Pio']",10,5,4,7444.10296,1263.9854799999998,915.1097145080566,1521.75
4,1,3,464.83023,byplayer,0,2,8,2,3,136.12923,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,1,5025.3574,0,0.0,0,1657,0,1511.9017,5,10,273.85662841796875,GEN,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,8f023c1c-0d90-412b-b972-bf807c20e1e5,"['GEN_Asura', 'GEN_Inonix', 'GEN_Esther', 'GEN_Pio']",10,5,4,7444.10296,1263.9854799999998,915.1097145080566,1521.75
1,0,6,523.8572,byplayer,1,3,13,1,2,38.247158,GEN_Pio,account.865f5247057949378fe72926705f3b1b,1,7116.5625,0,0.0,0,1657,0,1736.9918,4,10,312.2530860900879,GEN,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,8f023c1c-0d90-412b-b972-bf807c20e1e5,"['GEN_Asura', 'GEN_Inonix', 'GEN_Esther', 'GEN_Pio']",10,5,4,7444.10296,1263.9854799999998,915.1097145080566,1521.75
0,0,0,0.0,byplayer,0,0,51,0,0,0.0,GHD_McMoo,account.da079eb9b3604db588b2853c581f2f8d,0,4865.6064,0,0.0,0,1060,0,799.9049,4,12,99.99999809265137,GHD,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,02298b75-8f3a-4604-8e5f-bad59a21a34c,"['GHD_McMoo', 'GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_3007']",12,0,0,6292.567684674999,120.63036,708.5926609039307,1142.25
0,0,4,35.63036,byplayer,0,2,50,0,0,0.0,GHD_Sylphyy,account.f982864e72c54b0ea9af2c174616f3ac,0,4614.589,0,4.1531987,0,1141,0,893.812,4,12,199.82782554626465,GHD,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,02298b75-8f3a-4604-8e5f-bad59a21a34c,"['GHD_McMoo', 'GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_3007']",12,0,0,6292.567684674999,120.63036,708.5926609039307,1142.25
1,0,3,85.0,byplayer,0,6,48,0,0,0.0,GHD_d1sgustingg,account.1a9b8e2b8f794c67aff99d966c944f0d,1,4840.5874,0,0.0,0,1184,0,913.74634,5,12,248.38129043579102,GHD,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,02298b75-8f3a-4604-8e5f-bad59a21a34c,"['GHD_McMoo', 'GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_3007']",12,0,0,6292.567684674999,120.63036,708.5926609039307,1142.25
0,0,4,0.0,byplayer,0,1,49,0,0,0.0,GHD_3007,account.3ba05a082b83466c89b3446e968de306,0,7297.014,0,0.0,0,1184,0,940.8575,5,12,160.38354682922363,GHD,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,02298b75-8f3a-4604-8e5f-bad59a21a34c,"['GHD_McMoo', 'GHD_Sylphyy', 'GHD_d1sgustingg', 'GHD_3007']",12,0,0,6292.567684674999,120.63036,708.5926609039307,1142.25
0,0,4,0.0,byplayer,0,6,47,0,0,0.0,OATH_Relo,account.a7e8f8f134334a6d933ee99183e3251f,0,6255.7896,0,0.0,0,1596,0,1029.321,3,11,305.68225860595703,OATH,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,675042eb-459b-45f7-bb3f-e88367327a23,"['OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost']",11,1,1,6510.146975,464.81724500000007,1316.4011459350586,1623.0
1,1,6,207.39062,byplayer,0,3,45,0,0,0.0,OATH_Kickstart,account.b7f55e9dddd84613863c6dd68aa9e415,0,4638.563,0,0.0,0,1632,0,1041.9982,7,11,256.1521701812744,OATH,ad82d953-3275-4f3a-907f-6025d7aad0be,2021-12-02T09:50:44Z,Erangel (Remastered),1936,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/10/24/165ed7bd-535a-11ec-9c21-16512f2173af-telemetry.json,675042eb-459b-45f7-bb3f-e88367327a23,"['OATH_Relo', 'OATH_Kickstart', 'OATH_Snakers', 'OATH_Balefrost']",11,1,1,6510.146975,464.81724500000007,1316.4011459350586,1623.0
