dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,4,166.40286,byplayer,0,1,55,0,0,0.0,PeRo_Aixleft,account.07163e02f10144a0b113a2b86e47bf53,0,2821.143,0,0.0,0,1166,0,1817.2574,7,13,172.80534553527832,PeRo,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,c75233ed-df42-4b10-a6a7-d3fc06169284,"['PeRo_Aixleft', 'PeRo_mingz1', 'PeRo_Myl', 'PeRo_Mamu']",13,1,0,3753.1630999999998,443.449153,737.3472270965576,1143.5
0,0,0,110.140884,byplayer,0,0,56,0,0,0.0,PeRo_mingz1,account.77b70b21d25b4330a29bca9ce35b4a80,0,2278.203,0,0.0,0,1165,0,1157.8644,5,13,100.00000190734863,PeRo,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,c75233ed-df42-4b10-a6a7-d3fc06169284,"['PeRo_Aixleft', 'PeRo_mingz1', 'PeRo_Myl', 'PeRo_Mamu']",13,1,0,3753.1630999999998,443.449153,737.3472270965576,1143.5
0,0,3,141.31287,byplayer,0,3,57,0,0,0.0,PeRo_Myl,account.71942085e3fd42299d2db6324ab0853a,0,1821.6882,0,0.0,0,1164,0,1441.3505,8,13,296.75355529785156,PeRo,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,c75233ed-df42-4b10-a6a7-d3fc06169284,"['PeRo_Aixleft', 'PeRo_mingz1', 'PeRo_Myl', 'PeRo_Mamu']",13,1,0,3753.1630999999998,443.449153,737.3472270965576,1143.5
0,0,5,25.592539,byplayer,0,3,30,1,1,640.37756,PeRo_Mamu,account.ad09f23195f64641a432677744aaf8c3,0,2346.4087,0,0.0,0,1079,0,1328.7372,5,13,167.7883243560791,PeRo,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,c75233ed-df42-4b10-a6a7-d3fc06169284,"['PeRo_Aixleft', 'PeRo_mingz1', 'PeRo_Myl', 'PeRo_Mamu']",13,1,0,3753.1630999999998,443.449153,737.3472270965576,1143.5
1,2,2,285.2421,byzone,0,1,49,0,0,0.0,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,0,64.128586,0,0.0,0,1115,0,1433.3951,5,11,136.4223518371582,GEX,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,a7092f59-6d2f-4df8-8dca-2c1ce64e24bf,"['GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR']",11,7,5,2212.3652965,1632.8462399999999,790.3889636993408,1136.25
4,1,3,775.3197,byplayer,1,2,5,2,3,45.71859,GEX_ZhenNan,account.00b80af7b33645059af2c2bd4d48f23d,0,980.1931,0,0.0,0,1066,0,1568.5369,4,11,209.79999160766602,GEX,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,a7092f59-6d2f-4df8-8dca-2c1ce64e24bf,"['GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR']",11,7,5,2212.3652965,1632.8462399999999,790.3889636993408,1136.25
4,0,3,427.80908,byplayer,2,2,2,1,4,310.53412,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,0,1316.7393,0,0.0,0,1295,0,811.9321,5,11,246.02274322509766,GEX,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,a7092f59-6d2f-4df8-8dca-2c1ce64e24bf,"['GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR']",11,7,5,2212.3652965,1632.8462399999999,790.3889636993408,1136.25
1,2,2,144.47536,byplayer,0,5,50,0,0,0.0,GEX_SSR,account.a9a531fed8754fe683f24727a0cd77c3,0,1459.2489,0,0.0,0,1069,0,1215.2872,3,11,198.14387702941895,GEX,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,a7092f59-6d2f-4df8-8dca-2c1ce64e24bf,"['GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi', 'GEX_SSR']",11,7,5,2212.3652965,1632.8462399999999,790.3889636993408,1136.25
1,0,2,142.61603,byplayer,0,1,41,0,0,0.0,MCG_Summer,account.5cdfa06fd28a4172972eb5bcda665952,0,6866.5825,0,0.0,0,1525,0,1399.3402,6,6,156.92079544067383,MCG,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,8c7fedf8-587b-4f5e-ae70-ed4c3aae9742,"['MCG_Summer', 'MCG_Tanki995', 'MCG_LingDuuuuuu', 'MCG_EviLLee']",6,4,0,7804.767,743.444298,1198.1510276794434,1420.75
1,0,6,316.66162,byplayer,0,4,10,2,2,510.8031,MCG_Tanki995,account.5c57574acf7043a28e9420737bd71988,0,6187.1714,0,0.0,0,1338,0,1533.6033,5,6,310.4151077270508,MCG,ae0da901-5856-47de-852e-a275da8a3853,2021-12-05T10:42:18Z,Miramar,1842,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/11/14/921b7d5b-55bc-11ec-9c21-16512f2173af-telemetry.json,8c7fedf8-587b-4f5e-ae70-ed4c3aae9742,"['MCG_Summer', 'MCG_Tanki995', 'MCG_LingDuuuuuu', 'MCG_EviLLee']",6,4,0,7804.767,743.444298,1198.1510276794434,1420.75
