dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,5,149.25519,byplayer,0,2,38,0,0,0.0,NH_ZpYan1,account.4e1741c5668b4deb86011b191ca78da5,0,5503.175,0,0,0,1366,0,1661.2169,4,7,200.0000057220459,NH,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,77c39bec-a947-43e1-8c21-77baeaa56464,"['NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn', 'NH_MMing']",7,0,0,7375.078675000001,373.98458,736.6358699798584,1379.0
0,0,0,44.73085,byplayer,0,2,37,0,0,0.0,NH_HSmm,account.b269629011a54dd19d997d95cb5e6a65,0,5427.339,0,0,0,1398,0,1611.9944,5,7,206.42499351501465,NH,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,77c39bec-a947-43e1-8c21-77baeaa56464,"['NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn', 'NH_MMing']",7,0,0,7375.078675000001,373.98458,736.6358699798584,1379.0
0,0,4,147.99081,byplayer,0,1,36,0,0,0.0,NH_Nannnnn,account.e8d048cf9cbb4ca0a191276930e71970,0,6330.448,0,0,0,1398,0,1382.5051,6,7,162.9127025604248,NH,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,77c39bec-a947-43e1-8c21-77baeaa56464,"['NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn', 'NH_MMing']",7,0,0,7375.078675000001,373.98458,736.6358699798584,1379.0
0,0,5,32.00773,byplayer,0,1,39,0,0,0.0,NH_MMing,account.05f030c9b4ac4146bab9fbf829c9eed5,1,6187.116,0,0,0,1354,0,1396.5203,5,7,167.29816818237305,NH,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,77c39bec-a947-43e1-8c21-77baeaa56464,"['NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn', 'NH_MMing']",7,0,0,7375.078675000001,373.98458,736.6358699798584,1379.0
6,2,6,901.3124,byplayer,1,7,1,1,6,408.71182,YAHO_Shinboi,account.e5b21608084242098dcece399ba25321,1,3532.9485,0,0,0,1837,0,2373.7805,6,2,655.2515239715576,YAHO,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,e539b31f-a4f4-417b-aed9-a4f7d2240861,"['YAHO_Shinboi', 'YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Poonage']",2,10,13,5774.6117,2037.3505300000002,1730.0952644348145,1830.5
1,4,7,348.4083,byplayer,0,6,18,1,1,23.933977,YAHO_sparkingg,account.c364e12996284e2abc48dc2605d5b866,0,4140.7295,0,0,0,1803,0,2426.5564,3,2,415.45648193359375,YAHO,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,e539b31f-a4f4-417b-aed9-a4f7d2240861,"['YAHO_Shinboi', 'YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Poonage']",2,10,13,5774.6117,2037.3505300000002,1730.0952644348145,1830.5
0,3,7,358.1984,byplayer,0,7,29,0,0,0.0,YAHO_Balefrost,account.43fca7d109ad4af5a7be371fbf7904fe,4,2760.1,0,0,0,1841,0,2205.164,4,2,351.0666790008545,YAHO,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,e539b31f-a4f4-417b-aed9-a4f7d2240861,"['YAHO_Shinboi', 'YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Poonage']",2,10,13,5774.6117,2037.3505300000002,1730.0952644348145,1830.5
1,4,4,429.43143,byplayer,1,6,5,2,3,199.6238,YAHO_Poonage,account.6a340d4178dd42beb623578d5855ea36,0,3047.2031,0,0,0,1841,1,2611.9648,6,2,308.3205795288086,YAHO,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,e539b31f-a4f4-417b-aed9-a4f7d2240861,"['YAHO_Shinboi', 'YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Poonage']",2,10,13,5774.6117,2037.3505300000002,1730.0952644348145,1830.5
0,0,5,185.78378,byplayer,0,7,30,0,0,0.0,NAVI_ubah,account.1e80e980e0e745d482ec1a97a1a3766f,1,3105.8706,0,0,0,1788,0,1658.6892,8,3,300.88607025146484,NAVI,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,086382e0-94ef-4d33-a678-93b0f3d502f9,"['NAVI_ubah', 'NAVI_xmpl', 'NAVI_Mell', 'NAVI_alya']",3,5,2,5345.902924999999,1528.02638,1000.856481552124,1781.25
3,1,1,726.8283,byplayer,1,1,10,1,2,177.50943,NAVI_xmpl,account.94686ebb1f3346288e767acfbefe65bc,0,3029.0684,0,0,0,1808,0,1555.8933,6,3,118.49325561523438,NAVI,af18b597-1038-4797-a011-d0491e2e89d5,2022-11-01T15:34:58Z,Miramar,1841,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/16/07/4e57227f-59ff-11ed-a4c3-16512f2173af-telemetry.json,086382e0-94ef-4d33-a678-93b0f3d502f9,"['NAVI_ubah', 'NAVI_xmpl', 'NAVI_Mell', 'NAVI_alya']",3,5,2,5345.902924999999,1528.02638,1000.856481552124,1781.25
