dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,3,144.77408,byplayer,0,4,52,0,0,0.0,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,2137.4866,0,0,0,1262,0,1463.7549,3,12,88.99999809265137,TSM,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,230e0898-f8d4-4ca7-a8cd-5e14cc070f72,"['TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12', 'TSM_FTX_Purdy']",12,3,2,3065.5371175,973.91564,440.8876075744629,1269.0
0,1,3,285.3206,byplayer,0,1,53,0,0,0.0,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,561.0048,0,0,0,1260,0,1737.0948,8,12,97.0,TSM,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,230e0898-f8d4-4ca7-a8cd-5e14cc070f72,"['TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12', 'TSM_FTX_Purdy']",12,3,2,3065.5371175,973.91564,440.8876075744629,1269.0
2,1,4,364.52982,byplayer,2,1,14,1,2,123.09461,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,773.99097,0,0,0,1277,0,1315.3104,6,12,88.93327331542969,TSM,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,230e0898-f8d4-4ca7-a8cd-5e14cc070f72,"['TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12', 'TSM_FTX_Purdy']",12,3,2,3065.5371175,973.91564,440.8876075744629,1269.0
0,0,7,179.29114,byplayer,0,5,30,1,1,6.716355,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,3075.2002,0,0,0,1277,0,1198.3058,7,12,165.95433616638184,TSM,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,230e0898-f8d4-4ca7-a8cd-5e14cc070f72,"['TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12', 'TSM_FTX_Purdy']",12,3,2,3065.5371175,973.91564,440.8876075744629,1269.0
0,0,0,0.0,byplayer,0,0,59,0,0,0.0,GEX_SSR,account.a9a531fed8754fe683f24727a0cd77c3,0,5698.118,0,0,0,678,0,383.1412,3,14,99.99999618530273,GEX,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,7993d6ca-3b84-4a03-baf1-7f4edfd570a3,"['GEX_SSR', 'GEX_ZhenNan', 'GEX_Savior', 'GEX_YanLi']",14,5,0,5997.7678725,423.41912,538.8899202346802,810.75
0,0,1,0.0,byplayer,0,1,58,0,0,0.0,GEX_ZhenNan,account.00b80af7b33645059af2c2bd4d48f23d,0,4165.4976,0,0,0,709,0,884.52673,3,14,127.51839637756348,GEX,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,7993d6ca-3b84-4a03-baf1-7f4edfd570a3,"['GEX_SSR', 'GEX_ZhenNan', 'GEX_Savior', 'GEX_YanLi']",14,5,0,5997.7678725,423.41912,538.8899202346802,810.75
3,0,10,323.41913,byzone,0,4,4,2,4,130.6471,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,0,6107.043,0,0,0,1180,0,885.5174,4,14,211.37152767181396,GEX,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,7993d6ca-3b84-4a03-baf1-7f4edfd570a3,"['GEX_SSR', 'GEX_ZhenNan', 'GEX_Savior', 'GEX_YanLi']",14,5,0,5997.7678725,423.41912,538.8899202346802,810.75
1,0,1,99.99999,byplayer,0,0,31,1,1,6.180879,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,0,5454.583,0,0,0,676,0,412.64456,4,14,100.0,GEX,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,7993d6ca-3b84-4a03-baf1-7f4edfd570a3,"['GEX_SSR', 'GEX_ZhenNan', 'GEX_Savior', 'GEX_YanLi']",14,5,0,5997.7678725,423.41912,538.8899202346802,810.75
1,0,4,73.6,byplayer,0,4,27,1,1,25.700115,KX_YUPPIE,account.3dee89947aec409a9854988043fee975,0,8194.89,0,0,0,1326,0,1297.1244,3,10,281.87937927246094,KX,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,a8a83c96-4010-4c2b-b8df-12e9ec5522ed,"['KX_YUPPIE', 'KX_Cobra', 'KX_Lanren', 'KX_Yuren']",10,2,1,10216.2863,458.65223000000003,1196.4082431793213,1314.0
1,1,2,203.60289,byplayer,0,3,47,0,0,0.0,KX_Cobra,account.18b4ef357f174b37b313dcafbb6457f0,0,8895.499,0,0,0,1316,0,1568.2678,3,10,327.1001396179199,KX,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,a8a83c96-4010-4c2b-b8df-12e9ec5522ed,"['KX_YUPPIE', 'KX_Cobra', 'KX_Lanren', 'KX_Yuren']",10,2,1,10216.2863,458.65223000000003,1196.4082431793213,1314.0
0,0,7,0.0,byzone,0,3,48,0,0,0.0,KX_Lanren,account.03f9c9ef7bee42169b07f8ef609fd43e,0,8781.846,0,0,0,1288,0,1598.8074,3,10,289.89751052856445,KX,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,a8a83c96-4010-4c2b-b8df-12e9ec5522ed,"['KX_YUPPIE', 'KX_Cobra', 'KX_Lanren', 'KX_Yuren']",10,2,1,10216.2863,458.65223000000003,1196.4082431793213,1314.0
1,0,4,181.44934,byzone,0,6,28,1,1,19.664284,KX_Yuren,account.d599a04d3dd54e2285f1559f9d0e141a,0,9147.819,0,0,0,1326,0,1380.8916,5,10,297.531213760376,KX,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,a8a83c96-4010-4c2b-b8df-12e9ec5522ed,"['KX_YUPPIE', 'KX_Cobra', 'KX_Lanren', 'KX_Yuren']",10,2,1,10216.2863,458.65223000000003,1196.4082431793213,1314.0
0,0,2,157.19623,byplayer,0,8,60,0,0,0.0,GEN_Pio,account.865f5247057949378fe72926705f3b1b,0,8032.0044,0,0,0,1058,0,1096.7866,3,15,185.83315086364746,GEN,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,cc1261f9-7edf-4e62-9559-b2dae7e8702c,"['GEN_Pio', 'GEN_Asura', 'GEN_Inonix', 'GEN_Esther']",15,0,0,8539.9213925,187.291996,315.491174697876,1025.25
0,0,4,0.0,byplayer,0,0,62,0,0,0.0,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,7221.661,0,0,0,1015,0,691.78784,4,15,17.109336853027344,GEN,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,cc1261f9-7edf-4e62-9559-b2dae7e8702c,"['GEN_Pio', 'GEN_Asura', 'GEN_Inonix', 'GEN_Esther']",15,0,0,8539.9213925,187.291996,315.491174697876,1025.25
0,0,3,0.0,byplayer,0,0,63,0,0,0.0,GEN_Inonix,account.b683ba2d6c0b4c728777d62de1aa9cbd,0,7617.2627,0,0,0,1003,0,672.233,5,15,37.54868698120117,GEN,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,cc1261f9-7edf-4e62-9559-b2dae7e8702c,"['GEN_Pio', 'GEN_Asura', 'GEN_Inonix', 'GEN_Esther']",15,0,0,8539.9213925,187.291996,315.491174697876,1025.25
0,0,1,30.095766,byplayer,0,1,61,0,0,0.0,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,0,8334.36,0,0,0,1025,0,493.59003,3,15,75.0,GEN,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,cc1261f9-7edf-4e62-9559-b2dae7e8702c,"['GEN_Pio', 'GEN_Asura', 'GEN_Inonix', 'GEN_Esther']",15,0,0,8539.9213925,187.291996,315.491174697876,1025.25
1,1,5,219.53374,byplayer,0,1,18,1,1,108.57846,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,0,10963.001,0,0,0,1557,0,1611.8011,4,5,189.49357795715332,SQ,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,ad1c5eb0-4420-4aef-b133-301335ac89f7,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn', 'SQ_TGLTN']",5,3,4,11734.3395,480.39243,880.2616672515869,1508.5
1,2,2,97.20949,byplayer,0,3,40,0,0,0.0,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,0,9465.798,0,0,0,1474,0,1662.2223,5,5,289.25464630126953,SQ,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,ad1c5eb0-4420-4aef-b133-301335ac89f7,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn', 'SQ_TGLTN']",5,3,4,11734.3395,480.39243,880.2616672515869,1508.5
0,1,3,38.808,byplayer,0,2,41,0,0,0.0,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,0,10608.441,0,0,0,1446,0,1693.9742,2,5,265.62073135375977,SQ,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,ad1c5eb0-4420-4aef-b133-301335ac89f7,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn', 'SQ_TGLTN']",5,3,4,11734.3395,480.39243,880.2616672515869,1508.5
3,0,4,124.8412,byplayer,1,1,12,1,2,231.63602,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,0,9237.536,0,0,0,1557,0,1694.5844,5,5,135.8927116394043,SQ,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,ad1c5eb0-4420-4aef-b133-301335ac89f7,"['SQ_M1ME', 'SQ_Shrimzy', 'SQ_hwinn', 'SQ_TGLTN']",5,3,4,11734.3395,480.39243,880.2616672515869,1508.5
1,0,5,180.87376,byplayer,0,3,22,1,1,37.073517,FaZe_Gustav,account.f2c6d47dea894ca38e85274e14aa1b37,0,5504.6714,0,0,0,1347,0,1508.2155,7,8,184.08298110961914,FaZe,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,bbf8ca7d-8df3-4ca0-a1d6-7eb295b77aec,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",8,6,3,7521.784715,897.2959659999999,806.2358102798462,1256.0
0,0,3,75.211586,byplayer,0,6,21,1,1,139.20943,FaZe_Fuzzface,account.da28ef29a86842699f10e246fb7b78de,0,5881.987,0,0,0,1476,0,1549.8785,7,8,209.93656826019287,FaZe,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,bbf8ca7d-8df3-4ca0-a1d6-7eb295b77aec,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",8,6,3,7521.784715,897.2959659999999,806.2358102798462,1256.0
3,1,2,397.80957,byplayer,0,2,7,1,3,112.22063,FaZe_Aitzy,account.949745190ab045f38bea9bde565387ec,0,6581.011,0,0,0,1356,0,1376.0474,3,8,219.47497749328613,FaZe,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,bbf8ca7d-8df3-4ca0-a1d6-7eb295b77aec,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",8,6,3,7521.784715,897.2959659999999,806.2358102798462,1256.0
2,2,0,243.40105,byplayer,0,2,23,1,1,95.699974,FaZe_Fexx,account.89dfdfdc419a498c814a95565366eb32,0,7087.112,0,0,0,845,0,598.21606,2,8,192.74128341674805,FaZe,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,bbf8ca7d-8df3-4ca0-a1d6-7eb295b77aec,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Aitzy', 'FaZe_Fexx']",8,6,3,7521.784715,897.2959659999999,806.2358102798462,1256.0
0,0,1,0.0,byplayer,0,1,49,0,0,0.0,BRU_Eaddy,account.1e7348c8091d494bb5fe50d4298c5e9a,0,3504.426,0,0,0,874,0,683.3398,7,11,192.17022705078125,BRU,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,49b3690e-61b8-493c-9b8c-0ed960ce31c2,"['BRU_Eaddy', 'BRU_Noardra', 'BRU_GodMiao', 'BRU_Conaxy']",11,1,0,6403.24945,233.5336,650.3502883911133,921.25
0,0,3,0.0,byplayer,0,0,51,0,0,0.0,BRU_Noardra,account.04397540df064bd4a28cafd142d5d5db,0,5225.938,0,0,0,641,0,494.29407,5,11,99.99999809265137,BRU,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,49b3690e-61b8-493c-9b8c-0ed960ce31c2,"['BRU_Eaddy', 'BRU_Noardra', 'BRU_GodMiao', 'BRU_Conaxy']",11,1,0,6403.24945,233.5336,650.3502883911133,921.25
1,0,8,233.5336,byplayer,0,13,29,1,1,114.662735,BRU_GodMiao,account.4af2f0f4a9a24c2c80e0b99ce204b541,0,7047.9624,0,0,0,1315,0,977.6996,5,11,258.18006324768066,BRU,aff52bb3-8f51-4c10-9337-ffe767eb8101,2021-12-08T13:54:35Z,Erangel (Remastered),1893,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/08/14/27/0af6ca14-5833-11ec-9c21-16512f2173af-telemetry.json,49b3690e-61b8-493c-9b8c-0ed960ce31c2,"['BRU_Eaddy', 'BRU_Noardra', 'BRU_GodMiao', 'BRU_Conaxy']",11,1,0,6403.24945,233.5336,650.3502883911133,921.25
